note,note_line,range,scope,n_cand,cands
models/ADCIRC/source-analysis/adcirc-3d-mode.md,45,"[(5190, 5190)]",section,1,read_input.F
models/ADCIRC/source-analysis/adcirc-3d-mode.md,46,"[(5225, 5225)]",section,1,read_input.F
models/ADCIRC/source-analysis/adcirc-3d-mode.md,75,"[(4174, 4174)]",section,1,vsmy.F
models/ADCIRC/source-analysis/adcirc-3d-mode.md,76,"[(4335, 4335)]",section,1,vsmy.F
models/ADCIRC/source-analysis/adcirc-3d-mode.md,103,"[(786, 786)]",section,1,gwce.F
models/ADCIRC/source-analysis/adcirc-3d-mode.md,128,"[(2823, 2823)]",section,1,vsmy.F
models/ADCIRC/source-analysis/adcirc-3d-mode.md,136,"[(5439, 5439)]",section,2,read_input.F|write_output.F
models/ADCIRC/source-analysis/adcirc-3d-mode.md,136,"[(3059, 3059), (3623, 3623)]",section,2,read_input.F|write_output.F
models/ADCIRC/source-analysis/adcirc-3d-mode.md,137,"[(5484, 5484)]",section,2,read_input.F|write_output.F
models/ADCIRC/source-analysis/adcirc-3d-mode.md,137,"[(3185, 3185)]",section,2,read_input.F|write_output.F
models/ADCIRC/source-analysis/adcirc-3d-mode.md,140,"[(5527, 5527)]",section,2,read_input.F|write_output.F
models/ADCIRC/source-analysis/adcirc-3d-mode.md,140,"[(3269, 3269)]",section,2,read_input.F|write_output.F
models/ADCIRC/source-analysis/adcirc-3d-mode.md,141,"[(5549, 5549)]",section,2,read_input.F|write_output.F
models/ADCIRC/source-analysis/adcirc-3d-mode.md,141,"[(3314, 3314)]",section,2,read_input.F|write_output.F
models/ADCIRC/source-analysis/adcirc-3d-mode.md,142,"[(5571, 5571)]",section,2,read_input.F|write_output.F
models/ADCIRC/source-analysis/adcirc-3d-mode.md,142,"[(3359, 3359)]",section,2,read_input.F|write_output.F
models/ADCIRC/source-analysis/adcirc-fort15-checklist-v1.md,88,"[(1172, 1176)]",same-line,1,models/ADCIRC/raw/source_code/adcirc/src/read_input.F
models/ADCIRC/source-analysis/adcirc-fort15-checklist-v1.md,88,"[(1184, 1189)]",same-line,1,models/ADCIRC/raw/source_code/adcirc/src/read_input.F
models/ADCIRC/source-analysis/adcirc-hotstart.md,52,"[(5024, 5056)]",section,1,write_output.F
models/ADCIRC/source-analysis/adcirc-hotstart.md,52,"[(5120, 5154)]",section,1,write_output.F
models/ADCIRC/source-analysis/adcirc-hotstart.md,58,"[(5058, 5086)]",section,1,write_output.F
models/ADCIRC/source-analysis/adcirc-hotstart.md,61,"[(5089, 5117)]",section,1,write_output.F
models/ADCIRC/source-analysis/adcirc-hotstart.md,64,"[(5220, 5243)]",section,1,write_output.F
models/ADCIRC/source-analysis/adcirc-hotstart.md,67,"[(5255, 5463)]",section,1,write_output.F
models/ADCIRC/source-analysis/adcirc-hotstart.md,77,"[(2066, 2066)]",section,1,hstart.F
models/ADCIRC/source-analysis/adcirc-hotstart.md,78,"[(2855, 2855)]",section,1,hstart.F
models/ADCIRC/source-analysis/adcirc-hotstart.md,79,"[(2927, 2927)]",section,1,hstart.F
