note,note_line,old_tok,new_tok,path,basis
models/ADCIRC/source-analysis/adcirc-3d-mode.md,45,`:5190`,`read_input.F:5204`,src/read_input.F,재앵커
models/ADCIRC/source-analysis/adcirc-3d-mode.md,103,`:786`,`gwce.F:786`,src/gwce.F,유효
models/ADCIRC/source-analysis/adcirc-3d-mode.md,128,`:2823`,`vsmy.F:2825`,src/vsmy.F,재앵커
models/ADCIRC/source-analysis/adcirc-fort15-checklist-v1.md,88,`:1172-1176`,`read_input.F:1186-1190`,src/read_input.F,재앵커+재앵커
models/ADCIRC/source-analysis/adcirc-hotstart.md,77,`:2066`,`hstart.F:2072`,src/hstart.F,재앵커
models/ADCIRC/source-analysis/adcirc-hotstart.md,80,`:3001`,`hstart.F:3029`,src/hstart.F,재앵커
models/ADCIRC/source-analysis/adcirc-hotstart.md,92,`:5241`,`netcdfio.F90:5241`,src/netcdfio.F90,유효
models/ADCIRC/source-analysis/adcirc-hotstart.md,92,`:5290-5519`,`netcdfio.F90:5290-5519`,src/netcdfio.F90,유효+유효
models/ADCIRC/source-analysis/adcirc-hotstart.md,99,`:7904-8216`,`netcdfio.F90:7904-8216`,src/netcdfio.F90,유효+유효
models/ADCIRC/source-analysis/adcirc-hotstart.md,100,`:9188`,`netcdfio.F90:9188`,src/netcdfio.F90,유효
models/ADCIRC/source-analysis/adcirc-hotstart.md,127,`:568-645`,`vsmy.F:568-645`,src/vsmy.F,유효+유효
models/ADCIRC/source-analysis/adcirc-hotstart.md,156,`:2936-2970`,`wind.F:2936-2970`,src/wind.F,유효+유효
models/ADCIRC/source-analysis/adcirc-parameter-glossary-v1.md,61,`:87-90`,`global.F:87-90`,src/global.F,유효+유효
models/ADCIRC/source-analysis/adcirc-swan-coupling.md,35,`:1110`,`couple2swan.F:1137`,src/couple2swan.F,재앵커
models/ADCIRC/source-analysis/adcirc-swan-coupling.md,37,`:112`,`couple2swan.F:112`,src/couple2swan.F,유효
models/ADCIRC/source-analysis/adcirc-swan-coupling.md,38,`:210`,`couple2swan.F:210`,src/couple2swan.F,유효
models/ADCIRC/source-analysis/adcirc-swan-coupling.md,135,`:6966-7045`,`netcdfio.F90:6966-7045`,src/netcdfio.F90,유효+유효
models/ADCIRC/source-analysis/storm-surge/adcirc-storm-surge-foundation.md,95,`:4735`,`read_input.F:4749`,src/read_input.F,재앵커
models/ADCIRC/source-analysis/storm-surge/adcirc-storm-surge-nws-families.md,55,`:4735`,`read_input.F:4749`,src/read_input.F,재앵커
models/ADCIRC/source-analysis/storm-surge/adcirc-storm-surge.md,158,`:2898`,`read_input.F:2912`,src/read_input.F,재앵커
models/ADCIRC/source-analysis/storm-surge/adcirc-storm-surge.md,159,`:2989`,`read_input.F:3003`,src/read_input.F,재앵커
models/ADCIRC/source-analysis/tide/adcirc-tide-harmonic-prep.md,242,`:3424-3432`,`read_input.F:3438-3446`,src/read_input.F,재앵커+재앵커
models/ADCIRC/source-analysis/tide/adcirc-tide-harmonic-prep.md,244,`:3450`,`read_input.F:3464`,src/read_input.F,재앵커
models/ADCIRC/source-analysis/tide/adcirc-tide-harmonic-prep.md,245,`:3464-3469`,`read_input.F:3478-3483`,src/read_input.F,재앵커+재앵커
models/ADCIRC/source-analysis/tide/adcirc-tide-harmonic-prep.md,246,`:3507-3511`,`read_input.F:3521-3525`,src/read_input.F,재앵커+재앵커
