note,note_line,file,old_line,new_line,status,content
models/ADCIRC/source-analysis/adcirc-3d-mode.md,45,src/read_input.F,5190,5204,RESOLVED,"WRITE(16,1012)"
models/ADCIRC/source-analysis/adcirc-3d-mode.md,75,src/vsmy.F,4174,4194,RESOLVED,"IF (TEMP(NH,N).GT.T_max) THEN"
models/ADCIRC/source-analysis/adcirc-3d-mode.md,76,src/vsmy.F,4335,4355,RESOLVED,"SAL(NH,N) = S_max"
models/ADCIRC/source-analysis/adcirc-3d-mode.md,128,src/vsmy.F,2823,2825,RESOLVED,c     the previous time step
models/ADCIRC/source-analysis/adcirc-fort15-checklist-v1.md,88,src/read_input.F,1172,1186,RESOLVED,"&                  message=""IM = 20 and 30 are deprecated. ""//"
models/ADCIRC/source-analysis/adcirc-fort15-checklist-v1.md,88,src/read_input.F,1184,1191,RESOLVED,C3D           = .TRUE.
models/ADCIRC/source-analysis/adcirc-hotstart.md,52,src/write_output.F,5024,5078,RESOLVED,"WRITE(hss % lun,REC=IHOTSTP) 0.0"
models/ADCIRC/source-analysis/adcirc-hotstart.md,52,src/write_output.F,5120,5116,RESOLVED,IHOTSTP=IHOTSTP+1
models/ADCIRC/source-analysis/adcirc-hotstart.md,58,src/write_output.F,5058,5049,RESOLVED,ENDIF
models/ADCIRC/source-analysis/adcirc-hotstart.md,61,src/write_output.F,5089,5084,RESOLVED,"WRITE(hss % lun,REC=IHOTSTP) 0.0"
models/ADCIRC/source-analysis/adcirc-hotstart.md,64,src/write_output.F,5220,5216,RESOLVED,ENDIF
models/ADCIRC/source-analysis/adcirc-hotstart.md,67,src/write_output.F,5255,5303,RESOLVED,"do i=1,mm"
models/ADCIRC/source-analysis/adcirc-hotstart.md,77,src/hstart.F,2066,2072,RESOLVED,&   BndBCRiver
models/ADCIRC/source-analysis/adcirc-hotstart.md,78,src/hstart.F,2855,2883,RESOLVED,END IF
models/ADCIRC/source-analysis/adcirc-hotstart.md,79,src/hstart.F,2927,2912,RESOLVED,END IF
models/ADCIRC/source-analysis/adcirc-hotstart.md,80,src/hstart.F,3001,3029,RESOLVED,"&         information incorrect"""
models/ADCIRC/source-analysis/adcirc-hotstart.md,81,src/hstart.F,3076,3058,RESOLVED,ELSE
models/ADCIRC/source-analysis/adcirc-hotstart.md,114,src/read_input.F,4556,4559,RESOLVED_SKIPPED_COMMENT,ENDIF
models/ADCIRC/source-analysis/adcirc-swan-coupling.md,35,src/couple2swan.F,1110,1137,RESOLVED,&                    SWAN_WBICETH => WBICETH
models/ADCIRC/source-analysis/adcirc-swan-coupling.md,52,src/couple2swan.F,1103,1121,RESOLVED,"&                    CICE1,"
models/ADCIRC/source-analysis/adcirc-swan-coupling.md,72,src/couple2swan.F,999,1005,RESOLVED,"SWAN_VV2 (IN,1) = VV2(IN)  ! This should improve transition at"
models/ADCIRC/source-analysis/adcirc-swan-coupling.md,75,src/couple2swan.F,1157,1157,RESOLVED_SKIPPED_COMMENT,"DO IN=1,NP"
models/ADCIRC/source-analysis/adcirc-swan-coupling.md,84,thirdparty/swan/SwanReadADCGrid.ftn90,119,124,RESOLVED,endif
models/ADCIRC/source-analysis/adcirc-swan-coupling.md,100,src/read_input.F,2269,2259,RESOLVED,"&    /,9X,'WAVE RADIATION STRESS IS USED TO FORCE THE COMPUTATION',"
models/ADCIRC/source-analysis/storm-surge/adcirc-storm-surge-foundation.md,95,src/read_input.F,4735,4749,RESOLVED,3181 FORMAT(' *   An external velocity station file is used       *')  !tcm v51.
models/ADCIRC/source-analysis/storm-surge/adcirc-storm-surge-nws-families.md,55,src/read_input.F,4735,4749,RESOLVED,3181 FORMAT(' *   An external velocity station file is used       *')  !tcm v51.
models/ADCIRC/source-analysis/storm-surge/adcirc-storm-surge.md,62,src/read_input.F,2204,2201,RESOLVED,"&    /,9X,'WITH THE MODEL TIME STEP.')"
models/ADCIRC/source-analysis/storm-surge/adcirc-storm-surge.md,158,src/read_input.F,2898,2912,RESOLVED,DRampExtFlux=DRamp
models/ADCIRC/source-analysis/storm-surge/adcirc-storm-surge.md,159,src/read_input.F,2989,3003,RESOLVED,"&     /,9X,'DRampTip = ',F12.4,"
models/ADCIRC/source-analysis/tide/adcirc-tide-harmonic-prep.md,242,src/read_input.F,3424,3438,RESOLVED,"&       ,//)"
models/ADCIRC/source-analysis/tide/adcirc-tide-harmonic-prep.md,244,src/read_input.F,3450,3464,RESOLVED,ALLOCATE(ELEVALPHA(NBFR))
models/ADCIRC/source-analysis/tide/adcirc-tide-harmonic-prep.md,245,src/read_input.F,3464,3478,RESOLVED,"WRITE(16,7654) ANGINN"
models/ADCIRC/source-analysis/tide/adcirc-tide-harmonic-prep.md,246,src/read_input.F,3507,3521,RESOLVED,C.....INPUT FROM THE NUMBER OF FREQUENCIES PRESENT IN NORMAL FLOW FORCING
