note_file,note_line,ref_kind,ref_file,ref_line_start,ref_line_end,ref_symbol,context
models/ADCIRC/README.md,15,file,//github.c,,,,"- **GitHub**: [adcirc/adcirc](https://github.com/adcirc/adcirc), [adcirc/adcircpy](https://github.com/adci"
models/ADCIRC/README.md,15,file,//github.c,,,,"(https://github.com/adcirc/adcirc), [adcirc/adcircpy](https://github.com/adcirc/adcircpy), [adcirc/adcirc-testsuite](https://githu"
models/ADCIRC/README.md,15,file,//github.c,,,,"ithub.com/adcirc/adcircpy), [adcirc/adcirc-testsuite](https://github.com/adcirc/adcirc-testsuite)"
models/ADCIRC/README.md,16,symbol,,,,adcircpy,/source_code/adcirc/` (Fortran core) + `adcirc-testsuite` + `adcircpy` (Python) + `gahm` (vortex parametrization) + `asgs` (foreca
models/ADCIRC/README.md,16,symbol,,,,gahm,(Fortran core) + `adcirc-testsuite` + `adcircpy` (Python) + `gahm` (vortex parametrization) + `asgs` (forecast system) + `Stor
models/ADCIRC/README.md,16,symbol,,,,asgs,` + `adcircpy` (Python) + `gahm` (vortex parametrization) + `asgs` (forecast system) + `StormEvents` + `FigureGen`
models/ADCIRC/README.md,16,symbol,,,,StormEvents,gahm` (vortex parametrization) + `asgs` (forecast system) + `StormEvents` + `FigureGen`
models/ADCIRC/README.md,16,symbol,,,,FigureGen,rametrization) + `asgs` (forecast system) + `StormEvents` + `FigureGen`
models/ADCIRC/README.md,31,file,adcirc.github.io/adcirc.org/github.c,,,,"ified | **M-B audit done 2026-05-24** | 21 외부 docs catalog (adcirc.github.io/adcirc.org/github.com URL 검증, WebFetch 03+06 sampling) verified |"
models/ADCIRC/manifest.md,10,file,//github.c,,,,| adcirc | adcirc | 89M | https://github.com/adcirc/adcirc |
models/ADCIRC/manifest.md,11,file,//github.c,,,,| adcirc-testsuite | adcirc | 166M | https://github.com/adcirc/adcirc-testsuite |
models/ADCIRC/manifest.md,12,file,//github.c,,,,| gahm | adcirc | 6.2M | https://github.com/adcirc/gahm |
models/ADCIRC/manifest.md,13,file,//github.c,,,,| adcircpy | oceanmodeling | 4.8M | https://github.com/oceanmodeling/adcircpy |
models/ADCIRC/manifest.md,14,file,//github.c,,,,| StormEvents | oceanmodeling | 9.2M | https://github.com/oceanmodeling/StormEvents |
models/ADCIRC/manifest.md,15,file,//github.c,,,,| FigureGen | ccht-ncsu | 2.1M | https://github.com/ccht-ncsu/FigureGen |
models/ADCIRC/manifest.md,16,file,//github.c,,,,| asgs | StormSurgeLive | 297M | https://github.com/StormSurgeLive/asgs |
models/ADCIRC/manual-notes/01-docs-hub.md,8,file,adcirc.github.io/adcirc.org/github.c,,,,"notes: ""P2 catalog audit 2026-05-24 — external URL catalog (adcirc.github.io/adcirc.org/github.com) verified via WebFetch sampling (03 theory + 06 parameter"
models/ADCIRC/manual-notes/02-getting-started.md,8,file,adcirc.github.io/adcirc.org/github.c,,,,"notes: ""P2 catalog audit 2026-05-24 — external URL catalog (adcirc.github.io/adcirc.org/github.com) verified via WebFetch sampling (03 theory + 06 parameter"
models/ADCIRC/manual-notes/02-getting-started.md,19,file,//adcirc.github.io/adcirc/getting_started/index.h,,,,- link: https://adcirc.github.io/adcirc/getting_started/index.html
models/ADCIRC/manual-notes/03-theory-and-formulation.md,8,file,adcirc.github.io/adcirc.org/github.c,,,,"notes: ""P2 catalog audit 2026-05-24 — external URL catalog (adcirc.github.io/adcirc.org/github.com) verified via WebFetch sampling (03 theory + 06 parameter"
models/ADCIRC/manual-notes/03-theory-and-formulation.md,19,file,//adcirc.github.io/adcirc/theory/index.h,,,,- link: https://adcirc.github.io/adcirc/theory/index.html
models/ADCIRC/manual-notes/04-theory-pdf-v44xx.md,8,file,adcirc.github.io/adcirc.org/github.c,,,,"notes: ""P2 catalog audit 2026-05-24 — external URL catalog (adcirc.github.io/adcirc.org/github.com) verified via WebFetch sampling (03 theory + 06 parameter"
