note,reference,context,old_file,old_line,new_file,new_line,symbol,status,evidence,confidence
models/ADCIRC/source-analysis/adcirc-3d-mode.md,`:5176`,"- `IGC=0`: read sigma levels directly; bottom `B=-1`, surface `A=1` required (`:5176`).",adcirc:src/read_input.F,5176,adcirc:src/read_input.F,5190,,RESOLVED_CONTEXTUAL,"context file `read_input.F` from line 44 | old adcirc:src/read_input.F:5176 = ""c     IGC = 0 - Read in grid from UNIT 15"" | symbol 미확인 — 문맥 파일로만 특정",medium
models/ADCIRC/source-analysis/adcirc-3d-mode.md,`:5211`,- `IGC≠0`: call `FEGRIDS()` (`:5211`).,adcirc:src/read_input.F,5211,adcirc:src/read_input.F,5225,FEGRIDS,RESOLVED_EXACT,"context file `read_input.F` from line 44 | old adcirc:src/read_input.F:5211 = ""c     IGC <> 0 - Set up grid in subroutine FEGRIDS"" | symbol `FEGRIDS` 근접 확인",high
models/ADCIRC/source-analysis/adcirc-3d-mode.md,`:4154`,| `2` | McDougall et al. 2003 | `:4154` |,adcirc:src/vsmy.F,4154,adcirc:src/vsmy.F,4174,,RESOLVED_CONTEXTUAL,"context file `vsmy.F` from line 74 | old adcirc:src/vsmy.F:4154 = ""ELSE IF (Eqnstate.EQ.2) THEN"" | symbol 미확인 — 문맥 파일로만 특정",medium
models/ADCIRC/source-analysis/adcirc-3d-mode.md,`:4315`,| `3` | UNESCO 1980 | `:4315` |,adcirc:src/vsmy.F,4315,adcirc:src/vsmy.F,4335,,RESOLVED_CONTEXTUAL,"context file `vsmy.F` from line 74 | old adcirc:src/vsmy.F:4315 = ""ELSE IF(Eqnstate.EQ.3) THEN"" | symbol 미확인 — 문맥 파일로만 특정",medium
models/ADCIRC/source-analysis/adcirc-3d-mode.md,`:786`,"If `CBaroclinic=.FALSE.`, baroclinic gradient averages zeroed (`:786`).",adcirc:src/gwce.F,786,adcirc:src/gwce.F,786,,RESOLVED_CONTEXTUAL,"context file `gwce.F` from line 102 | old adcirc:src/gwce.F:786 = ""IF(CBaroclinic) THEN"" | symbol 미확인 — 문맥 파일로만 특정",medium
models/ADCIRC/source-analysis/adcirc-3d-mode.md,`:2821`,"- Computes `Km, Kq, Kh` (`:2821`).",adcirc:src/vsmy.F,2821,adcirc:src/vsmy.F,2823,,RESOLVED_CONTEXTUAL,"context file `vsmy.F` from line 127 | old adcirc:src/vsmy.F:2821 = ""c     Compute the stability functions, eddy viscos"" | symbol 미확인 — 문맥 파일로만 특정",medium
models/ADCIRC/source-analysis/adcirc-3d-mode.md,`:5350`,"- `fort.42` — 3D velocity stations (real/imaginary horizontal + `WZ`) (`:5350`, `:3059, 3623`).",adcirc:src/write_output.F,5350,adcirc:src/write_output.F,5439,,RESOLVED_CONTEXTUAL,"context file `write_output.F` from line 135 | old adcirc:src/write_output.F:5350 = ""WRITE(hss % lun,REC=IHOTSTP)"" | symbol 미확인 — 문맥 파일로만 특정",medium
models/ADCIRC/source-analysis/adcirc-3d-mode.md,`:5395`,"- `fort.43` — 3D turbulence stations (`q20, l, EV`) (`:5395`, `:3125`).",adcirc:src/write_output.F,5395,adcirc:src/write_output.F,5484,,RESOLVED_CONTEXTUAL,"context file `write_output.F` from line 135 | old adcirc:src/write_output.F:5395 = ""WRITE(hss%lun,*) ""NE = "",NE"" | symbol 미확인 — 문맥 파일로만 특정",medium
models/ADCIRC/source-analysis/adcirc-3d-mode.md,`:3125`,"- `fort.43` — 3D turbulence stations (`q20, l, EV`) (`:5395`, `:3125`).",adcirc:src/write_output.F,3125,adcirc:src/write_output.F,3185,,RESOLVED_CONTEXTUAL,"context file `write_output.F` from line 135 | old adcirc:src/write_output.F:3125 = ""Q20StaDescript % file_name            = 'fort.43'"" | symbol 미확인 — 문맥 파일로만 특정",medium
models/ADCIRC/source-analysis/adcirc-3d-mode.md,`:5438`,"- `fort.44` — 3D density/salinity/temperature global (`:5438`, `:3209`).",adcirc:src/write_output.F,5438,adcirc:src/write_output.F,5527,,RESOLVED_CONTEXTUAL,"context file `write_output.F` from line 135 | old adcirc:src/write_output.F:5438 = ""CLOSE(hss%lun)"" | symbol 미확인 — 문맥 파일로만 특정",medium
