note,note_line,ref,old_line,new_line,verdict
models/ADCIRC/source-analysis/adcirc-3d-mode.md,20,src/read_input.F,1176-1191,1190-1205,LINE_REFERENCE_UPDATE
models/ADCIRC/source-analysis/adcirc-3d-mode.md,23,src/cstart.F,348,348-348,NO_CHANGE
models/ADCIRC/source-analysis/adcirc-3d-mode.md,24,src/timestep.F,1121,1125-1125,LINE_REFERENCE_UPDATE
models/ADCIRC/source-analysis/adcirc-3d-mode.md,25,src/gwce.F,780-1450,780-1450,NO_CHANGE
models/ADCIRC/source-analysis/adcirc-3d-mode.md,26,src/vsmy.F,1168,1168-1168,NO_CHANGE
models/ADCIRC/source-analysis/adcirc-3d-mode.md,28,src/write_output.F,2993-3331,3053-3391,LINE_REFERENCE_UPDATE
models/ADCIRC/source-analysis/adcirc-3d-mode.md,36,src/cstart.F,348,348-348,NO_CHANGE
models/ADCIRC/source-analysis/adcirc-3d-mode.md,37,src/read_input.F,1176-1191,1190-1205,LINE_REFERENCE_UPDATE
models/ADCIRC/source-analysis/adcirc-3d-mode.md,44,src/read_input.F,5139,5153-5153,LINE_REFERENCE_UPDATE
models/ADCIRC/source-analysis/adcirc-3d-mode.md,60,src/vsmy.F,1548-1553,1550-1555,LINE_REFERENCE_UPDATE
models/ADCIRC/source-analysis/adcirc-3d-mode.md,68,src/vsmy.F,1630,1632-1632,LINE_REFERENCE_UPDATE
models/ADCIRC/source-analysis/adcirc-3d-mode.md,70,src/read_input.F,5682,5720-5720,LINE_REFERENCE_UPDATE
models/ADCIRC/source-analysis/adcirc-3d-mode.md,74,src/vsmy.F,4061,4081-4081,LINE_REFERENCE_UPDATE
models/ADCIRC/source-analysis/adcirc-3d-mode.md,84,src/timestep.F,1121,1125-1125,LINE_REFERENCE_UPDATE
models/ADCIRC/source-analysis/adcirc-3d-mode.md,88,src/timestep.F,1125,1129-1129,LINE_REFERENCE_UPDATE
models/ADCIRC/source-analysis/adcirc-3d-mode.md,94,src/vsmy.F,1168,1168-1168,NO_CHANGE
models/ADCIRC/source-analysis/adcirc-3d-mode.md,102,src/gwce.F,780,780-780,NO_CHANGE
models/ADCIRC/source-analysis/adcirc-3d-mode.md,105,src/gwce.F,1196,1196-1196,NO_CHANGE
models/ADCIRC/source-analysis/adcirc-3d-mode.md,112,src/timestep.F,2150-2355,2154-2359,LINE_REFERENCE_UPDATE
models/ADCIRC/source-analysis/adcirc-3d-mode.md,116,src/read_input.F,5235,5249-5249,LINE_REFERENCE_UPDATE
models/ADCIRC/source-analysis/adcirc-3d-mode.md,121,src/vsmy.F,1823,1825-1825,LINE_REFERENCE_UPDATE
models/ADCIRC/source-analysis/adcirc-3d-mode.md,122,src/vsmy.F,2035,2037-2037,LINE_REFERENCE_UPDATE
models/ADCIRC/source-analysis/adcirc-3d-mode.md,127,src/vsmy.F,2740,2742-2742,LINE_REFERENCE_UPDATE
models/ADCIRC/source-analysis/adcirc-3d-mode.md,135,src/read_input.F,5296,5310-5310,LINE_REFERENCE_UPDATE
models/ADCIRC/source-analysis/adcirc-3d-mode.md,135,src/write_output.F,2993,3053-3053,LINE_REFERENCE_UPDATE
models/ADCIRC/source-analysis/adcirc-3d-mode.md,144,src/write_output.F,3331,3391-3391,LINE_REFERENCE_UPDATE
models/ADCIRC/source-analysis/adcirc-3d-mode.md,194,src/hstart.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-3d-vssol-vertical-scheme.md,2,src/vsmy.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-3d-vssol-vertical-scheme.md,7,src/vsmy.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-3d-vssol-vertical-scheme.md,7,src/read_input.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-3d-vssol-vertical-scheme.md,7,src/timestep.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-3d-vssol-vertical-scheme.md,23,src/vsmy.F,142-1703,142-1705,LINE_REFERENCE_UPDATE
models/ADCIRC/source-analysis/adcirc-3d-vssol-vertical-scheme.md,23,src/timestep.F,1121-1123,1125-1127,LINE_REFERENCE_UPDATE
models/ADCIRC/source-analysis/adcirc-3d-vssol-vertical-scheme.md,23,src/timestep.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-3d-vssol-vertical-scheme.md,25,src/read_input.F,5073,5087-5087,LINE_REFERENCE_UPDATE
models/ADCIRC/source-analysis/adcirc-3d-vssol-vertical-scheme.md,30,src/read_input.F,5127,5141-5141,LINE_REFERENCE_UPDATE
models/ADCIRC/source-analysis/adcirc-3d-vssol-vertical-scheme.md,43,src/vsmy.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-3d-vssol-vertical-scheme.md,53,src/vsmy.F,2299-2319,2301-2321,LINE_REFERENCE_UPDATE
models/ADCIRC/source-analysis/adcirc-3d-vssol-vertical-scheme.md,65,src/read_input.F,5102,5116-5116,LINE_REFERENCE_UPDATE
models/ADCIRC/source-analysis/adcirc-baroclinic-coupling.md,61,src/vsmy.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-boundary-conditions.md,20,src/gwce.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-dg-continuity-solver.md,55,prep/prep.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-dg-continuity-solver.md,57,prep/presizes.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-dg-continuity-solver.md,60,src/timestep.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-dg-continuity-solver.md,62,src/read_input.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-dg-continuity-solver.md,65,src/global.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-dg-continuity-solver.md,66,src/write_output.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-dg-continuity-solver.md,268,src/timestep.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-dg-continuity-solver.md,276,src/read_input.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,44,src/read_input.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,45,src/read_input.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,45,src/read_input.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,51,src/nodalattr.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,51,src/nodalattr.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,52,src/owiwind.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,53,src/cstart.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,54,src/read_input.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,54,src/read_input.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,63,src/write_output.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,63,src/cstart.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,64,src/write_output.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,64,src/cstart.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,65,src/write_output.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,65,src/cstart.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,66,src/write_output.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,66,src/cstart.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,67,src/write_output.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,67,src/cstart.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,68,src/write_output.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,68,src/cstart.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,69,src/write_output.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,69,src/cstart.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,70,src/write_output.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,70,src/cstart.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,71,src/write_output.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,71,src/cstart.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,79,src/write_output.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,80,src/write_output.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,81,src/write_output.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,82,src/write_output.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,83,src/write_output.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,84,src/write_output.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,90,src/write_output.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,91,src/write_output.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,99,src/write_output.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,100,src/write_output.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,101,src/write_output.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,107,src/gwce.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,109,prep/prep.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,145,src/cstart.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,145,src/hstart.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,145,src/hstart.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,160,src/nodalattr.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,161,src/owiwind.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,174,src/read_input.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,175,src/nodalattr.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,177,src/owiwind.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,180,src/cstart.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,180,src/hstart.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,181,src/write_output.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort-files-reference.md,182,prep/prep.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-fort15-checklist-v1.md,7,src/read_input.F,1133-1162,1147-1176,LINE_REFERENCE_UPDATE
models/ADCIRC/source-analysis/adcirc-fort15-checklist-v1.md,88,src/read_input.F,1133-1135,1147-1149,LINE_REFERENCE_UPDATE
models/ADCIRC/source-analysis/adcirc-gwce-implementation.md,21,src/gwce.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-gwce-implementation.md,21,src/gwce.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-gwce-implementation.md,22,src/gwce.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-gwce-implementation.md,25,src/gwce.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-gwce-implementation.md,26,src/gwce.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-gwce-implementation.md,27,src/gwce.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-gwce-implementation.md,28,src/gwce.F,,,FILE_REF_OK
models/ADCIRC/source-analysis/adcirc-gwce-implementation.md,29,src/gwce.F,,,FILE_REF_OK
