note,note_line,ref,status,source,ranges,span
models/Celeris/manual-notes/celeris-architecture-and-config.md,18,js/constants_load_calc.js,RESOLVED_BY_SCOPE,js/constants_load_calc.js,,0
models/Celeris/manual-notes/celeris-architecture-and-config.md,26,constants_load_calc.js,RESOLVED_BY_SCOPE,js/constants_load_calc.js,,0
models/Celeris/manual-notes/celeris-architecture-and-config.md,70,main.js,RESOLVED_BY_SCOPE,js/main.js,,0
models/Celeris/manual-notes/celeris-architecture-and-config.md,70,Wave_Generator.js,RESOLVED,js/Wave_Generator.js,,0
models/Celeris/manual-notes/celeris-architecture-and-config.md,74,main.js,RESOLVED_BY_SCOPE,js/main.js,,0
models/Celeris/manual-notes/celeris-architecture-and-config.md,84,main.js,RESOLVED_BY_SCOPE,js/main.js,,0
models/Celeris/manual-notes/celeris-architecture-and-config.md,114,main.js,RESOLVED_BY_SCOPE,js/main.js,,0
models/Celeris/manual-notes/celeris-architecture-and-config.md,147,main.js,RESOLVED_BY_SCOPE,js/main.js,,0
models/Celeris/manual-notes/celeris-architecture-and-config.md,151,main.js,RESOLVED_BY_SCOPE,js/main.js,,0
models/Celeris/manual-notes/celeris-architecture-and-config.md,157,main.js,RESOLVED_BY_SCOPE,js/main.js,,0
models/Celeris/manual-notes/celeris-architecture-and-config.md,159,main.js,RESOLVED_BY_SCOPE,js/main.js,,0
models/Celeris/manual-notes/celeris-architecture-and-config.md,159,constants_load_calc.js,RESOLVED_BY_SCOPE,js/constants_load_calc.js,,0
models/Celeris/manual-notes/celeris-architecture-and-config.md,184,main.js,RESOLVED_BY_SCOPE,js/main.js,,0
models/Celeris/manual-notes/celeris-architecture-and-config.md,184,File_Loader.js,RESOLVED_BY_SCOPE,js/File_Loader.js,,0
models/Celeris/manual-notes/celeris-architecture-and-config.md,184,File_Writer.js,RESOLVED_BY_SCOPE,js/File_Writer.js,,0
models/Celeris/manual-notes/celeris-architecture-and-config.md,190,main.js,RESOLVED_BY_SCOPE,js/main.js,,0
models/Celeris/manual-notes/celeris-architecture-and-config.md,190,File_Loader.js,RESOLVED_BY_SCOPE,js/File_Loader.js,,0
models/Celeris/manual-notes/celeris-architecture-and-config.md,190,File_Writer.js,RESOLVED_BY_SCOPE,js/File_Writer.js,,0
models/Celeris/manual-notes/celeris-architecture-and-config.md,196,constants_load_calc.js,RESOLVED_BY_SCOPE,js/constants_load_calc.js,,0
models/Celeris/source-analysis/celeris-boussinesq-solver.md,49,constants_load_calc.js:42-43,RESOLVED_BY_SCOPE,js/constants_load_calc.js,42-43,2
models/Celeris/source-analysis/celeris-boussinesq-solver.md,127,js/constants_load_calc.js:427-428,RESOLVED_BY_SCOPE,js/constants_load_calc.js,427-428,2
models/Celeris/source-analysis/celeris-boussinesq-solver.md,127,main.js:1034,RESOLVED_BY_SCOPE,js/main.js,1034-1034,1
models/Celeris/source-analysis/celeris-breaking-boundary.md,37,constants_load_calc.js:51-54,RESOLVED_BY_SCOPE,js/constants_load_calc.js,51-54,4
models/Celeris/source-analysis/celeris-breaking-boundary.md,81,shaders/BoundaryPass.wgsl:184-595,RESOLVED_NARROWED,shaders/BoundaryPass.wgsl,184-595,412
models/Celeris/source-analysis/celeris-breaking-boundary.md,184,Handler_BoundaryPass.js,RESOLVED_BY_SCOPE,js/Handler_BoundaryPass.js,,0
models/Celeris/source-analysis/celeris-breaking-boundary.md,184,Handler_BoundaryPass.js:100-147,RESOLVED_BY_SCOPE,js/Handler_BoundaryPass.js,100-147,48
models/Celeris/source-analysis/celeris-breaking-boundary.md,190,Wave_Generator.js,RESOLVED,js/Wave_Generator.js,,0
models/Celeris/source-analysis/celeris-breaking-boundary.md,190,BoundaryPass.wgsl:177-178,RESOLVED_BY_SCOPE,shaders/BoundaryPass.wgsl,177-178,2
models/Celeris/source-analysis/celeris-breaking-boundary.md,192,Wave_Generator.js:44-50,RESOLVED,js/Wave_Generator.js,44-50,7
models/Celeris/source-analysis/celeris-breaking-boundary.md,196,BoundaryPass.wgsl:176-179,RESOLVED_BY_SCOPE,shaders/BoundaryPass.wgsl,176-179,4
models/Celeris/source-analysis/celeris-coulwave.md,12,constants_load_calc.js:32,RESOLVED_BY_SCOPE,js/constants_load_calc.js,32-32,1
models/Celeris/source-analysis/celeris-coulwave.md,143,constants_load_calc.js:32,RESOLVED_BY_SCOPE,js/constants_load_calc.js,32-32,1
models/Celeris/source-analysis/celeris-coulwave.md,149,constants_load_calc.js:32,RESOLVED_BY_SCOPE,js/constants_load_calc.js,32-32,1
models/Celeris/source-analysis/celeris-fv-reconstruction.md,43,js/main.js:1322-1327,RESOLVED_BY_SCOPE,js/main.js,1322-1327,6
models/Celeris/source-analysis/celeris-fv-reconstruction.md,96,js/main.js:1329-1334,RESOLVED_BY_SCOPE,js/main.js,1329-1334,6
models/Celeris/source-analysis/celeris-fv-reconstruction.md,162,main.js,RESOLVED_BY_SCOPE,js/main.js,,0
models/Celeris/source-analysis/celeris-fv-reconstruction.md,162,js/main.js:1330-1331,RESOLVED_BY_SCOPE,js/main.js,1330-1331,2
models/Celeris/source-analysis/celeris-fv-reconstruction.md,162,main.js,RESOLVED_BY_SCOPE,js/main.js,,0
models/Celeris/source-analysis/celeris-fv-reconstruction.md,168,constants_load_calc.js:35,RESOLVED_BY_SCOPE,js/constants_load_calc.js,35-35,1
