note,note_line,ref,source,old,new,status,basis
models/Celeris/source-analysis/celeris-boussinesq-solver.md,49,constants_load_calc.js:42-43,js/constants_load_calc.js,42-43,46-47,MOVED,
models/Celeris/source-analysis/celeris-boussinesq-solver.md,127,js/constants_load_calc.js:427-428,js/constants_load_calc.js,427-428,511-512,MOVED,
models/Celeris/source-analysis/celeris-boussinesq-solver.md,127,main.js:1034,js/main.js,1034,1233,MOVED,
models/Celeris/source-analysis/celeris-breaking-boundary.md,37,constants_load_calc.js:51-54,js/constants_load_calc.js,51-54,57-60,MOVED,
models/Celeris/source-analysis/celeris-breaking-boundary.md,81,shaders/BoundaryPass.wgsl:184-595,shaders/BoundaryPass.wgsl,184-595,280-725,MOVED,"내부 변경, Phase 1 판정 완료"
models/Celeris/source-analysis/celeris-breaking-boundary.md,184,Handler_BoundaryPass.js:100-147,js/Handler_BoundaryPass.js,100-147,140-206,REANCHORED,실행 코드 정박 확인 — 2줄 위 주석화된 옛 signature 회피
models/Celeris/source-analysis/celeris-breaking-boundary.md,190,BoundaryPass.wgsl:177-178,shaders/BoundaryPass.wgsl,177-178,198-199,MOVED,
models/Celeris/source-analysis/celeris-breaking-boundary.md,192,Wave_Generator.js:44-50,js/Wave_Generator.js,44-50,44-60,MOVED,"내부 변경, Phase 1 판정 완료"
models/Celeris/source-analysis/celeris-breaking-boundary.md,196,BoundaryPass.wgsl:176-179,shaders/BoundaryPass.wgsl,176-179,197-200,MOVED,
models/Celeris/source-analysis/celeris-coulwave.md,12,constants_load_calc.js:32,js/constants_load_calc.js,32,36,MOVED,
models/Celeris/source-analysis/celeris-coulwave.md,143,constants_load_calc.js:32,js/constants_load_calc.js,32,36,MOVED,
models/Celeris/source-analysis/celeris-coulwave.md,149,constants_load_calc.js:32,js/constants_load_calc.js,32,36,MOVED,
models/Celeris/source-analysis/celeris-fv-reconstruction.md,43,js/main.js:1322-1327,js/main.js,1322-1327,1539-1544,MOVED,
models/Celeris/source-analysis/celeris-fv-reconstruction.md,96,js/main.js:1329-1334,js/main.js,1329-1334,1546-1551,MOVED,
models/Celeris/source-analysis/celeris-fv-reconstruction.md,162,js/main.js:1330-1331,js/main.js,1330-1331,1547-1548,MOVED,
models/Celeris/source-analysis/celeris-fv-reconstruction.md,168,constants_load_calc.js:35,js/constants_load_calc.js,35,39,MOVED,
models/Celeris/source-analysis/celeris-fv-reconstruction.md,172,js/main.js:1322-1334,js/main.js,1322-1334,1539-1551,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,20,js/main.js:1540,js/main.js,1540,2222,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,20,js/main.js:2933,js/main.js,2933,3804,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,23,js/main.js:1874,js/main.js,1874,2615,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,27,js/main.js:1873,js/main.js,1873,2614,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,28,js/main.js:1565–1595,js/main.js,1565-1595,2247-2277,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,29,js/main.js:4013,js/main.js,4013,5102,MOVED,
models/Celeris/source-analysis/celeris-pipeline-graph.md,30,js/main.js:1881,js/main.js,1881,2624,REANCHORED,실행 코드 정박 확인 — 2줄 위 주석화된 옛 signature 회피
