note,note_line,ref,status,source,ranges,span
models/Celeris/source-analysis/celeris-breaking-boundary.md,81,shaders/BoundaryPass.wgsl:184-595,RESOLVED_NARROWED,shaders/BoundaryPass.wgsl,184-595,412
models/Celeris/source-analysis/celeris-breaking-boundary.md,184,Handler_BoundaryPass.js:100-147,RESOLVED_BY_SCOPE,js/Handler_BoundaryPass.js,100-147,48
models/Celeris/source-analysis/celeris-breaking-boundary.md,192,Wave_Generator.js:44-50,RESOLVED,js/Wave_Generator.js,44-50,7
models/Celeris/source-analysis/celeris-pipeline-graph.md,30,js/main.js:1881,RESOLVED_BY_SCOPE,js/main.js,1881-1881,1
models/Celeris/source-analysis/celeris-pipeline-graph.md,69,js/main.js:2122–2178,RESOLVED_BY_SCOPE,js/main.js,2122-2178,57
models/Celeris/source-analysis/celeris-source-map.md,19,js/main.js:1320-1368,RESOLVED_BY_SCOPE,js/main.js,1320-1368,49
models/Celeris/source-analysis/celeris-source-map.md,27,main.js:1893-2174,RESOLVED_BY_SCOPE,js/main.js,1893-2174,282
models/Celeris/source-analysis/celeris-source-map.md,57,main.js:1614,RESOLVED_BY_SCOPE,js/main.js,1614-1614,1
models/Celeris/source-analysis/celeris-source-map.md,145,main.js:1392-1422,RESOLVED_BY_SCOPE,js/main.js,1392-1422,31
models/Celeris/source-analysis/celeris-source-map.md,145,main.js:1893-2174,RESOLVED_BY_SCOPE,js/main.js,1893-2174,282
models/Celeris/source-analysis/celeris-source-map.md,179,js/main.js:341-426,RESOLVED_BY_SCOPE,js/main.js,341-426,86
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,37,js/main.js:341-456,RESOLVED_BY_SCOPE,js/main.js,341-456,116
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,238,js/Time_Series.js:58-115,RESOLVED_BY_SCOPE,js/Time_Series.js,58-115,58
