id,source,old,sym,new,status
D1-1,m_flow.f90,160-161,s0/s1,165-166,RESOLVED_BY_SYMBOL
D1-2,m_flow.f90,171-171,hs/hs,176-176,RESOLVED_BY_SYMBOL
D1-3,m_flow.f90,166-167,vol1/vol0,171-172,RESOLVED_BY_SYMBOL
D1-4,m_flow.f90,164-165,a0/a1,169-170,RESOLVED_BY_SYMBOL
D1-5,m_flow.f90,192-194,ucx/ucz,197-199,RESOLVED_BY_SYMBOL
D1-6,m_flow.f90,199-199,ucmag/ucmag,204-204,RESOLVED_BY_SYMBOL
D1-7,m_flow.f90,295-296,u0/u1,300-301,RESOLVED_BY_SYMBOL
D1-8,m_flow.f90,298-298,q1/q1,303-303,RESOLVED_BY_SYMBOL
D1-9,m_flow.f90,304-304,au/au,309-309,RESOLVED_BY_SYMBOL
D1-10,m_flow.f90,300-300,qa/qa,305-305,RESOLVED_BY_SYMBOL
D1-11,m_flow.f90,269-270,sa0/sa1,274-275,RESOLVED_BY_SYMBOL
D1-12,m_flow.f90,275-276,tem0/tem1,280-281,RESOLVED_BY_SYMBOL
D1-14,m_flow.f90,128-129,kbot/ktop,133-134,RESOLVED_BY_SYMBOL
D1-15,m_flow.f90,132-133,Lbot/Ltop,137-138,RESOLVED_BY_SYMBOL
D1-16,m_flow.f90,106-106,zws/zws,111-111,RESOLVED_BY_SYMBOL
D1-19,m_transport.f90,40-40,None/None,,NO_SYMBOL
D1-20,m_transport.f90,48-48,NUMCONST/NUMCONST,,SYMBOL_GONE
D1-22,m_transport.f90,62-62,constituents/constituents,62-62,RESOLVED_BY_SYMBOL
D1-23,unstruc_netcdf.f90,85-86,UNC_CONV_CFOLD/UNC_CONV_UGRID,,SYMBOL_GONE
D1-25,unstruc_netcdf.f90,71-77,None/nopen_files_,,SYMBOL_GONE
D1-26,unstruc_netcdf.f90,74-74,maxopenfiles/maxopenfiles,,SYMBOL_GONE
D1-27,unstruc_netcdf.f90,75-77,open_files_/nopen_files_,,SYMBOL_GONE
D1-28,unstruc_netcdf.f90,2490-2490,None/None,,NO_SYMBOL
D1-29,unstruc_netcdf.f90,2498-2498,None/None,,NO_SYMBOL
D1-30,unstruc_netcdf.f90,104-125,None/None,,NO_SYMBOL
D1-31,unstruc_netcdf.f90,127-133,None/None,,NO_SYMBOL
D1-32,unstruc_netcdf.f90,139-185,None/None,,NO_SYMBOL
D1-33,unstruc_netcdf.f90,181-181,idx_curtime/idx_curtime,,SYMBOL_GONE
D1-34,unstruc_netcdf.f90,190-190,None/None,,NO_SYMBOL
D1-35,unstruc_netcdf.f90,97-97,MAX_ID_VAR/MAX_ID_VAR,,SYMBOL_GONE
D1-36,unstruc_netcdf.f90,1380-1380,None/None,,NO_SYMBOL
D1-37,unc_write_his.F90,49-64,None/None,,NO_SYMBOL
D1-38,unstruc_model.f90,60-61,MDUFormatMajorVersion/MDUFormatMinorVersion,,SYMBOL_GONE
D1-39,unstruc_model.f90,63-73,None/None,,NO_SYMBOL
D1-40,unstruc_model.f90,76-77,ExtfileNewMajorVersion/ExtfileNewMinorVersion,,SYMBOL_GONE
D1-41,unstruc_model.f90,101-101,md_ptr/md_ptr,,SYMBOL_GONE
D1-42,unstruc_model.f90,103-103,md_ident/md_ident,,SYMBOL_GONE
D1-43,unstruc_model.f90,113-122,md_netfile/md_fixedweirfile,,SYMBOL_GONE
D1-44,m_flow.f90,128-133,kbot/Ltop,133-138,RESOLVED_BY_SYMBOL
