id,note,note_line,wiki_claim,old_evidence,new_evidence,semantic_meaning_changed,proposed_classification,reason_type,confidence,exact_evidence
D1-1,models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,43,"- `s0(:)` / `s1(:)` — 타임스텝 시작/끝 수위 (m). `m_flow.f90:160-161`. 주석 `[m] waterlevel (m ) at start/end of timestep {""location"": ""face"", ""shape"": [""ndx""]}`.",513eccd:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:160-161,231bbf2:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:165-166,false,NO_ACTION,,HIGH,"판정 대상: m_flow.f90:160-161가 뒷받침하는 주장.
판정 근거: s0/s1의 시작/끝 수위, m 단위, face/ndx 메타데이터가 동일하다. 배열 차원 표기를 변수 뒤 (: )에서 dimension(:) 속성으로 옮겼다. 활성 선언의 타입·rank·단위·역할 주석은 유지된다.

[OLD 원문]
513eccd:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:160-161
160:    real(kind=dp), allocatable, target :: s0(:) !< [m] waterlevel    (m ) at start of timestep {""location"": ""face"", ""shape"": [""ndx""]}
161:    real(kind=dp), allocatable, target :: s1(:) !< [m] waterlevel    (m ) at end   of timestep {""location"": ""face"", ""shape"": [""ndx""]}

[NEW 원문: 선언/실행 코드 및 명시된 문서 주석]
231bbf2:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:165-166
165:    real(kind=dp), allocatable, target, dimension(:) :: s0 !< [m] waterlevel    (m ) at start of timestep {""location"": ""face"", ""shape"": [""ndx""]}
166:    real(kind=dp), allocatable, target, dimension(:) :: s1 !< [m] waterlevel    (m ) at end   of timestep {""location"": ""face"", ""shape"": [""ndx""]}"
D1-2,models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,44,- `hs(:)` — 셀 중심 수심 = s1 - bl. `m_flow.f90:171` (`[m] waterdepth at cell centre = s1 - bl (m)`).,513eccd:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:171-171,231bbf2:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:176,false,NO_ACTION,,HIGH,"판정 대상: m_flow.f90:171가 뒷받침하는 주장.
판정 근거: hs의 셀 중심 수심 및 s1 - bl 설명이 동일하다. 배열 차원 표기를 변수 뒤 (: )에서 dimension(:) 속성으로 옮겼다. 활성 선언의 타입·rank·단위·역할 주석은 유지된다.

[OLD 원문]
513eccd:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:171-171
171:    real(kind=dp), allocatable, target :: hs(:) !< [m] waterdepth at cell centre = s1 - bl  (m) {""location"": ""face"", ""shape"": [""ndx""]}

[NEW 원문: 선언/실행 코드 및 명시된 문서 주석]
231bbf2:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:176
176:    real(kind=dp), allocatable, target, dimension(:) :: hs !< [m] waterdepth at cell centre = s1 - bl  (m) {""location"": ""face"", ""shape"": [""ndx""]}"
D1-3,models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,45,- `vol0(:)`/`vol1(:)` — 타임스텝 시작/끝 총부피 (m3). `m_flow.f90:166-167`.,513eccd:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:166-167,231bbf2:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:171-172,false,NO_ACTION,,HIGH,"판정 대상: m_flow.f90:166-167가 뒷받침하는 주장.
판정 근거: vol1=end, vol0=start 및 m3 총부피 설명이 동일하다. 선언 순서를 시간 순서로 오인하지 않았다. 배열 차원 표기를 변수 뒤 (: )에서 dimension(:) 속성으로 옮겼다. 활성 선언의 타입·rank·단위·역할 주석은 유지된다.

[OLD 원문]
513eccd:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:166-167
166:    real(kind=dp), allocatable, target :: vol1(:) !< [m3] total volume at end of timestep {""location"": ""face"", ""shape"": [""ndkx""]}; in 2D models ndkx=ndx
167:    real(kind=dp), allocatable, target :: vol0(:) !< [m3] total volume at start of timestep {""location"": ""face"", ""shape"": [""ndkx""]}; in 2D models ndkx=ndx

[NEW 원문: 선언/실행 코드 및 명시된 문서 주석]
231bbf2:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:171-172
171:    real(kind=dp), allocatable, target, dimension(:) :: vol1 !< [m3] total volume at end of timestep {""location"": ""face"", ""shape"": [""ndkx""]}; in 2D models ndkx=ndx
172:    real(kind=dp), allocatable, target, dimension(:) :: vol0 !< [m3] total volume at start of timestep {""location"": ""face"", ""shape"": [""ndkx""]}; in 2D models ndkx=ndx"
D1-4,models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,46,- `a0(:)`/`a1(:)` — 저류면적 (m2). `m_flow.f90:164-165`.,513eccd:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:164-165,231bbf2:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:169-170,false,NO_ACTION,,HIGH,"판정 대상: m_flow.f90:164-165가 뒷받침하는 주장.
판정 근거: a0/a1의 시작/끝 저류면적 및 m2 단위가 동일하다. 배열 차원 표기를 변수 뒤 (: )에서 dimension(:) 속성으로 옮겼다. 활성 선언의 타입·rank·단위·역할 주석은 유지된다.

[OLD 원문]
513eccd:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:164-165
164:    real(kind=dp), allocatable, target :: a0(:) !< [m2] storage area at start of timestep {""location"": ""face"", ""shape"": [""ndkx""]}; in 2D models ndkx=ndx
165:    real(kind=dp), allocatable, target :: a1(:) !< [m2] storage area at end of timestep {""location"": ""face"", ""shape"": [""ndkx""]}; in 2D models ndkx=ndx

[NEW 원문: 선언/실행 코드 및 명시된 문서 주석]
231bbf2:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:169-170
169:    real(kind=dp), allocatable, target, dimension(:) :: a0 !< [m2] storage area at start of timestep {""location"": ""face"", ""shape"": [""ndkx""]}; in 2D models ndkx=ndx
170:    real(kind=dp), allocatable, target, dimension(:) :: a1 !< [m2] storage area at end of timestep {""location"": ""face"", ""shape"": [""ndkx""]}; in 2D models ndkx=ndx"
D1-5,models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,47,- `ucx`/`ucy`/`ucz` — 셀 중심 속도 글로벌 x/y/z 성분 (m/s). `m_flow.f90:192-194`. `ucmag` 속도 크기 `m_flow.f90:199`.,513eccd:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:192-194,231bbf2:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:197-199,false,NO_ACTION,,HIGH,"판정 대상: m_flow.f90:192-194가 뒷받침하는 주장.
판정 근거: ucx/ucy/ucz의 글로벌 x/y/z 셀 중심 속도 및 m/s 단위가 동일하다. 같은 노트 줄의 ucmag는 D1-6에서 별도 판정한다. 배열 차원 표기를 변수 뒤 (: )에서 dimension(:) 속성으로 옮겼다. 활성 선언의 타입·rank·단위·역할 주석은 유지된다.

[OLD 원문]
513eccd:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:192-194
192:    real(kind=dp), allocatable, target :: ucx(:) !< [m/s] cell center velocity, global x-dir (m/s) {""location"": ""face"", ""shape"": [""ndkx""]}
193:    real(kind=dp), allocatable, target :: ucy(:) !< [m/s] cell center velocity, global y-dir (m/s) {""location"": ""face"", ""shape"": [""ndkx""]}
194:    real(kind=dp), allocatable, target :: ucz(:) !< [m/s] cell center velocity, global z-dir (m/s) {""location"": ""face"", ""shape"": [""ndkx""]}

[NEW 원문: 선언/실행 코드 및 명시된 문서 주석]
231bbf2:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:197-199
197:    real(kind=dp), allocatable, target, dimension(:) :: ucx !< [m/s] cell center velocity, global x-dir (m/s) {""location"": ""face"", ""shape"": [""ndkx""]}
198:    real(kind=dp), allocatable, target, dimension(:) :: ucy !< [m/s] cell center velocity, global y-dir (m/s) {""location"": ""face"", ""shape"": [""ndkx""]}
199:    real(kind=dp), allocatable, target, dimension(:) :: ucz !< [m/s] cell center velocity, global z-dir (m/s) {""location"": ""face"", ""shape"": [""ndkx""]}"
D1-6,models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,47,- `ucx`/`ucy`/`ucz` — 셀 중심 속도 글로벌 x/y/z 성분 (m/s). `m_flow.f90:192-194`. `ucmag` 속도 크기 `m_flow.f90:199`.,513eccd:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:199-199,231bbf2:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:204,false,NO_ACTION,,HIGH,"판정 대상: m_flow.f90:199가 뒷받침하는 주장.
판정 근거: ucmag의 셀 중심 속도 크기 및 m/s 단위가 동일하다. 배열 차원 표기를 변수 뒤 (: )에서 dimension(:) 속성으로 옮겼다. 활성 선언의 타입·rank·단위·역할 주석은 유지된다.

[OLD 원문]
513eccd:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:199-199
199:    real(kind=dp), allocatable, target :: ucmag(:) !< [m/s] cell center velocity magnitude {""location"": ""face"", ""shape"": [""ndkx""]}

[NEW 원문: 선언/실행 코드 및 명시된 문서 주석]
231bbf2:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:204
204:    real(kind=dp), allocatable, target, dimension(:) :: ucmag !< [m/s] cell center velocity magnitude {""location"": ""face"", ""shape"": [""ndkx""]}"
D1-7,models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,50,- `u0(:)`/`u1(:)` — 타임스텝 시작/끝 유속 (m/s). `m_flow.f90:295-296`.,513eccd:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:295-296,231bbf2:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:300-301,false,NO_ACTION,,HIGH,"판정 대상: m_flow.f90:295-296가 뒷받침하는 주장.
판정 근거: u0=start, u1=end 유속 및 m/s 설명이 동일하다. 배열 차원 표기를 변수 뒤 (: )에서 dimension(:) 속성으로 옮겼다. 활성 선언의 타입·rank·단위·역할 주석은 유지된다.

[OLD 원문]
513eccd:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:295-296
295:    real(kind=dp), allocatable, target :: u0(:) !< flow velocity (m/s)  at start of timestep
296:    real(kind=dp), allocatable, target :: u1(:) !< [m/s]  flow velocity (m/s)  at   end of timestep {""location"": ""edge"", ""shape"": [""lnkx""]}

[NEW 원문: 선언/실행 코드 및 명시된 문서 주석]
231bbf2:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:300-301
300:    real(kind=dp), allocatable, target, dimension(:) :: u0 !< flow velocity (m/s)  at start of timestep
301:    real(kind=dp), allocatable, target, dimension(:) :: u1 !< [m/s]  flow velocity (m/s)  at   end of timestep {""location"": ""edge"", ""shape"": [""lnkx""]}"
D1-8,models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,51,"- `q1(:)` — 유량 (m3/s) at end of timestep n. 주석에 `used as q0 in timestep n+1, statement q0 = q1 is out of code, saves 1 array` (`m_flow.f90:298`) — 메모리 절약을 위해 q0 배열을 별도 유지하지 않는 설계.",513eccd:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:298-298,231bbf2:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:303,false,NO_ACTION,,HIGH,"판정 대상: m_flow.f90:298가 뒷받침하는 주장.
판정 근거: q1의 활성 선언에 timestep n 끝 유량과 n+1의 q0로 재사용한다는 주석이 그대로 붙어 있다. 주석 처리된 옛 선언이 아니다. 이 행은 선언에 기록된 저장 설계에 대한 판정이며 전체 시간적분 알고리즘을 재검증한 것은 아니다. 배열 차원 표기를 변수 뒤 (: )에서 dimension(:) 속성으로 옮겼다. 활성 선언의 타입·rank·단위·역할 주석은 유지된다.

[OLD 원문]
513eccd:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:298-298
298:    real(kind=dp), allocatable, target :: q1(:) !< [m3/s] discharge     (m3/s) at   end of timestep n, used as q0 in timestep n+1, statement q0 = q1 is out of code, saves 1 array {""location"": ""edge"", ""shape"": [""lnkx""]}

[NEW 원문: 선언/실행 코드 및 명시된 문서 주석]
231bbf2:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:303
303:    real(kind=dp), allocatable, target, dimension(:) :: q1 !< [m3/s] discharge     (m3/s) at   end of timestep n, used as q0 in timestep n+1, statement q0 = q1 is out of code, saves 1 array {""location"": ""edge"", ""shape"": [""lnkx""]}"
D1-9,models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,52,- `au(:)` — u 점에서의 흐름면적 (m2). `m_flow.f90:304`.,513eccd:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:304-304,231bbf2:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:309,false,NO_ACTION,,HIGH,"판정 대상: m_flow.f90:304가 뒷받침하는 주장.
판정 근거: au의 u점 흐름면적 및 m2 단위가 동일하다. 배열 차원 표기를 변수 뒤 (: )에서 dimension(:) 속성으로 옮겼다. 활성 선언의 타입·rank·단위·역할 주석은 유지된다.

[OLD 원문]
513eccd:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:304-304
304:    real(kind=dp), allocatable, target :: au(:) !< [m2] flow area     (m2)   at u point {""location"": ""edge"", ""shape"": [""lnkx""]}

[NEW 원문: 선언/실행 코드 및 명시된 문서 주석]
231bbf2:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:309
309:    real(kind=dp), allocatable, target, dimension(:) :: au !< [m2] flow area     (m2)   at u point {""location"": ""edge"", ""shape"": [""lnkx""]}"
D1-10,models/Delft3D/source-analysis/delft3d_dflowfm_data_io.md,53,- `qa(:)` — advection 용 유량 `qa=au(n)*u1(n+1)` `m_flow.f90:300`.,513eccd:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:300-300,231bbf2:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:305,false,NO_ACTION,,HIGH,"판정 대상: m_flow.f90:300가 뒷받침하는 주장.
판정 근거: qa의 활성 선언에 advection 유량 및 qa=au(n)*u1(n+1) 설명이 그대로 붙어 있다. 식은 실행 대입문이 아니라 선언의 역할 주석이라는 증거 수준을 유지한다. 배열 차원 표기를 변수 뒤 (: )에서 dimension(:) 속성으로 옮겼다. 활성 선언의 타입·rank·단위·역할 주석은 유지된다.

[OLD 원문]
513eccd:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:300-300
300:    real(kind=dp), allocatable :: qa(:) !< discharge (m3/s) used in advection, qa=au(n)*u1(n+1) instead of

[NEW 원문: 선언/실행 코드 및 명시된 문서 주석]
231bbf2:src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_data/m_flow.f90:305
305:    real(kind=dp), allocatable, dimension(:) :: qa !< discharge (m3/s) used in advection, qa=au(n)*u1(n+1) instead of"
