id,batch,note,note_line,wiki_claim,ref,source,old_ranges,new_ranges,span,hunks
D2-1,B,models/Delft3D/source-analysis/delft3d_dflowfm_compute_core.md,62,### 2.1 2D(`kmx==0`) 코어 루프 (`furu.f90:89-214`),furu.f90:89-214,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute/furu.f90,89-214,90-214,126,"[{""tag"": ""delete"", ""old"": ""181-182"", ""new"": ""182-182"", ""old_text"": [""                     du = du0 + frL * ustokes(L)"", ""                     !""], ""new_text"": [""                     ! and add vegetation stem drag with eulerian velocities, assumes fixed stem""]}, {""tag"": ""replace"", ""old"": ""187-187"", ""new"": ""186-187"", ""old_text"": [""""], ""new_text"": [""                     !"", ""                     du = du0 + frL * ustokes(L)""]}, {""tag"": ""replace"", ""old"": ""189-189"", ""new"": ""189-189"", ""old_text"": [""                     if (iadv(L) == IADV_SUBGRID_WEIR .or. kcu(L) == 3) then""], ""new_text"": [""                     if (iadv(L) == IADV_SUBGRID_WEIR .or. kcu(L) == LINK_1D2D_INTERNAL) then""]}]"
D2-2,B,models/Delft3D/source-analysis/delft3d_dflowfm_compute_core.md,84,"파동 연동 시 Stokes-drift 보정: `frL` 을 Eulerian 속도 `u1L - ustokes(L)` 기준으로 계산하고 `du = du0 + frL*ustokes(L)` 보정(`furu.f90:170-181`). 식생 항력은 `alfav(L)` 추가(`furu.f90:184-186`, `:194-195`).",furu.f90:170-181,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute/furu.f90,170-181,REANCHOR(170-181),12,"[{""tag"": ""delete"", ""old"": ""181-182"", ""new"": ""182-182"", ""old_text"": [""                     du = du0 + frL * ustokes(L)"", ""                     !""], ""new_text"": [""                     ! and add vegetation stem drag with eulerian velocities, assumes fixed stem""]}]"
D2-3,B,models/Delft3D/source-analysis/delft3d_dflowfm_compute_core.md,89,"- 구조물: `call furu_structures()` (`furu.f90:269`), `call furusobekstructures()` (`furu.f90:369`).",furu.f90:269,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute/furu.f90,269-269,REANCHOR(269-269),1,"[{""tag"": ""delete"", ""old"": ""269-269"", ""new"": ""269-269"", ""old_text"": [""         call furu_structures()""], ""new_text"": [""""]}]"
D2-4,B,models/Delft3D/source-analysis/delft3d_dflowfm_compute_core.md,89,"- 구조물: `call furu_structures()` (`furu.f90:269`), `call furusobekstructures()` (`furu.f90:369`).",furu.f90:369,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute/furu.f90,369-369,369-369,1,"[{""tag"": ""insert"", ""old"": ""369-369"", ""new"": ""368-368"", ""old_text"": [""      call furusobekstructures()""], ""new_text"": [""      call furu_structures()""]}]"
D2-5,B,models/Delft3D/source-analysis/delft3d_dflowfm_compute_core.md,111,"전반부(`s1ini.f90:84-326`)는 소스/싱크(강우 `rain`, 증발 `evap`, 외부유량 `qext`, lateral `qqlat`, 지하수 `setgrwflowexpl`, source/sink `setsorsin`)를 `qin`/`dd`에 누적 — 질량보존 영역(`mba`) 추적 포함.",s1ini.f90:84-326,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute/s1ini.f90,84-326,84-330,243,"[{""tag"": ""insert"", ""old"": ""217-217"", ""new"": ""217-217"", ""old_text"": [""                  do i_layer = 1, num_layers""], ""new_text"": [""                  index_active_bottom_layer = max(1, kmx) - kmxn(k) + 1""]}, {""tag"": ""replace"", ""old"": ""232-235"", ""new"": ""233-238"", ""old_text"": [""                        index_active_bottom_layer = kmx - kmxn(k) + 1"", ""                        if (i_layer >= index_active_bottom_layer) then"", ""                           layer_index = kbot(k) + i_layer - index_active_bottom_layer"", ""                           qin(layer_index) = qin(layer_index) + qqlat(i_layer, k1)""], ""new_text"": [""                        layer_index = kbot(k) + i_layer - index_active_bottom_layer"", ""                        ! Redirect discharges to the nearest active layer"", ""                        if (layer_index < kbot(k)) then"", ""                           layer_index = kbot(k)"", ""                        else if (layer_index > ktop(k)) then""]}, {""tag"": ""insert"", ""old"": ""237-237"", ""new"": ""240-240"", ""old_text"": [""                     end if""], ""new_text"": [""                        qin(layer_index) = qin(layer_index) + qqlat(i_layer, k1)""]}]"
D2-6,B,models/Delft3D/source-analysis/delft3d_dflowfm_kernel_scheme.md,53,"- **θ 수치값(2026-07-12 보강)**: MDU `[numerics] Teta0` — 기본 **0.55** (`m_flowparameters.f90:851 teta0 = 0.55_dp`, 주석 verbatim ""uniform teta in horizontal""), 파싱 `unstruc_model.f90:1209`, 유효범위 주석 ""Theta of time integration (0.5 < theta < 1)""(`:3185`). 공간상수 θ 는 `flow",ini_transport.f90:160,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute_transport/ini_transport.f90,160-160,REANCHOR(160-160),1,"[{""tag"": ""replace"", ""old"": ""160-160"", ""new"": ""156-156"", ""old_text"": [""            thetavert(ITEMP) = tetav ! Central implicit  0.55d0""], ""new_text"": [""            thetavert(itemp) = tetav ! Central implicit  0.55d0""]}]"
D2-7,B,models/Delft3D/source-analysis/delft3d_dflowfm_transport_sediment.md,85,`dicouv>=0 .and. jalimitdiff/=3` 일 때 두 번째 link 루프 (`comp_fluxhor3d.f90:314-410`). 확산계수:,comp_fluxhor3d.f90:314-410,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute_transport/comp_fluxhor3d.f90,314-410,315-413,97,"[{""tag"": ""replace"", ""old"": ""374-376"", ""new"": ""375-379"", ""old_text"": [""                        fluxfac = flux_max_limit ! zie Borsboom sobek note"", ""                        !$omp atomic"", ""                        number_limited_links = number_limited_links + 1""], ""new_text"": [""                        fluxfac = flux_max_limit"", ""                        if (is_3d_layer_in_current_partition(k1) .and. is_3d_layer_in_current_partition(k2)) then"", ""                           !$omp atomic"", ""                           number_limited_links = number_limited_links + 1"", ""                        end if""]}]"
D2-8,B,models/Delft3D/source-analysis/delft3d_dflowfm_transport_sediment.md,218,"(`m_fm_bott3d.f90:1146`), `dbodsd(l,nm) += dsdnm` (`:1169`). `link 방향부호`는 helper `fm_sumflux(LL,sumflux,flux)` 가 처리 (`:2017`).",m_fm_bott3d.f90:1146,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute_sediment/m_fm_bott3d.f90,1146-1146,REANCHOR(1146-1146),1,"[{""tag"": ""replace"", ""old"": ""1146-1146"", ""new"": ""1177-1177"", ""old_text"": [""            dsdnm = (trndiv + sedflx - eroflx) * dtmor""], ""new_text"": [""            dsdnm = (trndiv + sedflx - eroflx) * dtmor  ! kg m-2""]}]"
D2-9,B,models/Delft3D/source-analysis/delft3d_dflowfm_transport_sediment.md,278,"1. **단일 통합 배열** `constituents(NUMCONST,Ndkx)` 로 salt·temp·sediment·tracer·secondary-flow 를 한 번에 수송 — 동일 advection/diffusion/solve 코드 재사용 (`update_constituents.f90:63-70`, `ini_transport.f90:79-109`).",ini_transport.f90:79-109,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute_transport/ini_transport.f90,79-109,75-105,31,"[{""tag"": ""replace"", ""old"": ""80-81"", ""new"": ""76-77"", ""old_text"": [""         NUMCONST = NUMCONST + 1"", ""         ISALT = NUMCONST""], ""new_text"": [""         numconst = numconst + 1"", ""         isalt = numconst""]}, {""tag"": ""replace"", ""old"": ""85-86"", ""new"": ""81-82"", ""old_text"": [""         NUMCONST = NUMCONST + 1"", ""         ITEMP = NUMCONST""], ""new_text"": [""         numconst = numconst + 1"", ""         itemp = numconst""]}, {""tag"": ""replace"", ""old"": ""91-92"", ""new"": ""87-88"", ""old_text"": [""            NUMCONST = NUMCONST + 1"", ""            ISED1 = NUMCONST""], ""new_text"": [""            numconst = numconst + 1"", ""            ised1 = numconst""]}]"
D2-10,B,models/Delft3D/source-analysis/delft3d_dflowfm_waves.md,49,"- **SURFBEAT**: `jajre==1 .and. nwbnd>0` 이고 `swave==1` 일 때 XBeach 체인 `xbeach_wave_bc()` → `xbeach_apply_wave_bc()` → `xbeach_waves()` → `xbeach_wave_compute_flowforcing2D()`, 3D면 추가로 `xbeach_wave_compute_flowforcing3D()` (`compute_wave_forcing_rhs.f90:84-107`)",compute_wave_forcing_rhs.f90:84-107,src/engines_gpl/dflowfm/packages/dflowfm_kernel/src/dflowfm_kernel/compute_waves/compute_wave_forcing_rhs.f90,84-107,84-108,24,"[{""tag"": ""delete"", ""old"": ""105-105"", ""new"": ""105-105"", ""old_text"": [""            call xbeach_flow_bc()""], ""new_text"": [""         end if""]}, {""tag"": ""insert"", ""old"": ""107-107"", ""new"": ""106-107"", ""old_text"": [""      end if""], ""new_text"": [""         !"", ""         call xbeach_flow_bc()""]}]"
