note,line,ref,source,ranges,region,disposition,reason
models/EFDC/source-analysis/efdc_baroclinic_eos.md,9,calbuoy.f90:44-63,calbuoy.f90,44-63,frontmatter,STILL_VALID,버전 명시된 과거 검증 기록(verification_method) — 불변
models/EFDC/source-analysis/efdc_dispersion.md,48,calhdmf.f90:116-118,calhdmf.f90,116-118,code-block,STALE_AFTER_BUMP,"코드블록 내 인용, 자동 수정 제외 영역 — snapshot 교체로 좌표 기준 불일치"
models/EFDC/source-analysis/efdc_dispersion.md,68,calhdmf.f90:225-243,calhdmf.f90,225-243,code-block,STALE_AFTER_BUMP,"코드블록 내 인용, 자동 수정 제외 영역 — snapshot 교체로 좌표 기준 불일치"
models/EFDC/source-analysis/efdc_dispersion.md,88,calhdmf.f90:246-294,calhdmf.f90,246-294,code-block,STALE_AFTER_BUMP,"코드블록 내 인용, 자동 수정 제외 영역 — snapshot 교체로 좌표 기준 불일치"
models/EFDC/source-analysis/efdc_dispersion.md,106,calhdmf.f90:301-333,calhdmf.f90,301-333,code-block,STALE_AFTER_BUMP,"코드블록 내 인용, 자동 수정 제외 영역 — snapshot 교체로 좌표 기준 불일치"
models/EFDC/source-analysis/efdc_dispersion.md,133,calhdmf3.f90:132-141,calhdmf3.f90,132-141,code-block,STALE_AFTER_BUMP,"코드블록 내 인용, 자동 수정 제외 영역 — snapshot 교체로 좌표 기준 불일치"
models/EFDC/source-analysis/efdc_dispersion.md,145,calhdmf3.f90:166-174,calhdmf3.f90,166-174,code-block,STALE_AFTER_BUMP,"코드블록 내 인용, 자동 수정 제외 영역 — snapshot 교체로 좌표 기준 불일치"
models/EFDC/source-analysis/efdc_dispersion.md,262,input.f90:3727,input.f90,3727,code-block,STALE_AFTER_BUMP,"코드블록 내 인용, 자동 수정 제외 영역 — snapshot 교체로 좌표 기준 불일치"
models/EFDC/source-analysis/efdc_dispersion.md,265,input.f90:3737,input.f90,3737,code-block,STALE_AFTER_BUMP,"코드블록 내 인용, 자동 수정 제외 영역 — snapshot 교체로 좌표 기준 불일치"
models/EFDC/source-analysis/efdc_dispersion.md,270,input.f90:3757,input.f90,3757,code-block,STALE_AFTER_BUMP,"코드블록 내 인용, 자동 수정 제외 영역 — snapshot 교체로 좌표 기준 불일치"
models/EFDC/source-analysis/efdc_linkages.md,6,input.f90:264,input.f90,264,frontmatter,STILL_VALID,버전 명시된 과거 검증 기록(verification_method) — 불변
models/EFDC/source-analysis/efdc_linkages.md,6,hdmt.f90:1574,hdmt.f90,1574,frontmatter,STILL_VALID,버전 명시된 과거 검증 기록(verification_method) — 불변
models/EFDC/source-analysis/efdc_rpem_vegetation.md,6,mod_wq.f90:361,mod_wq.f90,361,frontmatter,STILL_VALID,버전 명시된 과거 검증 기록(verification_method) — 불변
models/EFDC/source-analysis/efdc_sediment_diagenesis.md,9,mod_diagen.f90:967-975,mod_diagen.f90,967-975,frontmatter,STILL_VALID,버전 명시된 과거 검증 기록(verification_method) — 불변
models/EFDC/source-analysis/efdc_surface_forcing.md,9,caltsxy.f90:772-817,caltsxy.f90,772-817,frontmatter,STILL_VALID,버전 명시된 과거 검증 기록(verification_method) — 불변
models/EFDC/source-analysis/efdc_transport_scheme.md,6,input.f90:306,input.f90,306,frontmatter,STILL_VALID,버전 명시된 과거 검증 기록(verification_method) — 불변
models/EFDC/source-analysis/efdc_transport_scheme.md,6,mod_scaninp.f90:117,mod_scaninp.f90,117,frontmatter,STILL_VALID,버전 명시된 과거 검증 기록(verification_method) — 불변
concepts/currents/time-integration-cross-model.md,7,aaefdc.f90:3187-3188,aaefdc.f90,3187-3188,frontmatter,STILL_VALID,버전 명시된 과거 검증 기록(verification_method) — 불변
concepts/littoral-drift/06-model-application.md,7,ssedtox.f90:868-880,ssedtox.f90,868-880,frontmatter,STILL_VALID,버전 명시된 과거 검증 기록(verification_method) — 불변
