batch,id,note,note_line,codex,final,old_evidence
phase1,1,models/EFDC/source-analysis/sediment/efdc_sediment.md,205,UPDATE_REQUIRED,UPDATE_REQUIRED,"models/EFDC/raw/source_code/EFDCPlus_Stable/EFDC/Transport/calconc.f90:188-193
188:   ! *** 3D ADVECTI0N-DIFFUSION TRANSPORT FOR ALL WATER COLUMN CONSITUENTS (SEE VARINIT FOR WCV INITIALIZATION)
189:   !$OMP PARALLEL DEFAULT(SHARED)
190:   !$OMP DO PRIVATE(IW,IT,L) SCHEDULE(STATIC,1)
191:   do IW = 1,NACTIVEWC
192:     !$  IT = OMP_GET_THREAD_NUM() + 1
193:     call CALTRAN( IACTIVEWC1(IW), IACTIVEWC2(IW), WCV(IW).VAL0, WCV(IW).VAL1, IW, IT, WCV(IW).WCLIMIT, ISKIP(IW) )

models/EFDC/raw/source_code/EFDCPlus_Stable/EFDC/Transport/calconc.f90:213-219
213:   ! *** APPLY ANTI-DIFFUSION AND FLUX CORRECTOR
214:   !$OMP DO PRIVATE(IW,IT) SCHEDULE(STATIC,1)
215:   do IW = 1,NACTIVEWC
216:     if( ISKIP(IW) == 0 )then
217:       !$  IT = OMP_GET_THREAD_NUM() + 1
218:       call CALTRAN_AD( IACTIVEWC1(IW), IACTIVEWC2(IW), WCV(IW).VAL0, WCV(IW).VAL1, IW, IT )
219:     endif"
phase1,2,models/EFDC/manifest.md,17,UPDATE_REQUIRED,UPDATE_REQUIRED,"models/EFDC/raw/source_code/EFDCPlus_Stable/EFDC/aaefdc.f90:22-30
22: !  RELEASE:         EFDCPlus_12.4
23: !                   Domain Decomposition with MPI
24: !                   Propeller Wash 
25: !                   New WQ kinetics with user defined algal groups and zooplankton
26: !                   Dynamic time stepping adjustment for 3TL solution
27: !                   General Ocean Turbulence Model (GOTM)
28: !                   SIGMA-Zed (SGZ) Vertical Layering
29: !
30: !  DATE:            2025-12-29"
phase1,3,models/EFDC/manual-notes/efdc-implementation-guide.md,211,NO_ACTION,NO_ACTION,"models/EFDC/raw/source_code/EFDCPlus_Stable/EFDC/input.f90:643-650
643:   ! *** ********************************************************
644:   if( process_id == master_id )then
645:     call SEEK('C12A',0)
646:     read(1,*,IOSTAT = ISO) ISTOPT(0), ISSQL, ISAVBMX, ISFAVB, ISINWV, ISLLIM, IFPROX, XYRATIO, BC_EDGEFACTOR
647: 
648:     write(mpi_efdc_out_unit,1002) NCARD
649:     write(mpi_efdc_out_unit,*) ISTOPT(0), ISSQL, ISAVBMX, ISFAVB, ISINWV, ISLLIM, IFPROX, XYRATIO, BC_EDGEFACTOR
650:     if( ISO > 0 ) GOTO 100

models/EFDC/raw/source_code/EFDCPlus_Stable/EFDC/input.f90:660-665
660:   call Broadcast_Scalar(XYRATIO      , master_id)
661:   call Broadcast_Scalar(BC_EDGEFACTOR, master_id)
662: 
663:   if( BC_EDGEFACTOR < 0 ) BC_EDGEFACTOR = 0.0
664:   if( BC_EDGEFACTOR > 1 ) BC_EDGEFACTOR = 1.0
665:"
phase1,4,models/EFDC/source-analysis/efdc_boundary_conditions.md,198,NO_ACTION,NO_ACTION,"models/EFDC/raw/source_code/EFDCPlus_Stable/EFDC/input.f90:904-917
904:       do NP = 1,NPFOR_Readin
905:         do M = 1,MTIDE
906:           if( NPFORT == 0 )then
907:             read(1,*,IOSTAT = ISO)NDUM,CDUM,PFAM(NP,M),PFPH(NP,M)
908:             write(mpi_efdc_out_unit,1002) NCARD
909:             write(mpi_efdc_out_unit,*) NDUM, CDUM, PFAM(NP,M), PFPH(NP,M)
910:             if( ISO > 0 ) GOTO 100
911:           elseif( NPFORT >= 1 )then
912:             read(1,*,IOSTAT = ISO) NDUM, CDUM, PFAM(NP,M), PFPH(NP,M)
913:             RAD = PI2*PFPH(NP,M)/TCP(M)
914:             CPFAM0(NP,M) = PFAM(NP,M)*COS(RAD)
915:             SPFAM0(NP,M) = PFAM(NP,M)*SIN(RAD)
916:             write(mpi_efdc_out_unit,1002) NCARD
917:             write(mpi_efdc_out_unit,*) NDUM, CDUM, PFAM(NP,M), PFPH(NP,M), CPFAM0(NP,M), SPFAM0(NP,M)"
phase1,5,models/EFDC/source-analysis/efdc_water_quality.md,134,REVIEW_ONLY,REVIEW_ONLY,"models/EFDC/raw/source_code/EFDCPlus_Stable/EFDC/Transport/calconc.f90:213-220
213:   ! *** APPLY ANTI-DIFFUSION AND FLUX CORRECTOR
214:   !$OMP DO PRIVATE(IW,IT) SCHEDULE(STATIC,1)
215:   do IW = 1,NACTIVEWC
216:     if( ISKIP(IW) == 0 )then
217:       !$  IT = OMP_GET_THREAD_NUM() + 1
218:       call CALTRAN_AD( IACTIVEWC1(IW), IACTIVEWC2(IW), WCV(IW).VAL0, WCV(IW).VAL1, IW, IT )
219:     endif
220:   enddo"
phase1,6,models/EFDC/manual-notes/efdc-user-manual-r850.md,105,NO_ACTION,NO_ACTION,"models/EFDC/raw/source_code/EFDCPlus_Stable/EFDC/input.f90:384-389
384:   ! *** *******************************************************
385:   if( process_id == master_id )then
386:     call SEEK('C8',0)
387:     read(1,*,IOSTAT = ISO) TCON, TBEGIN, TIDALP, CF, ISCORV, ISDCCA, ISCFL, ISCFLM, DTSSFAC, DTSSDHDT, DTMAX
388:   endif
389: 

models/EFDC/raw/source_code/EFDCPlus_Stable/EFDC/input.f90:402-405
402: 
403:   write(mpi_efdc_out_unit,1002) NCARD
404:   write(mpi_efdc_out_unit,*) TCON, TBEGIN, TIDALP, CF, ISCORV, ISDCCA, ISCFL, ISCFLM, DTSSFAC, DTSSDHDT, DTMAX
405:   if( ISO > 0 ) GOTO 100"
phase1,7,models/EFDC/manual-notes/efdc-user-manual-r850.md,106,NO_ACTION,NO_ACTION,"models/EFDC/raw/source_code/EFDCPlus_Stable/EFDC/input.f90:643-650
643:   ! *** ********************************************************
644:   if( process_id == master_id )then
645:     call SEEK('C12A',0)
646:     read(1,*,IOSTAT = ISO) ISTOPT(0), ISSQL, ISAVBMX, ISFAVB, ISINWV, ISLLIM, IFPROX, XYRATIO, BC_EDGEFACTOR
647: 
648:     write(mpi_efdc_out_unit,1002) NCARD
649:     write(mpi_efdc_out_unit,*) ISTOPT(0), ISSQL, ISAVBMX, ISFAVB, ISINWV, ISLLIM, IFPROX, XYRATIO, BC_EDGEFACTOR
650:     if( ISO > 0 ) GOTO 100

models/EFDC/raw/source_code/EFDCPlus_Stable/EFDC/input.f90:660-665
660:   call Broadcast_Scalar(XYRATIO      , master_id)
661:   call Broadcast_Scalar(BC_EDGEFACTOR, master_id)
662: 
663:   if( BC_EDGEFACTOR < 0 ) BC_EDGEFACTOR = 0.0
664:   if( BC_EDGEFACTOR > 1 ) BC_EDGEFACTOR = 1.0
665:"
phase1,8,models/EFDC/manual-notes/efdc-user-manual-r850.md,108,NO_ACTION,NO_ACTION,"models/EFDC/raw/source_code/EFDCPlus_Stable/EFDC/input.f90:3931-3944
3931:       FBODYFX(LC,K) = 0.0
3932:       FBODYFY(LC,K) = 0.0
3933:     enddo
3934: 
3935:     if( process_id == master_id )then
3936:       close(1)
3937:     endif
3938: 
3939:   endif
3940: 
3941:   ! *** Read shellfish farm configuration
3942:   if( ISFFARM > 0 .and. NSF > 0 )then
3943:     call READ_SHELLFISH_JSON(LCM,KC)
3944:   endif"
phase1,9,models/EFDC/manual-notes/efdc-implementation-guide.md,177,NO_ACTION,NO_ACTION,"models/EFDC/raw/source_code/EFDCPlus_Stable/EFDC/input.f90:3931-3944
3931:       FBODYFX(LC,K) = 0.0
3932:       FBODYFY(LC,K) = 0.0
3933:     enddo
3934: 
3935:     if( process_id == master_id )then
3936:       close(1)
3937:     endif
3938: 
3939:   endif
3940: 
3941:   ! *** Read shellfish farm configuration
3942:   if( ISFFARM > 0 .and. NSF > 0 )then
3943:     call READ_SHELLFISH_JSON(LCM,KC)
3944:   endif"
phase1,10,models/EFDC/manual-notes/efdc-implementation-guide.md,179,NO_ACTION,NO_ACTION,"models/EFDC/raw/source_code/EFDCPlus_Stable/EFDC/input.f90:904-917
904:       do NP = 1,NPFOR_Readin
905:         do M = 1,MTIDE
906:           if( NPFORT == 0 )then
907:             read(1,*,IOSTAT = ISO)NDUM,CDUM,PFAM(NP,M),PFPH(NP,M)
908:             write(mpi_efdc_out_unit,1002) NCARD
909:             write(mpi_efdc_out_unit,*) NDUM, CDUM, PFAM(NP,M), PFPH(NP,M)
910:             if( ISO > 0 ) GOTO 100
911:           elseif( NPFORT >= 1 )then
912:             read(1,*,IOSTAT = ISO) NDUM, CDUM, PFAM(NP,M), PFPH(NP,M)
913:             RAD = PI2*PFPH(NP,M)/TCP(M)
914:             CPFAM0(NP,M) = PFAM(NP,M)*COS(RAD)
915:             SPFAM0(NP,M) = PFAM(NP,M)*SIN(RAD)
916:             write(mpi_efdc_out_unit,1002) NCARD
917:             write(mpi_efdc_out_unit,*) NDUM, CDUM, PFAM(NP,M), PFPH(NP,M), CPFAM0(NP,M), SPFAM0(NP,M)"
