note,note_line,ref,source,old,new,status,note_class
models/EFDC/manifest.md,17,EFDC/aaefdc.f90:22,EFDC/aaefdc.f90,22,21-23,REANCHOR_REQUIRED,UPDATE_REQUIRED
models/EFDC/manual-notes/efdc-implementation-guide.md,176,input.f90:198-200,EFDC/input.f90,198-200,203-205,MOVED,NO_ACTION/UPDATE_REQUIRED
models/EFDC/manual-notes/efdc-implementation-guide.md,177,input.f90:3941-3943,EFDC/input.f90,3941-3943,4090-4092,MOVED,NO_ACTION/UPDATE_REQUIRED
models/EFDC/manual-notes/efdc-implementation-guide.md,179,hdmt.f90:89,EFDC/hdmt.f90,89,89,IDENTICAL,NO_ACTION/UPDATE_REQUIRED
models/EFDC/manual-notes/efdc-implementation-guide.md,179,input.f90:913-915,EFDC/input.f90,913-915,944-946,MOVED,NO_ACTION/UPDATE_REQUIRED
models/EFDC/manual-notes/efdc-implementation-guide.md,187,input.f90:225,EFDC/input.f90,225,230,MOVED,NO_ACTION/UPDATE_REQUIRED
models/EFDC/manual-notes/efdc-implementation-guide.md,187,input.f90:237,EFDC/input.f90,237,242,MOVED,NO_ACTION/UPDATE_REQUIRED
models/EFDC/manual-notes/efdc-implementation-guide.md,193,input.f90:306,EFDC/input.f90,306,310-312,REANCHOR_REQUIRED,NO_ACTION/UPDATE_REQUIRED
models/EFDC/manual-notes/efdc-implementation-guide.md,199,input.f90:387,EFDC/input.f90,387,404,MOVED,NO_ACTION/UPDATE_REQUIRED
models/EFDC/manual-notes/efdc-implementation-guide.md,211,input.f90:646,EFDC/input.f90,646,669,MOVED,NO_ACTION/UPDATE_REQUIRED
models/EFDC/manual-notes/efdc-implementation-guide.md,257,caltsxy.f90:244-251,EFDC/caltsxy.f90,244-251,243-250,MOVED,NO_ACTION/UPDATE_REQUIRED
models/EFDC/manual-notes/efdc-implementation-guide.md,257,input.f90:6934-6939,EFDC/input.f90,6934-6939,7086-7091,MOVED,NO_ACTION/UPDATE_REQUIRED
models/EFDC/manual-notes/efdc-implementation-guide.md,257,input.f90:6923-6933,EFDC/input.f90,6923-6933,7075-7085,MOVED,NO_ACTION/UPDATE_REQUIRED
models/EFDC/manual-notes/efdc-sediment-theory-2003.md,183,ssedtox.f90:868-880,EFDC/SedTran-Original/ssedtox.f90,868-880,863-875,MOVED,-
models/EFDC/manual-notes/efdc-theory-doc-v12.md,187,ssedtox.f90:868-880,EFDC/SedTran-Original/ssedtox.f90,868-880,863-875,MOVED,-
models/EFDC/manual-notes/efdc-theory-v12-ch5-temperature-heat.md,62,mod_heat.f90:60-61,EFDC/Transport/mod_heat.f90,60-61,60-61,IDENTICAL,-
models/EFDC/manual-notes/efdc-theory-v12-ch5-temperature-heat.md,64,mod_heat.f90:648,EFDC/Transport/mod_heat.f90,648,646,MOVED,-
models/EFDC/manual-notes/efdc-theory-v12-ch5-temperature-heat.md,81,mod_heat.f90:691,EFDC/Transport/mod_heat.f90,691,689,MOVED,-
models/EFDC/manual-notes/efdc-theory-v12-ch5-temperature-heat.md,181,mod_heat.f90:1180-1184,EFDC/Transport/mod_heat.f90,1180-1184,1178-1182,MOVED,-
models/EFDC/manual-notes/efdc-user-manual-r850.md,103,input.f90:225,EFDC/input.f90,225,230,MOVED,NO_ACTION/UPDATE_REQUIRED
models/EFDC/manual-notes/efdc-user-manual-r850.md,103,input.f90:237,EFDC/input.f90,237,242,MOVED,NO_ACTION/UPDATE_REQUIRED
models/EFDC/manual-notes/efdc-user-manual-r850.md,104,input.f90:306,EFDC/input.f90,306,310-312,REANCHOR_REQUIRED,NO_ACTION/UPDATE_REQUIRED
models/EFDC/manual-notes/efdc-user-manual-r850.md,105,input.f90:387,EFDC/input.f90,387,404,MOVED,NO_ACTION/UPDATE_REQUIRED
models/EFDC/manual-notes/efdc-user-manual-r850.md,106,input.f90:646,EFDC/input.f90,646,669,MOVED,NO_ACTION/UPDATE_REQUIRED
models/EFDC/manual-notes/efdc-user-manual-r850.md,107,input.f90:198-200,EFDC/input.f90,198-200,203-205,MOVED,NO_ACTION/UPDATE_REQUIRED
models/EFDC/manual-notes/efdc-user-manual-r850.md,108,input.f90:3941-3943,EFDC/input.f90,3941-3943,4090-4092,MOVED,NO_ACTION/UPDATE_REQUIRED
models/EFDC/manual-notes/efdc-user-manual-r850.md,112,caltsxy.f90:244-251,EFDC/caltsxy.f90,244-251,243-250,MOVED,NO_ACTION/UPDATE_REQUIRED
models/EFDC/source-analysis/efdc-tidal-forcing-conventions-v12.md,27,input.f90:903,EFDC/input.f90,903,936,MOVED,REVIEW_ONLY
models/EFDC/source-analysis/efdc-tidal-forcing-conventions-v12.md,28,input.f90:913-915,EFDC/input.f90,913-915,944-946,MOVED,REVIEW_ONLY
models/EFDC/source-analysis/efdc-tidal-forcing-conventions-v12.md,28,input.f90:980-1005,EFDC/input.f90,980-1005,1021-1044,MOVED,REVIEW_ONLY
models/EFDC/source-analysis/efdc-tidal-forcing-conventions-v12.md,29,hdmt.f90:89,EFDC/hdmt.f90,89,89,IDENTICAL,REVIEW_ONLY
models/EFDC/source-analysis/efdc-tidal-forcing-conventions-v12.md,79,input.f90:6903,EFDC/input.f90,6903,7055,MOVED,REVIEW_ONLY
models/EFDC/source-analysis/efdc-tidal-forcing-conventions-v12.md,83,input.f90:6918-6922,EFDC/input.f90,6918-6922,7070-7074,MOVED,REVIEW_ONLY
models/EFDC/source-analysis/efdc-tidal-forcing-conventions-v12.md,84,input.f90:6923-6933,EFDC/input.f90,6923-6933,7075-7085,MOVED,REVIEW_ONLY
models/EFDC/source-analysis/efdc-tidal-forcing-conventions-v12.md,85,input.f90:6934-6939,EFDC/input.f90,6934-6939,7086-7091,MOVED,REVIEW_ONLY
models/EFDC/source-analysis/efdc-tidal-forcing-conventions-v12.md,87,caltsxy.f90:244-251,EFDC/caltsxy.f90,244-251,243-250,MOVED,REVIEW_ONLY
