repo_id,status,old_path,new_path,additions,deletions,patch_bytes
EFDC/EFDCPlus_Stable,modified,CMakeLists.txt,CMakeLists.txt,1,1,484
EFDC/EFDCPlus_Stable,modified,EFDC/ChemFate/caltox.f90,EFDC/ChemFate/caltox.f90,1,6,642
EFDC/EFDCPlus_Stable,modified,EFDC/ChemFate/caltoxb.f90,EFDC/ChemFate/caltoxb.f90,5,12,2260
EFDC/EFDCPlus_Stable,renamed,EFDC/EFDCPlus_MPI_12.4.vfproj,EFDC/EFDCPlus_MPI_12.5.vfproj,15,98,22596
EFDC/EFDCPlus_Stable,modified,EFDC/Eutrophication/mod_biota.f90,EFDC/Eutrophication/mod_biota.f90,1,1,829
EFDC/EFDCPlus_Stable,modified,EFDC/Eutrophication/mod_diagen.f90,EFDC/Eutrophication/mod_diagen.f90,0,2,876
EFDC/EFDCPlus_Stable,modified,EFDC/Eutrophication/mod_wq.f90,EFDC/Eutrophication/mod_wq.f90,5,5,1409
EFDC/EFDCPlus_Stable,modified,EFDC/Eutrophication/mod_wq_vars.f90,EFDC/Eutrophication/mod_wq_vars.f90,0,1,188
EFDC/EFDCPlus_Stable,modified,EFDC/Propwash/Calc_Prop_Erosion.f90,EFDC/Propwash/Calc_Prop_Erosion.f90,5,0,457
EFDC/EFDCPlus_Stable,modified,EFDC/Propwash/Mod_Active_Ship.f90,EFDC/Propwash/Mod_Active_Ship.f90,55,30,9552
EFDC/EFDCPlus_Stable,modified,EFDC/Propwash/Propwash_Calc_Sequence.f90,EFDC/Propwash/Propwash_Calc_Sequence.f90,19,2,1789
EFDC/EFDCPlus_Stable,modified,EFDC/SedTran-Original/ssedtox.f90,EFDC/SedTran-Original/ssedtox.f90,32,41,4028
EFDC/EFDCPlus_Stable,modified,EFDC/Transport/calconc.f90,EFDC/Transport/calconc.f90,59,42,6542
EFDC/EFDCPlus_Stable,added,EFDC/Transport/caltran_quickest.f90,EFDC/Transport/caltran_quickest.f90,503,0,17350
EFDC/EFDCPlus_Stable,modified,EFDC/Transport/mod_heat.f90,EFDC/Transport/mod_heat.f90,5,7,455
EFDC/EFDCPlus_Stable,added,EFDC/Transport/mod_quickest.f90,EFDC/Transport/mod_quickest.f90,115,0,4746
EFDC/EFDCPlus_Stable,modified,EFDC/Waves/mod_windwave.f90,EFDC/Waves/mod_windwave.f90,12,3,1342
EFDC/EFDCPlus_Stable,modified,EFDC/aaefdc.f90,EFDC/aaefdc.f90,17,15,3725
EFDC/EFDCPlus_Stable,modified,EFDC/calbuoy.f90,EFDC/calbuoy.f90,1,1,547
EFDC/EFDCPlus_Stable,modified,EFDC/calexp.f90,EFDC/calexp.f90,11,68,7270
EFDC/EFDCPlus_Stable,modified,EFDC/calexp2t.f90,EFDC/calexp2t.f90,34,34,7996
EFDC/EFDCPlus_Stable,modified,EFDC/calhdmf.f90,EFDC/calhdmf.f90,3,3,887
EFDC/EFDCPlus_Stable,modified,EFDC/calhdmf3.f90,EFDC/calhdmf3.f90,1,1,280
EFDC/EFDCPlus_Stable,modified,EFDC/calpnhs.f90,EFDC/calpnhs.f90,1,1,194
EFDC/EFDCPlus_Stable,modified,EFDC/calpuv2c.f90,EFDC/calpuv2c.f90,1,1,312
EFDC/EFDCPlus_Stable,modified,EFDC/calpuv9c.f90,EFDC/calpuv9c.f90,1,1,299
EFDC/EFDCPlus_Stable,modified,EFDC/caltsxy.f90,EFDC/caltsxy.f90,0,1,199
EFDC/EFDCPlus_Stable,modified,EFDC/hdmt.f90,EFDC/hdmt.f90,1,1,257
EFDC/EFDCPlus_Stable,modified,EFDC/hdmt2t.f90,EFDC/hdmt2t.f90,8,4,1377
EFDC/EFDCPlus_Stable,modified,EFDC/input.f90,EFDC/input.f90,376,213,50391
EFDC/EFDCPlus_Stable,modified,EFDC/mhkpwr.f90,EFDC/mhkpwr.f90,2,2,293
EFDC/EFDCPlus_Stable,modified,EFDC/mod_scaninp.f90,EFDC/mod_scaninp.f90,0,2,736
EFDC/EFDCPlus_Stable,modified,EFDC/mod_var_global.f90,EFDC/mod_var_global.f90,25,24,7989
EFDC/EFDCPlus_Stable,modified,EFDC/setbcs.f90,EFDC/setbcs.f90,32,40,2572
EFDC/EFDCPlus_Stable,modified,EFDC/varalloc.f90,EFDC/varalloc.f90,0,1,698
EFDC/EFDCPlus_Stable,modified,EFDC/varinit.f90,EFDC/varinit.f90,1,1,341
EFDC/EFDCPlus_Stable,modified,EFDC/welcome.f90,EFDC/welcome.f90,1,1,843
EFDC/EFDCPlus_Stable,modified,EFDCPlus_MPI_12.sln,EFDCPlus_MPI_12.sln,1,13,2791
