note,line,ref,file,status,kind,cls,reason
models/EFDC/manifest.md,17,EFDC/aaefdc.f90:22-22,EFDC/aaefdc.f90,modified,file-line,REVIEW_ONLY,citation ∩ changed hunk — 의미 검토 필요
models/EFDC/README.md,36,ssedtox.f90,EFDC/SedTran-Original/ssedtox.f90,modified,file,REVIEW_ONLY,변경 파일의 파일 단위 인용(의미 영향 미확정)
models/EFDC/README.md,46,ssedtox.f90,EFDC/SedTran-Original/ssedtox.f90,modified,file,REVIEW_ONLY,변경 파일의 파일 단위 인용(의미 영향 미확정)
models/EFDC/manual-notes/efdc-user-manual-r850.md,103,input.f90:225-225,EFDC/input.f90,modified,file-line,REVIEW_ONLY,줄 이동(내용 동일)
models/EFDC/manual-notes/efdc-user-manual-r850.md,103,input.f90:237-237,EFDC/input.f90,modified,file-line,REVIEW_ONLY,줄 이동(내용 동일)
models/EFDC/manual-notes/efdc-user-manual-r850.md,104,input.f90:306-306,EFDC/input.f90,modified,file-line,REVIEW_ONLY,citation ∩ changed hunk — 의미 검토 필요
models/EFDC/manual-notes/efdc-user-manual-r850.md,105,input.f90:387-387,EFDC/input.f90,modified,file-line,REVIEW_ONLY,citation ∩ changed hunk — 의미 검토 필요
models/EFDC/manual-notes/efdc-user-manual-r850.md,106,input.f90:646-646,EFDC/input.f90,modified,file-line,REVIEW_ONLY,citation ∩ changed hunk — 의미 검토 필요
models/EFDC/manual-notes/efdc-user-manual-r850.md,107,input.f90:198-200,EFDC/input.f90,modified,file-line,REVIEW_ONLY,줄 이동(내용 동일)
models/EFDC/manual-notes/efdc-user-manual-r850.md,108,input.f90:3941-3943,EFDC/input.f90,modified,file-line,REVIEW_ONLY,citation ∩ changed hunk — 의미 검토 필요
models/EFDC/manual-notes/efdc-user-manual-r850.md,112,caltsxy.f90:244-251,EFDC/caltsxy.f90,modified,file-line,REVIEW_ONLY,줄 이동(내용 동일)
models/EFDC/manual-notes/efdc-sediment-theory-2003.md,183,ssedtox.f90:868-880,EFDC/SedTran-Original/ssedtox.f90,modified,file-line,REVIEW_ONLY,줄 이동(내용 동일)
models/EFDC/manual-notes/efdc-theory-v12-ch5-temperature-heat.md,21,mod_heat.f90,EFDC/Transport/mod_heat.f90,modified,file,REVIEW_ONLY,변경 파일의 파일 단위 인용(의미 영향 미확정)
models/EFDC/manual-notes/efdc-theory-v12-ch5-temperature-heat.md,21,../raw/source_code/EFDCPlus_Stable/EFDC/Transport/mod_heat.f90,EFDC/Transport/mod_heat.f90,modified,file,REVIEW_ONLY,변경 파일의 파일 단위 인용(의미 영향 미확정)
models/EFDC/manual-notes/efdc-theory-v12-ch5-temperature-heat.md,44,mod_heat.f90,EFDC/Transport/mod_heat.f90,modified,file,REVIEW_ONLY,변경 파일의 파일 단위 인용(의미 영향 미확정)
models/EFDC/manual-notes/efdc-theory-v12-ch5-temperature-heat.md,62,mod_heat.f90:60-61,EFDC/Transport/mod_heat.f90,modified,file-line,NO_ACTION,변경과 교차하지 않음
models/EFDC/manual-notes/efdc-theory-v12-ch5-temperature-heat.md,64,mod_heat.f90:648-648,EFDC/Transport/mod_heat.f90,modified,file-line,REVIEW_ONLY,줄 이동(내용 동일)
models/EFDC/manual-notes/efdc-theory-v12-ch5-temperature-heat.md,81,mod_heat.f90:691-691,EFDC/Transport/mod_heat.f90,modified,file-line,REVIEW_ONLY,줄 이동(내용 동일)
models/EFDC/manual-notes/efdc-theory-v12-ch5-temperature-heat.md,95,mod_heat.f90,EFDC/Transport/mod_heat.f90,modified,file,REVIEW_ONLY,변경 파일의 파일 단위 인용(의미 영향 미확정)
models/EFDC/manual-notes/efdc-theory-v12-ch5-temperature-heat.md,167,mod_heat.f90,EFDC/Transport/mod_heat.f90,modified,file,REVIEW_ONLY,변경 파일의 파일 단위 인용(의미 영향 미확정)
models/EFDC/manual-notes/efdc-theory-v12-ch5-temperature-heat.md,181,mod_heat.f90:1180-1184,EFDC/Transport/mod_heat.f90,modified,file-line,REVIEW_ONLY,줄 이동(내용 동일)
models/EFDC/manual-notes/efdc-theory-v12-ch5-temperature-heat.md,225,mod_heat.f90,EFDC/Transport/mod_heat.f90,modified,file,REVIEW_ONLY,변경 파일의 파일 단위 인용(의미 영향 미확정)
models/EFDC/manual-notes/efdc-implementation-guide.md,176,input.f90:198-200,EFDC/input.f90,modified,file-line,REVIEW_ONLY,줄 이동(내용 동일)
models/EFDC/manual-notes/efdc-implementation-guide.md,177,input.f90,EFDC/input.f90,modified,file,REVIEW_ONLY,변경 파일의 파일 단위 인용(의미 영향 미확정)
