path,bytes,sha256
.github/ISSUE_TEMPLATE/bug_report.yml,1585,086ec5657457b1fe551ae7b2abede4741a14766084f8fdff45cd586aee826a4d
.github/ISSUE_TEMPLATE/config.yml,33,c996160ab6dffc812e88c1d582904fea10b15e74414388954a0d6f11adfe451d
.github/ISSUE_TEMPLATE/documentation_improvement.yml,799,8879c648d6b024de9818b955a6a18ac0eb974a7c12f2ee82e15718e40c9ca482
.github/ISSUE_TEMPLATE/feature_request.yml,988,d2a95091084d4b1906c2f4f96565c9b7ece89816840f98ff3bbd4c10e5eccb0d
.github/pull_request_template.md,436,3e531ae1d7f927515210aeb69961d27c75a754ab5b3bf49bd7eedfb3aa2e0c99
.github/workflows/docs.yml,1189,944dbae872cefb212afb4a445637509bac385cbd675e508d7b0c6c935e9ec734
.github/workflows/linting.yml,471,dc63191a5fe28d9662f864299b3d3e384217a8e58e70111f7ddf9674d11f84b3
.github/workflows/publish.yml,778,01b8a2b6e26e29091fa9144b5ad83fb9e1aa9af125685436c940010eac27fa67
.github/workflows/test-hydrolibcore-main.yml,1102,83018f99612e398d25ee0bd6ec14beb720e47166be9b70ca4c0c378c3ef97c3f
.github/workflows/test-hydromt-main.yml,1078,4568ed5bd68c8c9b21a0334b44c84ff118a0d19ccc745193b0a860858b5ebb0c
.github/workflows/test.yml,1194,dfbb34daa519eea5b8cc0dac5b1de68caf278c44b936cbcea4612005c821f60a
.gitignore,3203,1cf8745669734bba52f97ff591cc673c91fc5b4a7e34415b1cb2a5b830140405
.pre-commit-config.yaml,711,d1f507b5ebaee357440436d00a84c4768a9dafb98793e8f7fc6834492bbdec68
.yamlfmt,106,8da53ee9eadb7c644dcc7704ef827f5c4fd7b331eeb329c203afc42162570512
LICENSE,35149,3972dc9744f6499f0f9b2dbf76696f2ae7ad8af9b23dde66d6af86c9dfb36986
README.rst,4401,dc7b1a6fb422aa30c5b6f6f9c03c8b9f24120fdd18f6bf6083c3428a2c8b7d51
docs/Makefile,615,e06d6cb5786bc8baca279dee389b49d0e0e05c8bd1c4e317f21ad24bc70321b1
docs/_static/deltares-blue.svg,1843,75b81e78c7828e9aedeb832aa37de2f35a25f5b8ba31b35bdbc3288e41d91cfa
docs/_static/deltares-white.svg,1896,8b644ed81aa80944ea5a65affb627e5a8b8d28c2c3085b08fd203b1bf7011eed
docs/_static/hydromt-icon.svg,14881,58571ab7a3820a51202c09f5f7c89ddc6dad70614d40bb8c5e40d407adc98813
docs/_static/logo_delft3dfm.png,75155,5cd38e27f4ad61161471997aff20fd5cdf698831e8c8d558c9d00944cd1a9981
docs/_static/theme-deltares.css,941,2615bdd0ae3e9fa82288ecffd82711ba798cc0d71f5d179a40da0394f4c9d774
docs/_templates/.gitignore,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
docs/api.rst,5591,6859d7cc7213c8104c3abe189136c02408665e0beb234debe36d2ace6883d58f
docs/changelog.rst,5103,ea41ccdbb56df19b4953890962f2bdd082ab3abd1fffb4354503dcab75b8229e
docs/conf.py,9278,3e2d00f59e4a6c80e561bde485bf175dfd7d167421b438e02b53ffb83d318e9c
docs/dev_guide/contributors.rst,518,9a8ae67d3b1859cab5479c385d4fb8463977cc4f762b85c0152d37928918c3be
docs/dev_guide/dev_guide.rst,1876,9c12611ccb971276389d874e630d4531f366ce8b2ccda7dfb7b650564d98fe73
docs/dev_guide/intro.rst,319,07151ef26b73b11147d1608502905aa8c69139c1aa920b01afa53c93fc8ecbf2
docs/dev_guide/release.rst,915,ce005f851152d501c87cbc9c49bfd5150a89be15bace4027d5e2422b7ad50497
docs/dev_guide/roadmap.rst,353,0b61dbe684b6b213a7e1bda13929877afbea7cfa9963e66c7662f6ee50785b63
docs/features 2023.png,53597,488b22a8957306f7915c00a5cbf6b527348b7afc16497805cab2a28dc3545c31
docs/getting_started/example_index.rst,790,3dff35a292efdf65914f008e68ebe448aa974afdf72ce48e6623e512a714fabc
docs/getting_started/faq.rst,819,a2eed7bd27d0aed6cc94936bde1a19e3d5a12ffb4817cc1b42e2e4e0090d1c46
docs/getting_started/installation.rst,1790,12ab38c346baee8eee0f1f4cf656bc2e1c50dee4162f3f4a38bb83f184dc0199
docs/getting_started/intro.rst,970,f6ef72e2a2aff734aa35061cdbb1d89cb09c7cefcabeda9f96530c8749381d1f
docs/index.rst,157,5b03e4f8bc86b39f6183abf8b3524cfb1518ceb7e5bceb299ef70703773a9f2f
docs/make.bat,785,ef43fbd1d1ecaf699bc88bb496150901a4a36097c2c107c8575cc87261917fc8
docs/user_guide/dflowfm.rst,647,0740740e7af7f318671800e97231dd96fb1f2d564518aecb0870832d52c9d225
docs/user_guide/dflowfm_build.rst,2912,de3c4eba433352182b711006f982c030c3e7dd9e5295f9e669019043f9f8960c
docs/user_guide/dflowfm_model_setup.rst,4402,ca4e9d24f62e22a976c0b91ba8c66bf574e53d827c2ac3485635da54e4704849
docs/user_guide/dflowfm_update.rst,1725,879f5515e42e4acd81dfbaffa0f11539e71c91540a32a7ff6d50d194b4ddf1cb
docs/user_guide/intro.rst,906,f9ef4a97475b1175c068e5ff9b3637c741f223cd16761535f99cd828a01606c6
examples/README.rst,3518,fc061cceecab1525b3a947bf9adbc45caf63dd9e29a34ed96a53492fae95e9c7
examples/build_1d2dmodel.ipynb,14656,82dea3140f3dad70b583708ab40a1d8fcb566249550766e80c377a1cc74f17b8
examples/build_1dmodel.ipynb,12455,fcc182ec9ce5f4e488ef6a620a9d76b11b3545706e532bff99ab9554695f9b81
examples/build_2dmodel.ipynb,11614,37f80d374cd0f607ba8db96a74ee0ee11f9207f601eb9d6ee242e38b08856699
examples/data/data_catalog_local.yaml,4936,4463685f0e30577ad4c9c4bfa322c523db72406b9218cb4dd664cd8ba74ef1c6
examples/data/local_data/1D_branches.geojson,21482,987dc2f6e9e3423d4d588c7f79338089186fa83bfe0c47b0b52b33179a467610
examples/data/local_data/1D_extent.geojson,15693,fc62765ddb3132fab1436b0e983785b7b9c5e8aa27045f91199d31f8bf14db16
examples/data/local_data/1D_rivers.geojson,22264,250e89a19ac2b79b9769b431fdd183a356d6b2229e07d18bd8d59a8a0c6ec274
examples/data/local_data/1D_rivers_pointcrosssections.geojson,409,550f1d048552edd2cc867742691684638e8b55a799f0e286fa4515242dbc5f37
examples/data/local_data/1D_rivers_xyzcrosssections.geojson,1154,689285b65802e0ce13885b67ed9f3d4455247454838e65a780b12efc27e4e0e0
examples/data/local_data/2D_grid_extent.geojson,1926,9fedad468349ea2a9fe69b9431fbba9932ffa4faf449da49ae77ef74b9fbbb65
examples/data/local_data/2d_boundary.geojson,19530,b5ef32b08452f9975233a71d79dcdc6f87d35c99e3cf614aeb6d88236fbf3aeb
examples/data/local_data/2dboundaries_series.csv,509,be2c79d97a62714f00cdc69652a644ba8efec3c3e06fdc436db4aeb192decccf
examples/data/local_data/boundaries.geojson,751,e6268ba8997f7f381292b555b592cb25eedc305be9478a00e2576f1891df4cb5
examples/data/local_data/boundaries_series.csv,513,8127901cfe6460e5c42d45f79dcf5c6fc6e7d3efd99a78b67d2ec9a626315814
examples/data/local_data/bridges.geojson,1168,13f021aa98211e3c2f94947127418f0a1a97ea2aa245cd35e70c8329a19a19d7
examples/data/local_data/citycenter.geojson,785,c206b4e99f445966740890d09dc7c8f7a103b7651292523b8959f5390566b44c
examples/data/local_data/citycenter.qmd,665,7f2430c07eba86346e1853a31260b7e9ed8815d9f4a797cf5199915998359d63
examples/data/local_data/compounds.geojson,548,9a65c2082b93a608ad4a8c02600800460bfeef32686c2f4f591af385a31025c9
examples/data/local_data/culverts.geojson,691,4597df00f85d0a09d8ff14e8db45dc471b1240c1e3060e7c9b40ab1d22de5561
examples/data/local_data/dem.tif,8330,abcbd04276bc437adb941ded7fe1148cad9dcf7a1727768e555ea651fdae28d1
examples/data/local_data/frictioncoefficient.tif,6935,5492354b34f70bcc8761173d7c8c99511af1c19f59553f120edbc248172fe8fe
examples/data/local_data/gates.geojson,1104,425fd9eeb109413b3059bf871b1e36f7b95f7cd478265565ab1dfa52dcc5a809
examples/data/local_data/laterals_points.geojson,310,7b50b8de94e65bf785c4433f99a75e0e07d1b9ad821287e31635bb9a6055eb43
examples/data/local_data/laterals_polygons.geojson,534,90096bcb148639cb71c7c5731e0297e925a2d39ece31c28cd714bda7b8926ebc
examples/data/local_data/laterals_series.csv,436,559a5df52749d6159669aed540f02616ce7cee1a607ecd2f74b58d33973b1d7c
examples/data/local_data/manholes.geojson,4510,eb5af5d0459f44fb045ed0c9bb5771d5d8b4e386ed79696617fafb761d5036e3
examples/data/local_data/manholes.qmd,672,bf3b5704e8a448e6139197155e1b4d0dd4aa650f3c626a3e02cb425142dcfe3e
examples/data/local_data/orifices.geojson,519,8e2f91066bfe1c55ed8be9cc4e7d9ea05673e7d352d70835c152acb26c50dd66
examples/data/local_data/outfalls.geojson,2344,918ab60c2da8f4434496587de963b509b19243c1c51e10e804b7610fc9588a40
examples/data/local_data/outfalls.qmd,672,bf3b5704e8a448e6139197155e1b4d0dd4aa650f3c626a3e02cb425142dcfe3e
examples/data/local_data/pumps.geojson,4215,79d70f5bbde81172edcea5ba8abd3b8196674f3514f045e58bf679b61fa85cc7
examples/data/local_data/rainfall_series.csv,551,5fbd42e6b43c61b52a2a1a8e0ca0a4b769dc60b35800948ce73036192616245c
examples/data/local_data/region.geojson,501,f182c62514e0f7f577c96103116e8a983572c699682fe625a7f06cdd645383ca
examples/data/local_data/retention_ponds.geojson,560,0611afb60705a897417d7f6d8bc43d20b9e2cf9540d96e48d9a8f34235830654
examples/data/local_data/roads.tiff,17896,c434cb6aa8049260732af615dd2cee8af41da17288d5f679b6c04c0a15ab301e
examples/data/local_data/smallextent.geojson,539,9f78d999b1f8cdd4a9beaaf958430bab5061be35fd24856d97fb86860d054146
examples/data/local_data/subcatchments.geojson,25266,10e3697af060b333b5cdb1260ee53de87524f72065a57f8d0298223efc607f28
examples/data/local_data/weirs.geojson,836,752cf98a7fa3efa9deb9cf46f3db3bd66b48864a8f9bd2c5c41a09ed762701c6
examples/data/local_data/xyz_crosssections.geojson,2890,bb2a3050dd3fc0633ad2fd6bc0aece00df82e26d4015df830780c4a64604e412
examples/data/refine.geojson,1178,86a8dce327a1977111dbaa3fde28e022bf15c58571a5155de8ab8371809cfef7
examples/dflowfm_build1d.yml,1254,5a7ee0f94ec888cb6c5c1e7c93f1354854279d5836ff5d9c3f82330016a88add
examples/dflowfm_build2d.yml,659,10e52c4eff70e637cdc7287e66084f2f1c2a473e185f9d6311a09f749d6099f9
examples/dflowfm_build_local.yml,2264,3284fe6c3fd8351dc33f5b39eb0588b84e5b086c659c44c715cc01d6fcaa1e01
examples/dflowfm_build_piave.yml,1870,24e0cb3382191fbef8bbf5b2cb503e6622fb2dc11b2055c9c95f59e1afe27d52
examples/dflowfm_local/dflowfm/0.pli,1055,edf07fd39b57f7771c45bc426476907d906a056f4582adce4196c66e28c12c49
examples/dflowfm_local/dflowfm/1.pli,14741,76a3d1fc8a8e68d59217cfb8b579996d22a5e71eadcb6aa58cb9838e4fda9b81
examples/dflowfm_local/dflowfm/DFlowFM.mdu,41985,5585ebfb79a83cff2197d9249cb0b77cd3722ccc6719a4b5c650c649eab18955
examples/dflowfm_local/dflowfm/bnd.ext,1499,bd01882576ec6dec9ed7e1abd3f4f888af782a4a03a109ac0d3e2199c4684886
examples/dflowfm_local/dflowfm/boundarycondition1d.bc,1212,def1c17f722df204456c99d63c963b07359af4a6f8cb44e11304627acaecae34
examples/dflowfm_local/dflowfm/boundaryconditions2d_0.bc,13337,ad40eeabb9a7a1927c03578e7dcd9bee5cca4edd47e04d1bf0e10419e201cfc3
examples/dflowfm_local/dflowfm/boundaryconditions2d_1.bc,178215,82690931231c6facecd722443a791ad243f3227e7827326e268f1d206d14a4f2
examples/dflowfm_local/dflowfm/branches.gui,8475,8fef76fff06fb4157ba2980b12d639ced3e76433d1d757254b1bfb24236976d5
examples/dflowfm_local/dflowfm/crsdef.ini,6140,d7aa63245f11df5183f4e12a307795c6aabd37b2777413c18d7530a4968d3b1e
examples/dflowfm_local/dflowfm/crsloc.ini,18305,76de0caa284b82f4202259c1b0eff09de87724614575f4dd7cef66925d2606f2
examples/dflowfm_local/dflowfm/fieldFile.ini,970,e3e0bf337c80f0764f18d3afd54be8908d2f2cbd4c97ddec4b42597e0409ce16
examples/dflowfm_local/dflowfm/fm_net.nc,191060,fd5d8df093101f32742f8794119493e1bfe0f6901f9ac0e38d5fd3896475f8a0
examples/dflowfm_local/dflowfm/lateral1d.bc,1183,e40c33c166acfb329108f5dccf5fc3b3bd8616538a9ab60d1efdfab91cd76f48
examples/dflowfm_local/dflowfm/meteo_boundaryconditions.bc,646,08b695634a22fdce230726a450c84e7e0a5a765f32c47c2029bcfa74fec3eafb
examples/dflowfm_local/dflowfm/nodeFile.ini,22691,be54277c178d7418eded43200d46e69d9d7f6ad1ae3f09d270c634136386b56c
examples/dflowfm_local/dflowfm/roughness_Manning_0.023.ini,499,ed4be9b9ca1f4e752d6ac97edf0a2ae894cf676d4b50bd195ccf5997bbde1bfd
examples/dflowfm_local/dflowfm/roughness_WhiteColeBrook_0.003.ini,520,fd4c6e55319cd7312bc5bfc3432e0f120898a5c6677c1e102e04262e9c579fef
