model,repository,local_branch,pinned_commit_sha,pinned_date,shallow,origin_url,upstream_branch,upstream_head_sha,upstream_head_date,latest_release_or_tag(+date),status,evidence
ADCIRC,FigureGen,master,d3517e4a5cdb82d0f89182cb94a49f1f688393f9,2021-02-08T09:42:10-05:00,true,https://github.com/ccht-ncsu/FigureGen.git,master,d3517e4a5cdb82d0f89182cb94a49f1f688393f9,2021-02-08T14:42:10Z,no release/tag,CURRENT,"path=models/ADCIRC/raw/source_code/FigureGen; git -c safe.directory='*' -C <path>: symbolic-ref --quiet --short HEAD; rev-parse --verify HEAD; show -s --format=%cI HEAD; rev-parse --is-shallow-repository; config --get remote.origin.url; local tracking config: branch.master.remote=origin, branch.master.merge=refs/heads/master (local configuration only; remote not verified); HEAD rechecked unchanged; all remote fields UNKNOWN (reason: network blocked); shared probe: git -c safe.directory='*' ls-remote --symref https://github.com/ccht-ncsu/FigureGen.git HEAD => exit 128, Could not resolve host: github.com; no further remote requests per stop condition | remote 2026-09-19T13:11:14Z: git ls-remote --symref <origin> HEAD refs/heads/master rc=0; gh api repos/ccht-ncsu/FigureGen/commits/<head>, releases/latest"
ADCIRC,StormEvents,main,fd0da544dc863ab73a10a675cce7b0cf70b472bf,2026-02-05T13:39:05-05:00,true,https://github.com/oceanmodeling/StormEvents.git,main,3987c0c9b957ff020cf919c0e4de946aa3169d97,2026-05-05T12:22:30Z,release v2.3.7 (2026-02-05),BEHIND,"path=models/ADCIRC/raw/source_code/StormEvents; git -c safe.directory='*' -C <path>: symbolic-ref --quiet --short HEAD; rev-parse --verify HEAD; show -s --format=%cI HEAD; rev-parse --is-shallow-repository; config --get remote.origin.url; local tracking config: branch.main.remote=origin, branch.main.merge=refs/heads/main (local configuration only; remote not verified); HEAD rechecked unchanged; all remote fields UNKNOWN (reason: network blocked); shared probe: git -c safe.directory='*' ls-remote --symref https://github.com/ccht-ncsu/FigureGen.git HEAD => exit 128, Could not resolve host: github.com; no further remote requests per stop condition | remote 2026-09-19T13:11:14Z: git ls-remote --symref <origin> HEAD refs/heads/main rc=0; gh compare pinned...head status=ahead ahead_by=1 behind_by=0; gh api repos/oceanmodeling/StormEvents/commits/<head>, releases/latest"
ADCIRC,adcirc,main,6037225ce4573efd3c1f8877a5dc908d01c199a8,2026-04-16T07:22:35-04:00,true,https://github.com/adcirc/adcirc.git,main,e8b62a70db39dbc8875785ee999a2214be75302b,2026-08-31T22:45:25Z,release v56.2.1 (2025-11-20),BEHIND,"path=models/ADCIRC/raw/source_code/adcirc; git -c safe.directory='*' -C <path>: symbolic-ref --quiet --short HEAD; rev-parse --verify HEAD; show -s --format=%cI HEAD; rev-parse --is-shallow-repository; config --get remote.origin.url; local tracking config: branch.main.remote=origin, branch.main.merge=refs/heads/main (local configuration only; remote not verified); HEAD rechecked unchanged; all remote fields UNKNOWN (reason: network blocked); shared probe: git -c safe.directory='*' ls-remote --symref https://github.com/ccht-ncsu/FigureGen.git HEAD => exit 128, Could not resolve host: github.com; no further remote requests per stop condition | remote 2026-09-19T13:11:14Z: git ls-remote --symref <origin> HEAD refs/heads/main rc=0; gh compare pinned...head status=ahead ahead_by=14 behind_by=0; gh api repos/adcirc/adcirc/commits/<head>, releases/latest"
ADCIRC,adcirc-testsuite,main,72bb573073ea89e538890f9352dd8e92bae562f5,2025-10-16T15:48:05-04:00,false,https://github.com/adcirc/adcirc-testsuite.git,main,72bb573073ea89e538890f9352dd8e92bae562f5,2025-10-16T19:48:05Z,no release/tag,CURRENT,"path=models/ADCIRC/raw/source_code/adcirc-testsuite; git -c safe.directory='*' -C <path>: symbolic-ref --quiet --short HEAD; rev-parse --verify HEAD; show -s --format=%cI HEAD; rev-parse --is-shallow-repository; config --get remote.origin.url; local tracking config: branch.main.remote=origin, branch.main.merge=refs/heads/main (local configuration only; remote not verified); HEAD rechecked unchanged; all remote fields UNKNOWN (reason: network blocked); shared probe: git -c safe.directory='*' ls-remote --symref https://github.com/ccht-ncsu/FigureGen.git HEAD => exit 128, Could not resolve host: github.com; no further remote requests per stop condition | remote 2026-09-19T13:11:14Z: git ls-remote --symref <origin> HEAD refs/heads/main rc=0; gh api repos/adcirc/adcirc-testsuite/commits/<head>, releases/latest"
ADCIRC,adcircpy,main,0eb84de6e743b4b6c8f2514dba07646b883ecc08,2024-08-12T14:08:21-04:00,true,https://github.com/oceanmodeling/adcircpy.git,main,0eb84de6e743b4b6c8f2514dba07646b883ecc08,2024-08-12T18:08:21Z,release v1.3.1 (2024-08-12),CURRENT,"path=models/ADCIRC/raw/source_code/adcircpy; git -c safe.directory='*' -C <path>: symbolic-ref --quiet --short HEAD; rev-parse --verify HEAD; show -s --format=%cI HEAD; rev-parse --is-shallow-repository; config --get remote.origin.url; local tracking config: branch.main.remote=origin, branch.main.merge=refs/heads/main (local configuration only; remote not verified); HEAD rechecked unchanged; all remote fields UNKNOWN (reason: network blocked); shared probe: git -c safe.directory='*' ls-remote --symref https://github.com/ccht-ncsu/FigureGen.git HEAD => exit 128, Could not resolve host: github.com; no further remote requests per stop condition | remote 2026-09-19T13:11:14Z: git ls-remote --symref <origin> HEAD refs/heads/main rc=0; gh api repos/oceanmodeling/adcircpy/commits/<head>, releases/latest"
ADCIRC,asgs,master,aeb383324bb486a5c4d834ce4edd99a7086566c8,2026-04-27T11:59:23-05:00,true,https://github.com/StormSurgeLive/asgs.git,master,08d5187966f4e96f3b37f10f29b9cf37dbf9ba6c,2026-07-23T16:47:34Z,release 2026.1.release-1 (2026-08-14),BEHIND,"path=models/ADCIRC/raw/source_code/asgs; git -c safe.directory='*' -C <path>: symbolic-ref --quiet --short HEAD; rev-parse --verify HEAD; show -s --format=%cI HEAD; rev-parse --is-shallow-repository; config --get remote.origin.url; local tracking config: branch.master.remote=origin, branch.master.merge=refs/heads/master (local configuration only; remote not verified); HEAD rechecked unchanged; all remote fields UNKNOWN (reason: network blocked); shared probe: git -c safe.directory='*' ls-remote --symref https://github.com/ccht-ncsu/FigureGen.git HEAD => exit 128, Could not resolve host: github.com; no further remote requests per stop condition | remote 2026-09-19T13:11:14Z: git ls-remote --symref <origin> HEAD refs/heads/master rc=0; gh compare pinned...head status=ahead ahead_by=20 behind_by=0; gh api repos/StormSurgeLive/asgs/commits/<head>, releases/latest"
ADCIRC,gahm,main,bcbb0fe857098affb91fce3c24e1f099a244b80d,2024-03-19T19:33:08-04:00,true,https://github.com/adcirc/gahm.git,main,bcbb0fe857098affb91fce3c24e1f099a244b80d,2024-03-19T23:33:08Z,no release/tag,CURRENT,"path=models/ADCIRC/raw/source_code/gahm; git -c safe.directory='*' -C <path>: symbolic-ref --quiet --short HEAD; rev-parse --verify HEAD; show -s --format=%cI HEAD; rev-parse --is-shallow-repository; config --get remote.origin.url; local tracking config: branch.main.remote=origin, branch.main.merge=refs/heads/main (local configuration only; remote not verified); HEAD rechecked unchanged; all remote fields UNKNOWN (reason: network blocked); shared probe: git -c safe.directory='*' ls-remote --symref https://github.com/ccht-ncsu/FigureGen.git HEAD => exit 128, Could not resolve host: github.com; no further remote requests per stop condition | remote 2026-09-19T13:11:14Z: git ls-remote --symref <origin> HEAD refs/heads/main rc=0; gh api repos/adcirc/gahm/commits/<head>, releases/latest"
CADMAS-SURF,Multiscale-and-Multiphysics-Integrated-Simulator-for-Tsunami,main,da7668f97f4ea15fdcb11a377bea12a083a40c53,2024-08-30T16:34:59+09:00,true,https://github.com/CADMAS-SURF/Multiscale-and-Multiphysics-Integrated-Simulator-for-Tsunami.git,main,da7668f97f4ea15fdcb11a377bea12a083a40c53,2024-08-30T07:34:59Z,no release/tag,CURRENT,"path=models/CADMAS-SURF/raw/source_code/Multiscale-and-Multiphysics-Integrated-Simulator-for-Tsunami; git -c safe.directory='*' -C <path>: symbolic-ref --quiet --short HEAD; rev-parse --verify HEAD; show -s --format=%cI HEAD; rev-parse --is-shallow-repository; config --get remote.origin.url; local tracking config: branch.main.remote=origin, branch.main.merge=refs/heads/main (local configuration only; remote not verified); HEAD rechecked unchanged; all remote fields UNKNOWN (reason: network blocked); shared probe: git -c safe.directory='*' ls-remote --symref https://github.com/ccht-ncsu/FigureGen.git HEAD => exit 128, Could not resolve host: github.com; no further remote requests per stop condition | remote 2026-09-19T13:11:14Z: git ls-remote --symref <origin> HEAD refs/heads/main rc=0; gh api repos/CADMAS-SURF/Multiscale-and-Multiphysics-Integrated-Simulator-for-Tsunami/commits/<head>, releases/latest"
Celeris,Celeris-WebGPU,main,f6fd78bd12af3aeeef11774a850b6b3d52be65b3,2026-06-04T02:36:03-07:00,true,https://github.com/plynett/plynett.github.io,main,ebca435d02b258768e0352fbaf27404f2f135799,2026-07-20T23:10:36Z,no release/tag,BEHIND,"path=models/Celeris/raw/source_code/Celeris-WebGPU; git -c safe.directory='*' -C <path>: symbolic-ref --quiet --short HEAD; rev-parse --verify HEAD; show -s --format=%cI HEAD; rev-parse --is-shallow-repository; config --get remote.origin.url; local tracking config: branch.main.remote=origin, branch.main.merge=refs/heads/main (local configuration only; remote not verified); HEAD rechecked unchanged; all remote fields UNKNOWN (reason: network blocked); shared probe: git -c safe.directory='*' ls-remote --symref https://github.com/ccht-ncsu/FigureGen.git HEAD => exit 128, Could not resolve host: github.com; no further remote requests per stop condition | remote 2026-09-19T13:11:14Z: git ls-remote --symref <origin> HEAD refs/heads/main rc=0; gh compare pinned...head status=ahead ahead_by=10 behind_by=0; gh api repos/plynett/plynett.github.io/commits/<head>, releases/latest"
Delft3D,Delft-FIAT,master,a1fd66cf6f27eb7322e04188d1d962ac7fce10fe,2026-03-05T10:01:17+01:00,true,https://github.com/Deltares/Delft-FIAT.git,master,a1fd66cf6f27eb7322e04188d1d962ac7fce10fe,2026-03-05T09:01:17Z,release v0.4.0 (2025-10-28),CURRENT,"path=models/Delft3D/raw/source_code/Delft-FIAT; git -c safe.directory='*' -C <path>: symbolic-ref --quiet --short HEAD; rev-parse --verify HEAD; show -s --format=%cI HEAD; rev-parse --is-shallow-repository; config --get remote.origin.url; local tracking config: branch.master.remote=origin, branch.master.merge=refs/heads/master (local configuration only; remote not verified); HEAD rechecked unchanged; all remote fields UNKNOWN (reason: network blocked); shared probe: git -c safe.directory='*' ls-remote --symref https://github.com/ccht-ncsu/FigureGen.git HEAD => exit 128, Could not resolve host: github.com; no further remote requests per stop condition | remote 2026-09-19T13:11:14Z: git ls-remote --symref <origin> HEAD refs/heads/master rc=0; gh api repos/Deltares/Delft-FIAT/commits/<head>, releases/latest"
