note,status,historical_source_provenance,current_validated_against,validation_kind,validated_on,maintenance
models/Celeris/README.md,NO_ACTION,f6fd78bd12af3aeeef11774a850b6b3d52be65b3,,이번 범위에서 재검증하지 않음,,
models/Celeris/manual-notes/README.md,NO_ACTION,f6fd78bd12af3aeeef11774a850b6b3d52be65b3,,이번 범위에서 재검증하지 않음,,
models/Celeris/manual-notes/celeris-architecture-and-config.md,NO_ACTION,f6fd78bd12af3aeeef11774a850b6b3d52be65b3,,이번 범위에서 재검증하지 않음,,
models/Celeris/source-analysis/README.md,NO_ACTION,f6fd78bd12af3aeeef11774a850b6b3d52be65b3,,이번 범위에서 재검증하지 않음,,
models/Celeris/source-analysis/celeris-boussinesq-solver.md,LINE_REFERENCE_ONLY,f6fd78bd12af3aeeef11774a850b6b3d52be65b3,ebca435d02b258768e0352fbaf27404f2f135799,"좌표만 갱신, 시작·끝 줄 내용 동일성 확인",2026-09-21,
models/Celeris/source-analysis/celeris-breaking-boundary.md,SEMANTICALLY_UPDATED,f6fd78bd12af3aeeef11774a850b6b3d52be65b3,ebca435d02b258768e0352fbaf27404f2f135799,"의미 수정 + 좌표 갱신, 새 소스 직접 대조",2026-09-21,
models/Celeris/source-analysis/celeris-coulwave.md,LINE_REFERENCE_ONLY,f6fd78bd12af3aeeef11774a850b6b3d52be65b3,ebca435d02b258768e0352fbaf27404f2f135799,"좌표만 갱신, 시작·끝 줄 내용 동일성 확인",2026-09-21,
models/Celeris/source-analysis/celeris-fv-reconstruction.md,LINE_REFERENCE_ONLY,f6fd78bd12af3aeeef11774a850b6b3d52be65b3,ebca435d02b258768e0352fbaf27404f2f135799,"좌표만 갱신, 시작·끝 줄 내용 동일성 확인",2026-09-21,
models/Celeris/source-analysis/celeris-pipeline-graph.md,SEMANTICALLY_UPDATED,f6fd78bd12af3aeeef11774a850b6b3d52be65b3,ebca435d02b258768e0352fbaf27404f2f135799,"의미 수정 + 좌표 갱신, 새 소스 직접 대조",2026-09-21,
models/Celeris/source-analysis/celeris-render.md,NO_ACTION,f6fd78bd12af3aeeef11774a850b6b3d52be65b3,,이번 범위에서 재검증하지 않음,,
models/Celeris/source-analysis/celeris-sediment.md,LINE_REFERENCE_ONLY,f6fd78bd12af3aeeef11774a850b6b3d52be65b3,ebca435d02b258768e0352fbaf27404f2f135799,"좌표만 갱신, 시작·끝 줄 내용 동일성 확인",2026-09-21,
models/Celeris/source-analysis/celeris-source-map.md,SEMANTICALLY_UPDATED,f6fd78bd12af3aeeef11774a850b6b3d52be65b3,ebca435d02b258768e0352fbaf27404f2f135799,"의미 수정 + 좌표 갱신, 새 소스 직접 대조",2026-09-21,
models/Celeris/source-analysis/celeris-webgpu-infrastructure.md,SEMANTICALLY_UPDATED,f6fd78bd12af3aeeef11774a850b6b3d52be65b3,ebca435d02b258768e0352fbaf27404f2f135799,"의미 수정 + 좌표 갱신, 새 소스 직접 대조",2026-09-21,
models/Celeris/web-refs/README.md,NO_ACTION,f6fd78bd12af3aeeef11774a850b6b3d52be65b3,,이번 범위에서 재검증하지 않음,,
models/Celeris/web-refs/celeris-coulwave-theory.md,LINE_REFERENCE_ONLY,f6fd78bd12af3aeeef11774a850b6b3d52be65b3,ebca435d02b258768e0352fbaf27404f2f135799,"좌표만 갱신, 시작·끝 줄 내용 동일성 확인",2026-09-21,
models/Celeris/web-refs/celeris-lynett-2026.md,NO_ACTION,f6fd78bd12af3aeeef11774a850b6b3d52be65b3,,이번 범위에서 재검증하지 않음,,
models/Celeris/web-refs/celeris-official-resources.md,NO_ACTION,f6fd78bd12af3aeeef11774a850b6b3d52be65b3,,이번 범위에서 재검증하지 않음,,
