note,note_line,ref,source,old,new,status,basis
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,31,[file=src/swanmain.ftn line=618-623],src/swanmain.ftn,618-623,618-623,IDENTICAL,
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,32,[file=src/swanmain.ftn line=624-627],src/swanmain.ftn,624-627,624-627,IDENTICAL,
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,33,[file=src/SwanCompUnstruc.ftn90 line=66-83],src/SwanCompUnstruc.ftn90,66-83,68-85,MOVED,
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,64,[file=src/SwanCompUnstruc.ftn90 line=918],src/SwanCompUnstruc.ftn90,918,915,REANCHORED,"내용 대조로 확정(시작·끝 줄 원문 일치, 해당 구간 일괄 −3 이동)"
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,68,[file=src/SwanCompUnstruc.ftn90 line=829-979],src/SwanCompUnstruc.ftn90,829-979,823-976,REANCHORED,"내용 대조로 확정(시작·끝 줄 원문 일치, 해당 구간 일괄 −3 이동)"
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,68,[file=src/SwanCompUnstruc.ftn90 line=983-987],src/SwanCompUnstruc.ftn90,983-987,980-984,REANCHORED,"내용 대조로 확정(시작·끝 줄 원문 일치, 해당 구간 일괄 −3 이동)"
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,68,[file=src/SwanCompUnstruc.ftn90 line=994-1000],src/SwanCompUnstruc.ftn90,994-1000,991-997,REANCHORED,"내용 대조로 확정(시작·끝 줄 원문 일치, 해당 구간 일괄 −3 이동)"
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,72,[file=src/SwanCompUnstruc.ftn90 line=1206-1228],src/SwanCompUnstruc.ftn90,1206-1228,1203-1225,REANCHORED,"내용 대조로 확정(시작·끝 줄 원문 일치, 해당 구간 일괄 −3 이동)"
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,73,[file=src/SwanCompUnstruc.ftn90 line=1237-1238],src/SwanCompUnstruc.ftn90,1237-1238,1234-1235,REANCHORED,"내용 대조로 확정(시작·끝 줄 원문 일치, 해당 구간 일괄 −3 이동)"
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,74,[file=src/SwanCompUnstruc.ftn90 line=1251-1255],src/SwanCompUnstruc.ftn90,1251-1255,1248-1252,REANCHORED,"내용 대조로 확정(시작·끝 줄 원문 일치, 해당 구간 일괄 −3 이동)"
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,75,[file=src/SwanCompUnstruc.ftn90 line=1264-1266],src/SwanCompUnstruc.ftn90,1264-1266,1261-1263,REANCHORED,"내용 대조로 확정(시작·끝 줄 원문 일치, 해당 구간 일괄 −3 이동)"
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,97,[file=src/swanmain.ftn line=101-104],src/swanmain.ftn,101-104,101-104,IDENTICAL,
models/SWAN/source-analysis/swan-adcirc-coupling.md,21,"swanmain.ftn:101-104, 128, 266-695, 1105-1109, 1110-1112, 4037-6960, 5053-5161, 8798-8823",src/swanmain.ftn,"101-104,128,266-695,1105-1109,1110-1112,4037-6960,5053-5161,8798-8823","101-104,128,266-695,1105-1109,1110-1112,4037-6960,5053-5161,8798-8823",IDENTICAL,
models/SWAN/source-analysis/swan-adcirc-coupling.md,44,swanmain.ftn:101-104,src/swanmain.ftn,101-104,101-104,IDENTICAL,
models/SWAN/source-analysis/swan-adcirc-coupling.md,44,swanmain.ftn:128,src/swanmain.ftn,128,128,IDENTICAL,
models/SWAN/source-analysis/swan-adcirc-coupling.md,50,swanmain.ftn:1105-1109,src/swanmain.ftn,1105-1109,1105-1109,IDENTICAL,
