id,note,note_line,wiki_claim,ref,source,old_ranges,new_ranges,span,hunks
S1-1,models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,64,- Called from unstructured main loop at `[file=src/SwanCompUnstruc.ftn90 line=918]`,[file=src/SwanCompUnstruc.ftn90 line=918],src/SwanCompUnstruc.ftn90,918-918,REANCHOR(918-918),1,"[{""tag"": ""replace"", ""old"": ""878-944"", ""new"": ""855-861"", ""old_text"": [""                endif"", ""                !"", ""                celloop: do jc = 1, vert(ivert)%noc"", ""                   !"", ""                   icell = vert(ivert)%cell(jc)%atti(CELLID)"", ""                   !""], ""new_text"": [""                   IPTST  = 0"", ""                   TESTFL = .false."", ""                   if ( NPTST > 0 ) then"", ""                      do j = 1, NPTST"", ""                         if ( ivert /= xytst(j) ) cycle"", ""                         IPTST  = j""]}]"
S1-2,models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,68,No 4-quadrant fixed sweep. Instead **ordered-vertex sweeps** over `nsweep` directions with per-cell intersection checks at `[file=src/SwanCompUnstruc.ftn90 line=829-979]`. Active spectral bins per sweep selected by `SwanSweepSel` at `[file=src/SwanCompUnstruc.ftn90 line=983-987]`. Spectral velocitie,[file=src/SwanCompUnstruc.ftn90 line=829-979],src/SwanCompUnstruc.ftn90,829-979,REANCHOR(829-979),151,"[{""tag"": ""replace"", ""old"": ""843-843"", ""new"": ""837-837"", ""old_text"": [""          ! compute load-balanced spatial loop bounds for each thread""], ""new_text"": [""          ! loop over wavefronts""]}, {""tag"": ""replace"", ""old"": ""845-849"", ""new"": ""839-840"", ""old_text"": [""          !$ call SwanThreadBounds( nwetp, ivlow, ivup, tlist, swpdir )"", ""          !"", ""          ! loop over vertices in the grid"", ""          !"", ""          vertloop: do kvert = ivlow, ivup""], ""new_text"": [""!GRAPH          frontloop: do ifront = 1, nfront(swpdir)"", ""!FXFRO          frontloop: do ifront = 1, nfront""]}, {""tag"": ""replace"", ""old"": ""851-852"", ""new"": ""842-842"", ""old_text"": [""             ivert = vlist(kvert,swpdir)"", ""             !$ ivert = tlist(kvert)""], ""new_text"": [""             ! loop over vertices in the grid""]}, {""tag"": ""replace"", ""old"": ""854-854"", ""new"": ""844-846"", ""old_text"": [""             if ( vert(ivert)%active ) then   ! this active vertex needs to be updated""], ""new_text"": [""             !$omp do schedule(static)"", ""!GRAPH             vertloop: do kvert = fptr(ifront,swpdir), fptr(ifront+1,swpdir)-1"", ""!FXFRO             vertloop: do kvert = fronts(ifront), fronte(ifront)""]}]"
S1-3,models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,68,No 4-quadrant fixed sweep. Instead **ordered-vertex sweeps** over `nsweep` directions with per-cell intersection checks at `[file=src/SwanCompUnstruc.ftn90 line=829-979]`. Active spectral bins per sweep selected by `SwanSweepSel` at `[file=src/SwanCompUnstruc.ftn90 line=983-987]`. Spectral velocitie,[file=src/SwanCompUnstruc.ftn90 line=983-987],src/SwanCompUnstruc.ftn90,983-987,REANCHOR(983-987),5,"[{""tag"": ""replace"", ""old"": ""955-989"", ""new"": ""877-877"", ""old_text"": [""                   if ( th1 > asort+PI2 .and. th2 > asort+PI2 ) then"", ""                      th1 = th1 - PI2"", ""                      th2 = th2 - PI2"", ""                   endif"", ""                   !"", ""                   ! compute bounds of present sweep""], ""new_text"": [""                   celloop: do jc = 1, vert(ivert)%noc""]}]"
S1-4,models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,68,No 4-quadrant fixed sweep. Instead **ordered-vertex sweeps** over `nsweep` directions with per-cell intersection checks at `[file=src/SwanCompUnstruc.ftn90 line=829-979]`. Active spectral bins per sweep selected by `SwanSweepSel` at `[file=src/SwanCompUnstruc.ftn90 line=983-987]`. Spectral velocitie,[file=src/SwanCompUnstruc.ftn90 line=994-1000],src/SwanCompUnstruc.ftn90,994-1000,REANCHOR(994-1000),7,"[{""tag"": ""replace"", ""old"": ""993-1001"", ""new"": ""881-883"", ""old_text"": [""!TIMG                      call SWTSTA(113)"", ""                      call SwanPropvelS ( cad             , cas           , compda(1,JVX2), compda(1,JVY2), &"", ""                                          compda(1,JDP1)  , compda(1,JDP2), cax           , cay           , &"", ""                                          kwave           , cgo           , spcsig        , iddlow        , &"", ""                                          iddtop          , spcdir(1,2)   , spcdir(1,3)   , spcdir(1,4)   , &"", ""                                          spcdir(1,5)     , spcdir(1,6)   , rdx           , rdy           , &""], ""new_text"": [""                      v(1) = cell(icell)%atti(CELLV1)"", ""                      v(2) = cell(icell)%atti(CELLV2)"", ""                      v(3) = cell(icell)%atti(CELLV3)""]}]"
S1-5,models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,72,- Direct divide if no refraction/freq shift at `[file=src/SwanCompUnstruc.ftn90 line=1206-1228]`,[file=src/SwanCompUnstruc.ftn90 line=1206-1228],src/SwanCompUnstruc.ftn90,1206-1228,REANCHOR(1206-1228),23,"[{""tag"": ""replace"", ""old"": ""1091-1321"", ""new"": ""1324-1324"", ""old_text"": [""                      ! compute the source part of the action balance equation"", ""                      !"", ""                      if ( .not.OFFSRC ) then"", ""                         !"", ""                         ! initialize wind friction velocity and Pierson Moskowitz frequency"", ""                         !""], ""new_text"": [""                   enddo celloop""]}]"
S1-6,models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,73,- `SOLMAT` (Thomas tridiag) at `[file=src/SwanCompUnstruc.ftn90 line=1237-1238]`,[file=src/SwanCompUnstruc.ftn90 line=1237-1238],src/SwanCompUnstruc.ftn90,1237-1238,REANCHOR(1237-1238),2,"[{""tag"": ""replace"", ""old"": ""1091-1321"", ""new"": ""1324-1324"", ""old_text"": [""                      ! compute the source part of the action balance equation"", ""                      !"", ""                      if ( .not.OFFSRC ) then"", ""                         !"", ""                         ! initialize wind friction velocity and Pierson Moskowitz frequency"", ""                         !""], ""new_text"": [""                   enddo celloop""]}]"
S1-7,models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,74,"- `SWSIP` (penta-diag SIP, implicit sigma) at `[file=src/SwanCompUnstruc.ftn90 line=1251-1255]`",[file=src/SwanCompUnstruc.ftn90 line=1251-1255],src/SwanCompUnstruc.ftn90,1251-1255,REANCHOR(1251-1255),5,"[{""tag"": ""replace"", ""old"": ""1091-1321"", ""new"": ""1324-1324"", ""old_text"": [""                      ! compute the source part of the action balance equation"", ""                      !"", ""                      if ( .not.OFFSRC ) then"", ""                         !"", ""                         ! initialize wind friction velocity and Pierson Moskowitz frequency"", ""                         !""], ""new_text"": [""                   enddo celloop""]}]"
S1-8,models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,75,- `SOLMT1` (tridiag for explicit sigma) at `[file=src/SwanCompUnstruc.ftn90 line=1264-1266]`,[file=src/SwanCompUnstruc.ftn90 line=1264-1266],src/SwanCompUnstruc.ftn90,1264-1266,REANCHOR(1264-1266),3,"[{""tag"": ""replace"", ""old"": ""1091-1321"", ""new"": ""1324-1324"", ""old_text"": [""                      ! compute the source part of the action balance equation"", ""                      !"", ""                      if ( .not.OFFSRC ) then"", ""                         !"", ""                         ! initialize wind friction velocity and Pierson Moskowitz frequency"", ""                         !""], ""new_text"": [""                   enddo celloop""]}]"
S1-9,models/SWAN/source-analysis/swan-diffraction-obstacles.md,23,"- `SwanPrepComp.ftn90:87`, `SwanFindObstacles.ftn90:103-127`, `SwanCompUnstruc.ftn90:780-1080`, `SwanPropvelX.ftn90:92`, `SwanPropvelS.ftn90:269` — unstructured.",SwanCompUnstruc.ftn90:780-1080,src/SwanCompUnstruc.ftn90,780-1080,REANCHOR(780-1080),301,"[{""tag"": ""replace"", ""old"": ""813-813"", ""new"": ""810-810"", ""old_text"": [""       !$omp end master""], ""new_text"": [""       !$omp end single""]}, {""tag"": ""replace"", ""old"": ""815-818"", ""new"": ""812-812"", ""old_text"": [""       ! synchronize threads before loop over sweep directions"", ""       !$omp barrier"", ""       !"", ""       !$omp single""], ""new_text"": [""       !$omp master""]}, {""tag"": ""replace"", ""old"": ""827-827"", ""new"": ""821-821"", ""old_text"": [""       !$omp end single""], ""new_text"": [""       !$omp end master""]}, {""tag"": ""replace"", ""old"": ""843-843"", ""new"": ""837-837"", ""old_text"": [""          ! compute load-balanced spatial loop bounds for each thread""], ""new_text"": [""          ! loop over wavefronts""]}]"
S1-10,models/SWAN/source-analysis/swan-diffraction-obstacles.md,107,"During unstructured computation, crossed faces mapped to two local stencil links and passed to `SWTRCF` (`SwanCompUnstruc.ftn90:1039-1080`).",SwanCompUnstruc.ftn90:1039-1080,src/SwanCompUnstruc.ftn90,1039-1080,REANCHOR(1039-1080),42,"[{""tag"": ""replace"", ""old"": ""1038-1039"", ""new"": ""962-986"", ""old_text"": [""!TIMG                      call SWTSTA(136)"", ""                      if ( NUMOBS > 0 ) then""], ""new_text"": [""                      if ( th1 < asort .and. swpdir == n ) then"", ""                         thmin = thmin - PI2"", ""                         thmax = thmax - PI2"", ""                      endif"", ""                      !"", ""                      if ( th2 > asort+PI2 .and. swpdir == 1 ) then""]}, {""tag"": ""replace"", ""old"": ""1041-1041"", ""new"": ""988-988"", ""old_text"": [""                         ! determine obstacle for the link(s) in the computational stencil""], ""new_text"": [""                         ! compute propagation velocities in spectral space for the considered sweep in present vertex""]}, {""tag"": ""replace"", ""old"": ""1043-1043"", ""new"": ""990-1036"", ""old_text"": [""                         do j = 1, cell(icell)%nof""], ""new_text"": [""!TIMG                         call SWTSTA(113)"", ""                         call SwanPropvelS ( cad             , cas           , compda(1,JVX2), compda(1,JVY2), &"", ""                                             compda(1,JDP1)  , compda(1,JDP2), cax           , cay           , &"", ""                                             kwave           , cgo           , spcsig        , iddlow        , &"", ""                                             iddtop          , spcdir(1,2)   , spcdir(1,3)   , spcdir(1,4)   , &"", ""                                             spcdir(1,5)     , spcdir(1,6)   , rdx           , rdy           , &""]}, {""tag"": ""replace"", ""old"": ""1045-1045"", ""new"": ""1038-1038"", ""old_text"": [""                            ! determine vertices of the local face""], ""new_text"": [""                            ! determine obstacle for the link(s) in the computational stencil""]}]"
