note,line,ref,base,ranges,span,state,excluded,changed,deleted,source
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,64,[file=src/SwanCompUnstruc.ftn90 line=918],SwanCompUnstruc.ftn90,918-918,1,RESOLVED,False,True,False,src/SwanCompUnstruc.ftn90
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,68,[file=src/SwanCompUnstruc.ftn90 line=829-979],SwanCompUnstruc.ftn90,829-979,151,RESOLVED,False,True,False,src/SwanCompUnstruc.ftn90
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,68,[file=src/SwanCompUnstruc.ftn90 line=983-987],SwanCompUnstruc.ftn90,983-987,5,RESOLVED,False,True,False,src/SwanCompUnstruc.ftn90
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,68,[file=src/SwanCompUnstruc.ftn90 line=994-1000],SwanCompUnstruc.ftn90,994-1000,7,RESOLVED,False,True,False,src/SwanCompUnstruc.ftn90
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,72,[file=src/SwanCompUnstruc.ftn90 line=1206-1228],SwanCompUnstruc.ftn90,1206-1228,23,RESOLVED,False,True,False,src/SwanCompUnstruc.ftn90
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,73,[file=src/SwanCompUnstruc.ftn90 line=1237-1238],SwanCompUnstruc.ftn90,1237-1238,2,RESOLVED,False,True,False,src/SwanCompUnstruc.ftn90
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,74,[file=src/SwanCompUnstruc.ftn90 line=1251-1255],SwanCompUnstruc.ftn90,1251-1255,5,RESOLVED,False,True,False,src/SwanCompUnstruc.ftn90
models/SWAN/source-analysis/swan-adcirc-coupling-implementation.md,75,[file=src/SwanCompUnstruc.ftn90 line=1264-1266],SwanCompUnstruc.ftn90,1264-1266,3,RESOLVED,False,True,False,src/SwanCompUnstruc.ftn90
models/SWAN/source-analysis/swan-diffraction-obstacles.md,23,SwanCompUnstruc.ftn90:780-1080,SwanCompUnstruc.ftn90,780-1080,301,RESOLVED,False,True,False,src/SwanCompUnstruc.ftn90
models/SWAN/source-analysis/swan-diffraction-obstacles.md,107,SwanCompUnstruc.ftn90:1039-1080,SwanCompUnstruc.ftn90,1039-1080,42,RESOLVED,False,True,False,src/SwanCompUnstruc.ftn90
models/SWAN/source-analysis/swan-diffraction-obstacles.md,123,SwanCompUnstruc.ftn90:780-1080,SwanCompUnstruc.ftn90,780-1080,301,RESOLVED,False,True,False,src/SwanCompUnstruc.ftn90
models/SWAN/source-analysis/swan-stationary-vs-nonstationary.md,21,"swancom1.ftn:724-2356, 5393-5411, 9618-9928",swancom1.ftn,724-2356;5393-5411;9618-9928,1963,RESOLVED,False,True,False,src/swancom1.ftn
models/SWAN/source-analysis/swan-stationary-vs-nonstationary.md,25,SwanCompUnstruc.ftn90:780-1080,SwanCompUnstruc.ftn90,780-1080,301,RESOLVED,False,True,False,src/SwanCompUnstruc.ftn90
models/SWAN/source-analysis/swan-stationary-vs-nonstationary.md,25,SwanVertlist.ftn90:45-181,SwanVertlist.ftn90,45-181,137,RESOLVED,False,True,False,src/SwanVertlist.ftn90
models/SWAN/source-analysis/swan-stationary-vs-nonstationary.md,129,SwanVertlist.ftn90:45-181,SwanVertlist.ftn90,45-181,137,RESOLVED,False,True,False,src/SwanVertlist.ftn90
models/SWAN/source-analysis/swan-stationary-vs-nonstationary.md,134,SwanCompUnstruc.ftn90:829-987,SwanCompUnstruc.ftn90,829-987,159,RESOLVED,False,True,False,src/SwanCompUnstruc.ftn90
