relationship,path,counterpart,byte_identical,basis
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/bc.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/bc.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/breaker.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/breaker.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/derivatives.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/derivatives.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/dispersion.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/dispersion.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/etauv_solver.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/etauv_solver.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/fluxes.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/fluxes.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/init.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/init.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/io.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/io.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/main.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/main.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/masks.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/masks.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/misc.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/misc.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/mixing.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/mixing.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/mod_bathy_correction.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/mod_bathy_correction.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/mod_foam.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/mod_foam.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/mod_global.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/mod_global.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/mod_input.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/mod_input.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/mod_meteo.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/mod_meteo.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/mod_parallel_field_io.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/mod_parallel_field_io.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/mod_param.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/mod_param.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/mod_precipitation.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/mod_precipitation.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/mod_sediment.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/mod_sediment.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/mod_subgrid.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/mod_subgrid.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/mod_tide.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/mod_tide.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/mod_time_spectra.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/mod_time_spectra.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/mod_tracer.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/mod_tracer.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/mod_vessel.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/mod_vessel.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/nesting.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/nesting.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/parallel.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/parallel.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/samples.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/samples.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/sources.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/sources.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/sponge.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/sponge.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/statistics.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/statistics.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/tridiagnal.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/tridiagnal.F,False,build/pre path plus same stem; hashes retained separately
generated-preprocessed-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/funwave-work/build/pre/wavemaker.f90,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/wavemaker.F,False,build/pre path plus same stem; hashes retained separately
separate-repository-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-GPU/src/bc.F,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/bc.F,False,same source filename in GPU and TVD commits; not collapsed
separate-repository-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-GPU/src/breaker.F,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/breaker.F,False,same source filename in GPU and TVD commits; not collapsed
separate-repository-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-GPU/src/derivatives.F,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/derivatives.F,True,same source filename in GPU and TVD commits; not collapsed
separate-repository-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-GPU/src/dispersion.F,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/dispersion.F,False,same source filename in GPU and TVD commits; not collapsed
separate-repository-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-GPU/src/etauv_solver.F,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/etauv_solver.F,False,same source filename in GPU and TVD commits; not collapsed
separate-repository-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-GPU/src/fluxes.F,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/fluxes.F,False,same source filename in GPU and TVD commits; not collapsed
separate-repository-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-GPU/src/init.F,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/init.F,False,same source filename in GPU and TVD commits; not collapsed
separate-repository-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-GPU/src/io.F,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/io.F,False,same source filename in GPU and TVD commits; not collapsed
separate-repository-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-GPU/src/main.F,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/main.F,False,same source filename in GPU and TVD commits; not collapsed
separate-repository-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-GPU/src/masks.F,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/masks.F,False,same source filename in GPU and TVD commits; not collapsed
separate-repository-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-GPU/src/misc.F,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/misc.F,False,same source filename in GPU and TVD commits; not collapsed
separate-repository-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-GPU/src/mixing.F,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/mixing.F,False,same source filename in GPU and TVD commits; not collapsed
separate-repository-counterpart,models/FUNWAVE/raw/source_code/FUNWAVE-GPU/src/mod_bathy_correction.F,models/FUNWAVE/raw/source_code/FUNWAVE-TVD/src/mod_bathy_correction.F,False,same source filename in GPU and TVD commits; not collapsed
