start,end,duration_days,max_anomaly_c,mean_anomaly_c,max_sst_c,category,station
2024-03-12,2024-11-28,262,5.948,3.443,29.410,IV-extreme,인천
2024-03-15,2024-03-21,7,1.602,1.230,8.650,I-moderate,목포
2024-04-04,2024-06-29,87,3.941,2.527,23.390,IV-extreme,목포
2024-07-17,2024-12-01,138,6.176,3.592,29.780,IV-extreme,목포
2024-12-03,2024-12-17,15,1.570,1.398,13.940,I-moderate,목포
2024-04-06,2024-04-21,16,2.201,1.651,14.230,II-strong,진도
2024-04-23,2024-06-07,46,2.703,1.995,18.890,III-severe,진도
2024-06-09,2024-06-21,13,2.239,1.476,20.810,II-strong,진도
2024-08-13,2024-11-20,100,5.474,2.935,28.200,IV-extreme,진도
2024-02-21,2024-02-27,7,1.838,1.189,15.550,II-strong,부산
2024-04-02,2024-04-24,23,2.044,1.427,16.770,II-strong,부산
2024-04-26,2024-05-08,13,1.352,1.110,17.420,I-moderate,부산
2024-05-13,2024-05-23,11,1.286,1.045,18.470,I-moderate,부산
2024-05-31,2024-06-10,11,1.403,1.056,20.640,I-moderate,부산
2024-06-12,2024-06-22,11,2.263,1.681,22.650,II-strong,부산
2024-08-03,2024-11-29,119,5.001,2.557,29.640,IV-extreme,부산
2024-04-04,2024-06-26,84,3.293,1.947,23.410,IV-extreme,여수
2024-07-31,2024-11-05,98,5.814,3.290,29.550,IV-extreme,여수
2024-02-21,2024-02-27,7,1.773,1.242,15.390,II-strong,거제도
2024-04-01,2024-05-08,38,1.915,1.208,17.130,II-strong,거제도
2024-05-11,2024-05-23,13,1.446,1.089,18.550,I-moderate,거제도
2024-05-27,2024-06-01,6,0.978,0.898,19.360,I-moderate,거제도
2024-06-03,2024-06-10,8,1.179,0.942,20.360,I-moderate,거제도
2024-06-12,2024-06-22,11,2.376,1.697,22.660,II-strong,거제도
2024-08-03,2024-11-27,117,5.250,2.645,29.730,IV-extreme,거제도
2024-02-18,2024-02-23,6,1.616,0.941,15.060,II-strong,거문도
2024-04-01,2024-06-02,63,2.061,1.343,19.540,II-strong,거문도
2024-06-12,2024-06-21,10,2.319,1.447,21.880,II-strong,거문도
2024-07-29,2024-11-08,103,5.325,2.982,29.240,IV-extreme,거문도
2024-01-01,2024-03-04,64,2.011,1.239,17.090,II-strong,제주
2024-03-09,2024-03-23,15,1.404,0.915,15.160,II-strong,제주
2024-03-31,2024-06-02,64,1.954,1.328,19.410,II-strong,제주
2024-06-09,2024-06-23,15,2.289,1.706,22.630,II-strong,제주
2024-07-21,2024-11-25,128,5.235,3.242,30.500,IV-extreme,제주
2024-12-12,2024-12-18,7,1.015,0.909,17.800,I-moderate,제주
2024-01-01,2024-01-27,27,1.268,0.887,18.400,I-moderate,서귀포
2024-01-30,2024-02-07,9,1.144,0.830,16.990,I-moderate,서귀포
2024-02-16,2024-03-04,18,1.248,0.947,16.630,II-strong,서귀포
2024-03-08,2024-03-28,21,1.334,0.948,16.680,II-strong,서귀포
2024-03-31,2024-04-22,23,1.542,1.190,17.580,I-moderate,서귀포
2024-04-24,2024-06-03,41,1.681,1.174,21.180,II-strong,서귀포
2024-06-09,2024-06-19,11,2.198,1.664,23.410,II-strong,서귀포
2024-07-19,2024-11-29,134,4.363,2.878,31.210,IV-extreme,서귀포
2024-04-03,2024-04-24,22,2.193,1.509,17.010,II-strong,울산
2024-04-26,2024-05-08,13,1.483,1.120,17.640,I-moderate,울산
2024-05-13,2024-05-17,5,1.215,1.109,18.000,I-moderate,울산
2024-05-31,2024-06-23,24,1.975,1.365,22.580,II-strong,울산
2024-08-03,2024-11-30,120,5.005,2.592,29.610,IV-extreme,울산
2024-04-02,2024-05-10,39,2.420,1.697,17.010,II-strong,포항
2024-05-13,2024-05-18,6,1.460,1.177,17.640,I-moderate,포항
2024-05-20,2024-05-26,7,1.250,1.150,18.270,I-moderate,포항
2024-05-31,2024-06-21,22,2.036,1.502,21.250,I-moderate,포항
2024-08-03,2024-12-19,139,5.510,2.834,28.910,IV-extreme,포항
2024-01-01,2024-01-05,5,2.181,1.996,14.450,I-moderate,묵호
2024-04-06,2024-04-15,10,2.761,2.201,14.860,I-moderate,묵호
2024-04-17,2024-05-04,18,2.897,2.161,15.660,II-strong,묵호
2024-05-19,2024-05-27,9,1.676,1.495,17.620,I-moderate,묵호
2024-05-30,2024-07-05,37,2.803,1.681,22.100,II-strong,묵호
2024-07-20,2024-11-22,126,5.148,2.872,27.900,IV-extreme,묵호
2024-04-17,2024-07-05,80,3.888,2.129,22.160,III-severe,속초
2024-07-15,2024-07-19,5,1.568,1.432,23.670,I-moderate,속초
2024-07-24,2024-11-29,129,4.529,2.974,27.980,III-severe,속초
2024-12-23,2024-12-31,9,2.352,2.040,13.430,I-moderate,속초
