date,sst_c,station,region,lat_grid,lon_grid,doy
2024-01-01,14.310,포항,동해,36.125,129.625,1
2024-01-02,14.320,포항,동해,36.125,129.625,2
2024-01-03,14.510,포항,동해,36.125,129.625,3
2024-01-04,14.490,포항,동해,36.125,129.625,4
2024-01-05,14.420,포항,동해,36.125,129.625,5
2024-01-06,14.190,포항,동해,36.125,129.625,6
2024-01-07,13.910,포항,동해,36.125,129.625,7
2024-01-08,13.750,포항,동해,36.125,129.625,8
2024-01-09,13.520,포항,동해,36.125,129.625,9
2024-01-10,13.410,포항,동해,36.125,129.625,10
2024-01-11,13.390,포항,동해,36.125,129.625,11
2024-01-12,13.430,포항,동해,36.125,129.625,12
2024-01-13,13.530,포항,동해,36.125,129.625,13
2024-01-14,13.500,포항,동해,36.125,129.625,14
2024-01-15,13.440,포항,동해,36.125,129.625,15
2024-01-16,13.400,포항,동해,36.125,129.625,16
2024-01-17,13.360,포항,동해,36.125,129.625,17
2024-01-18,13.310,포항,동해,36.125,129.625,18
2024-01-19,13.200,포항,동해,36.125,129.625,19
2024-01-20,13.280,포항,동해,36.125,129.625,20
2024-01-21,13.220,포항,동해,36.125,129.625,21
2024-01-22,13.130,포항,동해,36.125,129.625,22
2024-01-23,12.860,포항,동해,36.125,129.625,23
2024-01-24,12.500,포항,동해,36.125,129.625,24
2024-01-25,12.160,포항,동해,36.125,129.625,25
2024-01-26,12.060,포항,동해,36.125,129.625,26
2024-01-27,12.050,포항,동해,36.125,129.625,27
2024-01-28,11.960,포항,동해,36.125,129.625,28
2024-01-29,12.030,포항,동해,36.125,129.625,29
2024-01-30,12.090,포항,동해,36.125,129.625,30
2024-01-31,12.230,포항,동해,36.125,129.625,31
2024-02-01,12.260,포항,동해,36.125,129.625,32
2024-02-02,12.100,포항,동해,36.125,129.625,33
2024-02-03,12.230,포항,동해,36.125,129.625,34
2024-02-04,12.560,포항,동해,36.125,129.625,35
2024-02-05,12.700,포항,동해,36.125,129.625,36
2024-02-06,12.150,포항,동해,36.125,129.625,37
2024-02-07,11.800,포항,동해,36.125,129.625,38
2024-02-08,11.600,포항,동해,36.125,129.625,39
2024-02-09,11.530,포항,동해,36.125,129.625,40
2024-02-10,11.420,포항,동해,36.125,129.625,41
2024-02-11,11.400,포항,동해,36.125,129.625,42
2024-02-12,11.690,포항,동해,36.125,129.625,43
2024-02-13,12.000,포항,동해,36.125,129.625,44
2024-02-14,12.120,포항,동해,36.125,129.625,45
2024-02-15,12.170,포항,동해,36.125,129.625,46
2024-02-16,12.130,포항,동해,36.125,129.625,47
2024-02-17,12.230,포항,동해,36.125,129.625,48
2024-02-18,12.330,포항,동해,36.125,129.625,49
2024-02-19,12.430,포항,동해,36.125,129.625,50
2024-02-20,12.350,포항,동해,36.125,129.625,51
2024-02-21,12.200,포항,동해,36.125,129.625,52
2024-02-22,12.020,포항,동해,36.125,129.625,53
2024-02-23,12.210,포항,동해,36.125,129.625,54
2024-02-24,12.320,포항,동해,36.125,129.625,55
2024-02-25,12.310,포항,동해,36.125,129.625,56
2024-02-26,12.460,포항,동해,36.125,129.625,57
2024-02-27,12.600,포항,동해,36.125,129.625,58
2024-02-28,12.610,포항,동해,36.125,129.625,59
2024-02-29,12.740,포항,동해,36.125,129.625,60
2024-03-01,12.610,포항,동해,36.125,129.625,61
2024-03-02,12.390,포항,동해,36.125,129.625,62
2024-03-03,12.210,포항,동해,36.125,129.625,63
2024-03-04,11.940,포항,동해,36.125,129.625,64
2024-03-05,11.530,포항,동해,36.125,129.625,65
2024-03-06,11.790,포항,동해,36.125,129.625,66
2024-03-07,11.860,포항,동해,36.125,129.625,67
2024-03-08,11.980,포항,동해,36.125,129.625,68
2024-03-09,12.040,포항,동해,36.125,129.625,69
2024-03-10,12.140,포항,동해,36.125,129.625,70
2024-03-11,12.200,포항,동해,36.125,129.625,71
2024-03-12,12.350,포항,동해,36.125,129.625,72
2024-03-13,12.650,포항,동해,36.125,129.625,73
2024-03-14,12.920,포항,동해,36.125,129.625,74
2024-03-15,13.020,포항,동해,36.125,129.625,75
2024-03-16,13.200,포항,동해,36.125,129.625,76
2024-03-17,13.420,포항,동해,36.125,129.625,77
2024-03-18,13.310,포항,동해,36.125,129.625,78
2024-03-19,13.560,포항,동해,36.125,129.625,79
2024-03-20,13.670,포항,동해,36.125,129.625,80
2024-03-21,13.750,포항,동해,36.125,129.625,81
2024-03-22,13.720,포항,동해,36.125,129.625,82
2024-03-23,13.990,포항,동해,36.125,129.625,83
2024-03-24,13.910,포항,동해,36.125,129.625,84
2024-03-25,13.840,포항,동해,36.125,129.625,85
2024-03-26,13.810,포항,동해,36.125,129.625,86
2024-03-27,13.710,포항,동해,36.125,129.625,87
2024-03-28,13.720,포항,동해,36.125,129.625,88
