station,month,clim_mean,clim_p90
거문도,1,14.5745,15.5409
거문도,2,13.5152,14.0755
거문도,3,13.2081,13.8649
거문도,4,13.9265,14.6764
거문도,5,16.0120,16.8416
거문도,6,19.4419,20.3469
거문도,7,23.1191,24.2138
거문도,8,25.9304,27.2852
거문도,9,24.1641,24.8744
거문도,10,21.0698,21.7935
거문도,11,17.9441,19.2040
거문도,12,15.8663,16.9562
거제도,1,14.7577,15.3262
거제도,2,13.6314,14.2920
거제도,3,13.5822,14.2951
거제도,4,14.5248,15.1828
거제도,5,16.5276,17.3195
거제도,6,19.9880,20.6995
거제도,7,23.2597,24.7451
거제도,8,26.2169,27.5890
거제도,9,24.5982,25.4605
거제도,10,21.6952,22.5327
거제도,11,19.1292,19.8565
거제도,12,16.7975,17.5156
목포,1,8.1093,9.6440
목포,2,6.4880,7.6105
목포,3,6.9474,7.9999
목포,4,9.9595,11.0332
목포,5,14.1852,14.9877
목포,6,18.6335,19.3646
목포,7,22.2429,23.6946
목포,8,24.9649,26.2099
목포,9,22.8932,23.7728
목포,10,19.1795,19.8940
목포,11,14.9823,15.7650
목포,12,11.1322,12.0028
묵호,1,11.2369,13.0199
묵호,2,9.8064,11.7708
묵호,3,10.1903,11.6481
묵호,4,12.1540,13.6490
묵호,5,14.6300,15.7598
묵호,6,18.3103,19.1714
묵호,7,21.8045,22.9334
묵호,8,24.2829,25.8566
묵호,9,22.2798,23.4653
묵호,10,19.6246,20.6526
묵호,11,16.2987,17.5562
묵호,12,13.5228,14.8603
부산,1,14.8071,15.4303
부산,2,13.6969,14.3330
부산,3,13.7473,14.4567
부산,4,14.6765,15.5049
부산,5,16.6237,17.4577
부산,6,20.0325,20.7524
부산,7,23.2006,24.4653
부산,8,26.1487,27.3500
부산,9,24.6199,25.4375
부산,10,21.8845,22.8804
부산,11,19.3369,19.9241
부산,12,16.9159,17.3858
서귀포,1,16.6654,17.3160
서귀포,2,15.4362,16.0620
서귀포,3,15.3208,15.9323
서귀포,4,16.0631,16.9809
서귀포,5,17.9370,18.5737
서귀포,6,21.0611,21.9916
서귀포,7,24.8096,26.4657
서귀포,8,27.3529,29.0106
서귀포,9,25.9566,26.5675
서귀포,10,23.5579,24.4165
서귀포,11,21.4548,22.0353
서귀포,12,18.8174,19.4590
속초,1,9.4505,11.6236
속초,2,8.0843,10.9287
속초,3,8.7491,11.4215
속초,4,11.2076,13.1025
속초,5,14.0598,15.2085
속초,6,18.1854,18.9629
속초,7,21.9558,23.2435
속초,8,24.2154,25.6627
속초,9,21.9802,22.9768
속초,10,18.8550,19.9120
속초,11,15.3824,16.4765
속초,12,12.1066,13.5168
여수,1,12.9300,14.5325
여수,2,11.9632,13.0276
여수,3,12.1200,13.3818
여수,4,13.2124,14.1761
여수,5,16.0054,16.6008
여수,6,19.6505,20.3881
여수,7,22.9571,24.0933
여수,8,25.7135,27.1707
여수,9,24.2704,24.9975
여수,10,20.9585,21.6940
여수,11,17.3732,18.8433
여수,12,14.5724,16.6389
울산,1,14.8286,15.5741
울산,2,13.7041,14.4086
울산,3,13.8499,14.7267
울산,4,14.7770,15.5734
울산,5,16.6652,17.6021
울산,6,19.9798,20.7673
울산,7,23.0129,24.2610
울산,8,25.9794,27.1412
울산,9,24.5685,25.4532
울산,10,22.0181,23.0474
울산,11,19.5038,20.2091
울산,12,16.9496,17.4569
인천,1,5.5354,6.5275
인천,2,3.9524,5.0662
인천,3,4.8608,5.7012
인천,4,7.9291,9.1868
인천,5,11.9024,12.8518
인천,6,16.5770,17.6973
인천,7,20.7068,21.9813
인천,8,23.6151,24.9655
인천,9,23.2000,24.0824
인천,10,19.7396,20.6477
인천,11,14.9378,15.7066
인천,12,9.4993,10.3605
제주,1,15.2461,15.9291
제주,2,13.9953,14.7322
제주,3,13.7337,14.2954
제주,4,14.3979,15.1818
제주,5,16.2578,17.1622
제주,6,19.8421,20.6176
제주,7,23.8501,25.4612
제주,8,26.6123,28.2445
제주,9,24.6554,25.1714
제주,10,21.8331,22.6093
제주,11,18.9053,19.5344
제주,12,16.7142,17.4657
진도,1,12.1355,12.8614
진도,2,10.8451,11.9000
진도,3,10.7295,11.7971
진도,4,12.0734,12.9789
진도,5,14.6504,15.3260
진도,6,18.4426,19.3108
진도,7,22.4108,23.5647
진도,8,24.9935,26.6543
진도,9,23.1520,24.3100
진도,10,19.8130,20.7442
진도,11,16.1318,17.1433
진도,12,13.6361,14.6676
포항,1,13.5320,14.5663
포항,2,12.2736,13.3210
포항,3,12.6686,13.7868
포항,4,14.1711,15.1807
포항,5,16.0746,17.0184
포항,6,19.2439,20.2948
포항,7,21.9548,23.2592
포항,8,24.7963,26.0192
포항,9,23.6409,24.6681
포항,10,21.1557,22.3500
포항,11,18.3067,19.3910
포항,12,15.8801,16.7052
