station,start,end,duration_months,max_anomaly_c,mean_anomaly_c,max_sst_c
인천,1983-05,1983-06,2,1.866,1.726,18.443
인천,1992-01,1992-04,4,1.703,1.546,9.585
인천,1994-07,1994-08,2,1.790,1.638,25.405
인천,1995-07,1995-08,2,1.415,1.372,25.030
인천,1997-12,1998-05,6,1.434,1.234,13.032
인천,2003-05,2003-06,2,1.427,1.246,18.004
인천,2006-10,2006-11,2,1.138,1.050,20.703
인천,2016-09,2016-10,2,1.367,1.131,24.095
인천,2019-10,2019-11,2,1.011,0.909,20.751
인천,2021-10,2021-11,2,1.916,1.370,21.655
인천,2022-04,2022-08,5,3.309,2.622,25.921
인천,2023-03,2023-09,7,3.422,2.619,26.829
인천,2024-03,2024-11,9,4.690,3.251,28.119
인천,2025-04,2025-10,7,3.594,2.610,27.209
인천,2026-03,2026-04,2,2.715,2.209,10.644
목포,1982-10,1982-11,2,1.463,1.377,20.471
목포,1983-09,1983-10,2,1.806,1.458,24.699
목포,1988-06,1988-07,2,1.542,1.169,23.785
목포,1992-01,1992-02,2,1.550,1.509,9.660
목포,1995-02,1995-03,2,1.446,1.339,8.179
목포,1998-01,1998-05,5,1.756,1.522,15.416
목포,2001-07,2001-08,2,1.685,1.602,26.650
목포,2004-12,2005-01,2,1.588,1.443,12.431
목포,2006-10,2006-11,2,1.763,1.715,20.846
목포,2018-07,2018-08,2,1.931,1.626,26.287
목포,2022-04,2022-08,5,2.454,1.657,26.535
목포,2023-04,2023-06,3,1.693,1.508,20.327
목포,2023-08,2023-09,2,1.481,1.398,26.279
목포,2024-03,2024-11,9,4.685,2.735,28.613
목포,2025-06,2025-10,5,3.941,2.589,28.047
진도,1990-08,1990-09,2,2.001,1.608,26.995
진도,1992-03,1992-04,2,1.206,1.123,13.113
진도,1995-01,1995-04,4,1.911,1.526,13.985
진도,2001-07,2001-08,2,2.287,2.067,27.281
진도,2004-12,2005-02,3,1.832,1.256,15.468
진도,2005-05,2005-06,2,1.276,1.084,19.718
진도,2006-10,2006-11,2,2.089,1.762,21.248
진도,2024-04,2024-06,3,2.441,1.816,19.655
진도,2024-09,2024-11,3,3.805,2.556,26.957
부산,1998-04,1998-06,3,1.662,1.279,20.995
부산,2001-04,2001-05,2,1.192,1.120,17.672
부산,2001-07,2001-08,2,1.562,1.521,27.629
부산,2007-09,2007-10,2,1.059,1.037,25.634
부산,2011-11,2011-12,2,1.154,0.845,20.491
부산,2013-09,2013-10,2,1.041,1.033,25.661
부산,2019-01,2019-03,3,1.358,1.111,15.529
부산,2021-02,2021-04,3,1.635,1.414,16.311
부산,2021-06,2021-07,2,2.361,1.738,25.561
부산,2023-03,2023-06,4,1.392,1.190,21.133
부산,2024-04,2024-06,3,1.506,1.300,21.205
부산,2024-08,2024-11,4,3.376,2.272,28.578
부산,2025-07,2025-11,5,2.377,1.819,27.520
부산,2026-02,2026-04,3,1.091,0.929,15.767
여수,1994-07,1994-08,2,2.153,1.833,27.227
여수,1995-01,1995-03,3,1.834,1.684,14.738
여수,1998-04,1998-06,3,2.352,1.324,20.475
여수,1998-09,1998-10,2,1.458,1.166,25.143
여수,2000-12,2001-04,5,2.133,1.628,16.706
여수,2001-07,2001-08,2,1.724,1.616,27.222
여수,2005-05,2005-06,2,1.460,1.128,21.111
여수,2006-10,2006-11,2,1.679,1.245,21.768
여수,2018-06,2018-08,3,1.512,1.251,27.201
여수,2021-06,2021-07,2,2.260,1.568,25.217
여수,2023-04,2023-06,3,1.649,1.300,21.299
여수,2023-08,2023-09,2,2.310,2.111,27.627
여수,2024-04,2024-06,3,2.329,2.050,21.651
여수,2024-08,2024-10,3,4.242,3.068,28.513
여수,2025-07,2025-10,4,2.528,1.925,27.433
거제도,1998-04,1998-06,3,1.584,1.246,20.768
거제도,1998-09,1998-10,2,1.345,1.155,25.944
거제도,2001-01,2001-02,2,0.698,0.686,15.456
거제도,2001-04,2001-05,2,1.337,1.239,17.668
거제도,2001-07,2001-08,2,1.665,1.594,27.740
