_sea,_line,year,depth_bin,t_mean,n,n_months
남해,203,1968,100m,13.6495,21,8
남해,203,1968,50m,14.2650,46,8
남해,203,1968,surface,17.1256,25,8
남해,203,1968,upper,16.5030,74,8
남해,203,1969,100m,14.0206,32,12
남해,203,1969,50m,14.2606,62,12
남해,203,1969,surface,16.8214,36,12
남해,203,1969,upper,15.6523,108,12
남해,203,1970,100m,13.1233,24,10
남해,203,1970,50m,14.0820,51,10
남해,203,1970,surface,17.9797,30,10
남해,203,1970,upper,16.6708,90,10
남해,203,1971,100m,13.4221,24,8
남해,203,1971,50m,14.1237,41,8
남해,203,1971,surface,18.3550,24,8
남해,203,1971,upper,17.0012,72,8
남해,203,1972,100m,14.5714,14,6
남해,203,1972,50m,14.9563,30,6
남해,203,1972,surface,17.7994,18,6
남해,203,1972,upper,17.2220,54,6
남해,203,1973,100m,14.3176,17,6
남해,203,1973,50m,14.5413,31,6
남해,203,1973,surface,17.5561,18,6
남해,203,1973,upper,16.6406,54,6
남해,203,1974,100m,13.8857,21,6
남해,203,1974,50m,14.1091,33,6
남해,203,1974,surface,18.1200,19,6
남해,203,1974,upper,16.4921,57,6
남해,203,1975,100m,13.7500,18,6
남해,203,1975,50m,14.8993,30,6
남해,203,1975,surface,18.4544,18,6
남해,203,1975,upper,17.3087,53,6
남해,203,1976,100m,13.9479,19,6
남해,203,1976,50m,15.1053,30,6
남해,203,1976,surface,17.4476,17,6
남해,203,1976,upper,16.5991,54,6
남해,203,1977,100m,13.2550,18,6
남해,203,1977,50m,14.3427,30,6
남해,203,1977,surface,16.8483,18,6
남해,203,1977,upper,16.1274,54,6
남해,203,1978,100m,13.7006,17,6
남해,203,1978,50m,14.6630,30,6
남해,203,1978,surface,18.2589,18,6
남해,203,1978,upper,17.2335,54,6
남해,203,1979,100m,15.4872,18,6
남해,203,1979,50m,15.8650,30,6
남해,203,1979,surface,18.6906,18,6
남해,203,1979,upper,16.8315,54,6
남해,203,1980,100m,14.1105,19,7
남해,203,1980,50m,14.7649,35,7
남해,203,1980,surface,17.9333,21,7
남해,203,1980,upper,16.9663,63,7
남해,203,1981,100m,14.0561,18,6
남해,203,1981,50m,14.5070,30,6
남해,203,1981,surface,17.2422,18,6
남해,203,1981,upper,15.6209,54,6
남해,203,1982,100m,13.3789,18,6
남해,203,1982,50m,13.9917,30,6
남해,203,1982,surface,18.5094,18,6
남해,203,1982,upper,17.3576,54,6
남해,203,1983,100m,13.8906,18,6
남해,203,1983,50m,14.8657,30,6
남해,203,1983,surface,18.3306,18,6
남해,203,1983,upper,17.1961,54,6
남해,203,1984,100m,10.8785,20,6
남해,203,1984,50m,11.8276,33,6
