sea,line,n,elapsed_s
동해,102,33036,13.9
동해,103,33896,15.1
동해,104,38938,24.2
동해,105,42210,7.4
동해,106,45087,7.1
동해,107,28564,5.2
동해,108,0,3.2
동해,208,18311,6.3
동해,209,21274,10.2
동해,500,1609,3.5
동해,501,210,3.4
서해,306,2282,3.8
서해,307,14485,5.9
서해,308,17713,7.1
서해,309,19152,7.1
서해,310,16328,5.6
서해,311,15334,4.4
서해,312,20712,5.8
서해,601,73,3.3
서해,602,38,3.3
남해,203,8189,4.2
남해,204,12877,10.0
남해,205,12085,4.6
남해,206,10564,4.2
남해,207,11863,4.3
남해,313,20073,4.8
남해,314,27660,5.1
남해,400,27012,6.1
동중국해,315,9869,4.0
동중국해,316,8736,3.9
동중국해,317,5689,7.7
