sea,year,ohc_j_per_m2,depth_bins_used,n_bins
남해,1968,9.4719e+09,"surface,upper,50m,100m",4
남해,1969,9.3555e+09,"surface,upper,50m,100m",4
남해,1970,9.0516e+09,"surface,upper,50m,100m",4
남해,1971,9.3167e+09,"surface,upper,50m,100m",4
남해,1972,9.5778e+09,"surface,upper,50m,100m",4
남해,1973,9.7247e+09,"surface,upper,50m,100m",4
남해,1974,9.3339e+09,"surface,upper,50m,100m",4
남해,1975,9.5115e+09,"surface,upper,50m,100m",4
남해,1976,9.2739e+09,"surface,upper,50m,100m",4
남해,1977,9.2663e+09,"surface,upper,50m,100m",4
남해,1978,9.6077e+09,"surface,upper,50m,100m",4
남해,1979,9.9050e+09,"surface,upper,50m,100m",4
남해,1980,9.6054e+09,"surface,upper,50m,100m",4
남해,1981,9.4533e+09,"surface,upper,50m,100m",4
남해,1982,9.5511e+09,"surface,upper,50m,100m",4
남해,1983,9.5483e+09,"surface,upper,50m,100m",4
남해,1984,8.6898e+09,"surface,upper,50m,100m",4
남해,1985,9.2348e+09,"surface,upper,50m,100m",4
남해,1986,9.1761e+09,"surface,upper,50m,100m",4
남해,1987,9.5447e+09,"surface,upper,50m,100m",4
남해,1988,9.6856e+09,"surface,upper,50m,100m",4
남해,1989,9.4903e+09,"surface,upper,50m,100m",4
남해,1990,9.6455e+09,"surface,upper,50m,100m",4
남해,1991,9.4928e+09,"surface,upper,50m,100m",4
남해,1992,9.8135e+09,"surface,upper,50m,100m",4
남해,1993,9.4561e+09,"surface,upper,50m,100m",4
남해,1994,9.6619e+09,"surface,upper,50m,100m",4
남해,1995,9.4858e+09,"surface,upper,50m,100m",4
남해,1996,9.0124e+09,"surface,upper,50m,100m",4
남해,1997,9.6365e+09,"surface,upper,50m,100m",4
남해,1998,9.6793e+09,"surface,upper,50m,100m",4
남해,1999,9.6513e+09,"surface,upper,50m,100m",4
남해,2000,9.2408e+09,"surface,upper,50m,100m",4
남해,2001,9.3108e+09,"surface,upper,50m,100m",4
남해,2002,9.4709e+09,"surface,upper,50m,100m",4
남해,2003,9.3429e+09,"surface,upper,50m,100m",4
남해,2004,9.7406e+09,"surface,upper,50m,100m",4
남해,2005,9.1178e+09,"surface,upper,50m,100m",4
남해,2006,9.1376e+09,"surface,upper,50m,100m",4
남해,2007,9.6100e+09,"surface,upper,50m,100m",4
남해,2008,9.1863e+09,"surface,upper,50m,100m",4
남해,2009,9.5861e+09,"surface,upper,50m,100m",4
남해,2010,9.3542e+09,"surface,upper,50m,100m",4
남해,2011,9.1428e+09,"surface,upper,50m,100m",4
남해,2012,9.0994e+09,"surface,upper,50m,100m",4
남해,2013,9.5043e+09,"surface,upper,50m,100m",4
남해,2014,9.5375e+09,"surface,upper,50m,100m",4
남해,2015,9.3701e+09,"surface,upper,50m,100m",4
남해,2016,9.5940e+09,"surface,upper,50m,100m",4
남해,2017,9.5497e+09,"surface,upper,50m,100m",4
남해,2018,9.3216e+09,"surface,upper,50m,100m",4
남해,2019,9.7578e+09,"surface,upper,50m,100m",4
남해,2020,9.8991e+09,"surface,upper,50m,100m",4
남해,2021,9.7382e+09,"surface,upper,50m,100m",4
남해,2022,9.5889e+09,"surface,upper,50m,100m",4
남해,2023,9.8725e+09,"surface,upper,50m,100m",4
남해,2024,9.9676e+09,"surface,upper,50m,100m",4
남해,2025,9.5612e+09,"surface,upper,50m,100m",4
동중국해,1968,9.6284e+09,"surface,upper,50m,100m",4
동중국해,1969,1.0669e+10,"surface,upper,50m,100m",4
동중국해,1995,1.0758e+10,"surface,upper,50m,100m",4
동중국해,1996,1.0192e+10,"surface,upper,50m,100m",4
동중국해,1997,1.0474e+10,"surface,upper,50m,100m",4
동중국해,1998,1.0553e+10,"surface,upper,50m,100m",4
동중국해,1999,1.0242e+10,"surface,upper,50m,100m",4
동중국해,2000,1.0385e+10,"surface,upper,50m,100m",4
동중국해,2001,1.0399e+10,"surface,upper,50m,100m",4
동중국해,2002,1.0400e+10,"surface,upper,50m,100m",4
동중국해,2003,1.0246e+10,"surface,upper,50m,100m",4
동중국해,2004,1.0461e+10,"surface,upper,50m,100m",4
동중국해,2005,9.8459e+09,"surface,upper,50m,100m",4
동중국해,2006,1.0509e+10,"surface,upper,50m,100m",4
동중국해,2007,1.0291e+10,"surface,upper,50m,100m",4
동중국해,2008,1.0335e+10,"surface,upper,50m,100m",4
동중국해,2009,1.0351e+10,"surface,upper,50m,100m",4
동중국해,2010,1.0107e+10,"surface,upper,50m,100m",4
동중국해,2011,9.9064e+09,"surface,upper,50m,100m",4
동중국해,2012,9.8996e+09,"surface,upper,50m,100m",4
동중국해,2013,1.0361e+10,"surface,upper,50m,100m",4
동중국해,2014,1.0159e+10,"surface,upper,50m,100m",4
동중국해,2015,1.0139e+10,"surface,upper,50m,100m",4
동중국해,2016,1.0422e+10,"surface,upper,50m,100m",4
동중국해,2017,1.0469e+10,"surface,upper,50m,100m",4
동중국해,2018,9.8732e+09,"surface,upper,50m,100m",4
동중국해,2019,1.0608e+10,"surface,upper,50m,100m",4
동중국해,2020,1.0401e+10,"surface,upper,50m,100m",4
동중국해,2021,1.0520e+10,"surface,upper,50m,100m",4
동중국해,2022,1.0264e+10,"surface,upper,50m,100m",4
동중국해,2023,1.0506e+10,"surface,upper,50m,100m",4
동중국해,2024,1.0636e+10,"surface,upper,50m,100m",4
동중국해,2025,1.0468e+10,"surface,upper,50m,100m",4
동중국해,2026,4.8419e+09,"surface,upper,50m",3
동해,1968,6.0395e+09,"surface,upper,50m,100m",4
동해,1969,6.0428e+09,"surface,upper,50m,100m",4
동해,1970,6.2824e+09,"surface,upper,50m,100m",4
동해,1971,6.6964e+09,"surface,upper,50m,100m",4
동해,1972,6.6365e+09,"surface,upper,50m,100m",4
동해,1973,6.8606e+09,"surface,upper,50m,100m",4
동해,1974,5.8039e+09,"surface,upper,50m,100m",4
동해,1975,6.6452e+09,"surface,upper,50m,100m",4
동해,1976,7.6303e+09,"surface,upper,50m,100m",4
동해,1977,6.7317e+09,"surface,upper,50m,100m",4
동해,1978,7.1460e+09,"surface,upper,50m,100m",4
동해,1979,7.5163e+09,"surface,upper,50m,100m",4
동해,1980,6.7567e+09,"surface,upper,50m,100m",4
동해,1981,5.2723e+09,"surface,upper,50m,100m",4
동해,1982,6.5818e+09,"surface,upper,50m,100m",4
동해,1983,5.9050e+09,"surface,upper,50m,100m",4
동해,1984,5.4389e+09,"surface,upper,50m,100m",4
동해,1985,6.2645e+09,"surface,upper,50m,100m",4
동해,1986,5.7114e+09,"surface,upper,50m,100m",4
동해,1987,6.8047e+09,"surface,upper,50m,100m",4
동해,1988,7.0346e+09,"surface,upper,50m,100m",4
동해,1989,7.2630e+09,"surface,upper,50m,100m",4
동해,1990,7.0281e+09,"surface,upper,50m,100m",4
동해,1991,6.6660e+09,"surface,upper,50m,100m",4
동해,1992,6.8913e+09,"surface,upper,50m,100m",4
동해,1993,6.2275e+09,"surface,upper,50m,100m",4
동해,1994,6.2238e+09,"surface,upper,50m,100m",4
동해,1995,6.2232e+09,"surface,upper,50m,100m",4
동해,1996,5.4101e+09,"surface,upper,50m,100m",4
동해,1997,6.1690e+09,"surface,upper,50m,100m",4
동해,1998,6.6832e+09,"surface,upper,50m,100m",4
동해,1999,6.2537e+09,"surface,upper,50m,100m",4
동해,2000,5.3197e+09,"surface,upper,50m,100m",4
동해,2001,6.5161e+09,"surface,upper,50m,100m",4
동해,2002,6.2240e+09,"surface,upper,50m,100m",4
동해,2003,6.1759e+09,"surface,upper,50m,100m",4
동해,2004,6.1201e+09,"surface,upper,50m,100m",4
동해,2005,5.7761e+09,"surface,upper,50m,100m",4
동해,2006,5.9034e+09,"surface,upper,50m,100m",4
동해,2007,6.0603e+09,"surface,upper,50m,100m",4
동해,2008,6.4508e+09,"surface,upper,50m,100m",4
동해,2009,6.6360e+09,"surface,upper,50m,100m",4
동해,2010,5.7461e+09,"surface,upper,50m,100m",4
동해,2011,5.7094e+09,"surface,upper,50m,100m",4
동해,2012,6.2544e+09,"surface,upper,50m,100m",4
동해,2013,6.2143e+09,"surface,upper,50m,100m",4
동해,2014,6.5402e+09,"surface,upper,50m,100m",4
동해,2015,6.1042e+09,"surface,upper,50m,100m",4
동해,2016,6.5914e+09,"surface,upper,50m,100m",4
동해,2017,6.6364e+09,"surface,upper,50m,100m",4
동해,2018,6.1402e+09,"surface,upper,50m,100m",4
동해,2019,6.7986e+09,"surface,upper,50m,100m",4
동해,2020,6.7095e+09,"surface,upper,50m,100m",4
동해,2021,6.9974e+09,"surface,upper,50m,100m",4
동해,2022,6.7834e+09,"surface,upper,50m,100m",4
동해,2023,6.6240e+09,"surface,upper,50m,100m",4
동해,2024,6.4097e+09,"surface,upper,50m,100m",4
동해,2025,6.0005e+09,"surface,upper,50m,100m",4
서해,1968,5.4011e+09,"surface,upper,50m,100m",4
서해,1969,5.7310e+09,"surface,upper,50m,100m",4
서해,1970,5.4165e+09,"surface,upper,50m,100m",4
서해,1971,5.7379e+09,"surface,upper,50m,100m",4
서해,1972,6.4228e+09,"surface,upper,50m,100m",4
