_sea,_line,year,sst_mean,n,n_months
남해,203,1968,17.0510,49,8
남해,203,1969,16.6107,72,12
남해,203,1970,17.7248,60,10
남해,203,1971,18.2204,48,8
남해,203,1972,17.7139,36,6
남해,203,1973,17.3797,36,6
남해,203,1974,17.6753,38,6
남해,203,1975,18.2647,36,6
남해,203,1976,17.3306,35,6
남해,203,1977,16.6425,36,6
남해,203,1978,18.1489,36,6
남해,203,1979,18.2186,36,6
남해,203,1980,17.7555,42,7
남해,203,1981,16.9850,36,6
남해,203,1982,18.3483,36,6
남해,203,1983,18.1931,36,6
남해,203,1984,15.9918,34,6
남해,203,1985,16.4271,34,6
남해,203,1986,17.4247,32,6
남해,203,1987,18.5024,33,6
남해,203,1988,17.3986,35,6
남해,203,1989,18.2187,30,5
남해,203,1990,18.1425,36,6
남해,203,1991,17.9793,30,5
남해,203,1992,18.7837,30,5
남해,203,1993,17.2586,36,6
남해,203,1994,17.2931,36,6
남해,203,1995,18.0825,36,6
남해,203,1996,17.4661,36,6
남해,203,1997,18.0277,48,7
남해,203,1998,18.0508,48,6
남해,203,1999,16.7344,48,6
남해,203,2000,16.6585,48,6
남해,203,2001,16.8873,48,6
남해,203,2002,17.6472,36,6
남해,203,2003,16.6394,48,6
남해,203,2004,18.2831,48,6
남해,203,2005,17.3590,48,6
남해,203,2006,17.4348,48,6
남해,203,2007,17.6450,48,6
남해,203,2008,17.9921,48,6
남해,203,2009,16.9096,48,6
남해,203,2010,17.1762,48,7
남해,203,2011,15.9994,48,6
남해,203,2012,17.6815,40,5
남해,203,2013,16.5280,56,7
남해,203,2014,17.4377,48,6
남해,203,2015,16.9771,48,6
남해,203,2016,17.6758,48,6
남해,203,2017,17.1725,48,6
남해,203,2018,17.5977,48,6
남해,203,2019,17.8242,48,6
남해,203,2020,18.0829,48,6
남해,203,2021,17.5604,48,6
남해,203,2022,16.9594,48,6
남해,203,2023,18.4215,48,6
남해,203,2024,18.7471,48,6
남해,203,2025,18.4292,48,6
남해,203,2026,13.5213,16,2
남해,204,1968,18.0843,96,8
남해,204,1969,16.7241,150,12
남해,204,1970,17.3289,124,10
남해,204,1971,17.7138,96,8
남해,204,1972,17.6747,72,6
남해,204,1973,17.6890,72,6
남해,204,1974,17.7025,72,6
남해,204,1975,17.7332,72,6
남해,204,1976,16.7628,72,7
남해,204,1977,16.4145,76,6
남해,204,1978,17.3439,72,6
남해,204,1979,17.2037,84,7
남해,204,1980,17.0491,96,8
남해,204,1981,17.2332,72,6
남해,204,1982,17.4771,72,6
남해,204,1983,17.8971,72,6
남해,204,1984,16.2583,65,6
남해,204,1985,17.2129,65,6
남해,204,1986,16.6019,59,6
남해,204,1987,17.0665,62,6
남해,204,1988,17.5238,61,6
남해,204,1989,18.4060,60,5
남해,204,1990,17.9447,72,6
남해,204,1991,17.7807,60,5
남해,204,1992,18.3640,60,5
남해,204,1993,17.2608,72,6
남해,204,1994,17.8014,72,6
남해,204,1995,17.5912,72,6
남해,204,1996,17.3901,70,6
남해,204,1997,17.7073,86,7
남해,204,1998,18.3554,84,6
남해,204,1999,17.1912,84,6
남해,204,2000,17.1146,80,6
남해,204,2001,17.3607,80,6
남해,204,2002,17.5257,70,7
남해,204,2003,17.6823,79,6
남해,204,2004,18.4344,84,7
남해,204,2005,17.5995,81,6
남해,204,2006,17.3075,84,6
남해,204,2007,18.1274,84,6
남해,204,2008,17.8496,84,6
남해,204,2009,18.0921,84,6
남해,204,2010,17.5488,84,7
남해,204,2011,16.7527,84,7
남해,204,2012,17.5523,84,7
남해,204,2013,17.6193,84,6
남해,204,2014,17.6221,84,6
남해,204,2015,17.5492,84,6
남해,204,2016,18.4654,84,6
남해,204,2017,17.5342,84,6
남해,204,2018,18.0370,84,6
남해,204,2019,17.9007,84,6
남해,204,2020,17.6023,84,6
남해,204,2021,18.3165,84,7
남해,204,2022,17.3717,84,6
남해,204,2023,18.7557,84,6
남해,204,2024,18.9521,84,6
남해,204,2025,18.0877,84,7
남해,204,2026,14.0557,28,3
남해,205,1968,18.9353,110,8
남해,205,1969,18.1134,146,12
남해,205,1970,18.5259,111,10
남해,205,1971,18.7834,82,8
남해,205,1972,18.2018,60,6
남해,205,1973,17.8305,60,6
남해,205,1974,16.7698,60,6
남해,205,1975,18.8540,60,6
남해,205,1976,17.1155,64,6
남해,205,1977,17.4807,60,6
남해,205,1978,18.1033,60,6
남해,205,1979,17.9116,70,7
남해,205,1980,17.9546,92,8
남해,205,1981,17.9863,62,6
남해,205,1982,18.0775,60,6
남해,205,1983,18.4260,62,6
남해,205,1984,16.7472,54,6
남해,205,1985,18.1666,59,6
남해,205,1986,17.4243,53,6
남해,205,1987,17.6313,52,6
남해,205,1988,18.1253,51,6
남해,205,1989,18.7224,50,5
남해,205,1990,18.6032,60,6
남해,205,1991,18.5304,50,5
남해,205,1992,19.1928,50,5
남해,205,1993,17.8792,60,6
남해,205,1994,18.6595,60,6
남해,205,1995,18.1295,60,6
남해,205,1996,18.5760,60,6
남해,205,1997,18.1482,72,6
남해,205,1998,19.1383,72,6
남해,205,1999,17.7957,72,6
남해,205,2000,18.2781,68,6
남해,205,2001,17.7906,64,6
남해,205,2002,18.5695,60,6
남해,205,2003,18.1679,70,6
남해,205,2004,18.5769,72,7
남해,205,2005,18.3789,72,7
남해,205,2006,18.3494,72,6
남해,205,2007,18.8603,72,6
남해,205,2008,18.5961,72,6
남해,205,2009,18.6533,72,6
남해,205,2010,18.3650,72,8
남해,205,2011,17.6924,72,7
남해,205,2012,18.4454,72,6
남해,205,2013,18.3588,72,6
남해,205,2014,18.1125,72,6
남해,205,2015,18.0401,72,6
남해,205,2016,19.0499,72,6
남해,205,2017,18.1031,72,6
남해,205,2018,18.5332,72,6
남해,205,2019,18.5576,72,6
남해,205,2020,18.7086,72,7
남해,205,2021,19.0483,72,7
남해,205,2022,18.2668,68,7
남해,205,2023,19.2706,72,6
남해,205,2024,19.5379,72,6
남해,205,2025,18.6299,72,6
남해,205,2026,15.0146,24,2
남해,206,1968,18.6495,84,9
남해,206,1969,17.7055,118,12
남해,206,1970,18.9128,100,10
남해,206,1971,18.6763,84,8
남해,206,1972,17.8748,60,6
남해,206,1973,18.1036,61,6
남해,206,1974,17.7853,60,6
남해,206,1975,18.7888,60,6
남해,206,1976,17.5920,60,6
남해,206,1977,18.0453,60,6
남해,206,1978,18.4413,60,6
남해,206,1979,17.4631,70,7
남해,206,1980,17.9026,80,8
남해,206,1981,18.2550,60,6
남해,206,1982,18.8736,58,6
남해,206,1983,18.5902,60,6
남해,206,1984,18.3253,58,6
남해,206,1985,18.1302,60,6
남해,206,1986,17.6909,56,6
남해,206,1987,17.7881,57,6
남해,206,1988,18.0419,52,6
남해,206,1989,18.6026,50,5
남해,206,1990,18.7405,60,6
