station,region,lat_req,lon_req,lat_actual,lon_actual,date,sst_c
인천,서해,37.4519,126.5922,37.3750,126.6250,1981-09-01,23.2910
인천,서해,37.4519,126.5922,37.3750,126.6250,1981-10-01,19.1755
인천,서해,37.4519,126.5922,37.3750,126.6250,1981-11-01,12.8863
인천,서해,37.4519,126.5922,37.3750,126.6250,1981-12-01,8.0526
인천,서해,37.4519,126.5922,37.3750,126.6250,1982-01-01,5.4816
인천,서해,37.4519,126.5922,37.3750,126.6250,1982-02-01,3.6939
인천,서해,37.4519,126.5922,37.3750,126.6250,1982-03-01,5.6539
인천,서해,37.4519,126.5922,37.3750,126.6250,1982-04-01,7.7643
인천,서해,37.4519,126.5922,37.3750,126.6250,1982-05-01,13.0374
인천,서해,37.4519,126.5922,37.3750,126.6250,1982-06-01,17.1207
인천,서해,37.4519,126.5922,37.3750,126.6250,1982-07-01,21.2116
인천,서해,37.4519,126.5922,37.3750,126.6250,1982-08-01,23.7087
인천,서해,37.4519,126.5922,37.3750,126.6250,1982-09-01,23.2397
인천,서해,37.4519,126.5922,37.3750,126.6250,1982-10-01,20.0071
인천,서해,37.4519,126.5922,37.3750,126.6250,1982-11-01,15.2873
인천,서해,37.4519,126.5922,37.3750,126.6250,1982-12-01,9.6797
인천,서해,37.4519,126.5922,37.3750,126.6250,1983-01-01,6.0235
인천,서해,37.4519,126.5922,37.3750,126.6250,1983-02-01,4.9311
인천,서해,37.4519,126.5922,37.3750,126.6250,1983-03-01,5.4648
인천,서해,37.4519,126.5922,37.3750,126.6250,1983-04-01,8.2103
인천,서해,37.4519,126.5922,37.3750,126.6250,1983-05-01,13.4874
인천,서해,37.4519,126.5922,37.3750,126.6250,1983-06-01,18.4433
인천,서해,37.4519,126.5922,37.3750,126.6250,1983-07-01,20.5190
인천,서해,37.4519,126.5922,37.3750,126.6250,1983-08-01,24.7845
인천,서해,37.4519,126.5922,37.3750,126.6250,1983-09-01,24.1773
인천,서해,37.4519,126.5922,37.3750,126.6250,1983-10-01,20.1703
인천,서해,37.4519,126.5922,37.3750,126.6250,1983-11-01,14.6097
인천,서해,37.4519,126.5922,37.3750,126.6250,1983-12-01,8.9442
인천,서해,37.4519,126.5922,37.3750,126.6250,1984-01-01,5.4013
인천,서해,37.4519,126.5922,37.3750,126.6250,1984-02-01,2.3755
인천,서해,37.4519,126.5922,37.3750,126.6250,1984-03-01,2.9777
인천,서해,37.4519,126.5922,37.3750,126.6250,1984-04-01,7.4530
인천,서해,37.4519,126.5922,37.3750,126.6250,1984-05-01,11.4297
인천,서해,37.4519,126.5922,37.3750,126.6250,1984-06-01,17.0600
인천,서해,37.4519,126.5922,37.3750,126.6250,1984-07-01,20.9055
인천,서해,37.4519,126.5922,37.3750,126.6250,1984-08-01,25.0216
인천,서해,37.4519,126.5922,37.3750,126.6250,1984-09-01,23.6747
인천,서해,37.4519,126.5922,37.3750,126.6250,1984-10-01,19.4400
인천,서해,37.4519,126.5922,37.3750,126.6250,1984-11-01,14.0730
인천,서해,37.4519,126.5922,37.3750,126.6250,1984-12-01,10.2616
인천,서해,37.4519,126.5922,37.3750,126.6250,1985-01-01,5.6919
인천,서해,37.4519,126.5922,37.3750,126.6250,1985-02-01,4.0096
인천,서해,37.4519,126.5922,37.3750,126.6250,1985-03-01,4.6919
인천,서해,37.4519,126.5922,37.3750,126.6250,1985-04-01,7.6177
인천,서해,37.4519,126.5922,37.3750,126.6250,1985-05-01,12.2242
인천,서해,37.4519,126.5922,37.3750,126.6250,1985-06-01,17.0247
인천,서해,37.4519,126.5922,37.3750,126.6250,1985-07-01,22.0477
인천,서해,37.4519,126.5922,37.3750,126.6250,1985-08-01,24.7806
인천,서해,37.4519,126.5922,37.3750,126.6250,1985-09-01,24.3520
인천,서해,37.4519,126.5922,37.3750,126.6250,1985-10-01,19.0165
